n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1789,0.31068054495660336,44,0.024594745667970933,0.9166175627118848,0.49057350824437906,0.01516000535886562,0.6547377126780546,37,0.0,710634882091549312,129.2740456899135,32.88901790598069,17.890281677246094,0.9169197082519531,0.4825397226129905,unknown,False,False
1028,0.12894766758496867,10,0.009727626459143969,1.0596264124405221,0.9972348459980407,0.03172669167843441,0.65300762376883,10,0.0,710135119697891200,131.68787138160272,33.00559907576169,16.16245460510254,0.971003532409668,0.6187103421433692,main_sequence,False,False
222,0.12987510973139138,15,0.06756756756756757,1.4805418867781275,0.997296670541283,0.10316658557924865,0.6525042148288288,13,0.0,710380345150729088,130.41758687661252,33.412488040975,16.462493896484375,0.8828859329223633,0.5603243796722288,main_sequence,False,False
936,0.2943116302643882,39,0.041666666666666664,0.960967240806239,0.49004036530822154,0.023483521014914806,0.6522406579812399,37,0.0,718054317838161280,131.79463160302086,36.78637520452106,18.337894439697266,2.472553253173828,1.8610460513020386,giant,False,False
953,0.27037480229179434,38,0.03987408184679958,0.9520658074413887,0.12114993257106892,0.024175985277220313,0.6520329187025482,37,0.0,718054180399209088,131.75076263748977,36.78076162021516,18.41646957397461,0.7009658813476562,-0.21414029111338778,unknown,False,False
1054,0.12716239692929732,9,0.008538899430740038,1.4480565893198465,0.24933590495759458,0.06035434633758777,0.6520209316077274,9,0.00388586429664254,710404500046738432,130.31796795640707,33.678350957512365,14.601874351501465,1.1023006439208984,0.20303391107425797,giant,False,False
1043,0.13723475894074177,14,0.013422818791946308,1.243324498577804,1.0003760233715626,0.05555009014939679,0.6514137169757509,12,0.008084282053259893,710188377293961984,130.1163689395431,32.505064736123536,14.516654968261719,1.055617332458496,1.9029325465799591,main_sequence,False,False
1042,0.1417884402513686,20,0.019193857965451054,0.9858307669144651,0.10695036463068487,0.02370271023393253,0.6488001276900653,17,0.0,710307777383372544,130.68458939530444,32.96923340479535,16.880859375,0.8235759735107422,0.28501848184889544,unknown,False,False
1042,0.16398036023591045,27,0.025911708253358926,0.9087930011241021,0.19944443011648064,0.02851419978057234,0.6462297946957968,25,0.0,710203289420383232,130.45152322135974,32.64738464812647,17.47770118713379,1.1125011444091797,0.5043897932499108,main_sequence,False,False
1051,0.18933593892114364,40,0.038058991436726926,0.9829332267267938,0.16623576944926266,0.028387007938931133,0.6458834544110083,34,0.0,710412535928982912,130.68538372893767,33.66113959340437,17.976608276367188,1.2464179992675781,0.6522564641504831,unknown,False,False
98,0.21756273200553344,2,0.02040816326530612,0.9302415895917414,0.13184143804035287,0.19385013237076065,0.6418449602887718,2,0.0,710189300708986240,130.0375457543835,32.550058110601235,18.3886775970459,2.5635337829589844,2.708902773527839,giant,False,False
1024,0.21814689001876852,47,0.0458984375,0.9483092398315027,0.168667930986579,0.01956371447506042,0.6405594570860533,39,0.0,710126353668020736,131.51473971098028,32.849144368452876,18.243263244628906,1.4322433471679688,0.6577785107024658,unknown,False,False
1052,0.1297419044231346,10,0.009505703422053232,1.0646382387546047,0.49939792272106326,0.04194777803423237,0.6373571988522702,8,0.004895026251724943,710360072905065856,130.93008061728304,33.518797481133376,14.677478790283203,0.9327812194824219,0.2598729794616085,giant,False,False
1786,0.22253665953905655,52,0.029115341545352745,0.9008987135300939,0.10129693908898421,0.009615171357493487,0.6371154485927519,47,0.0,709879513307474688,129.40838271260245,32.74285591823283,18.20622444152832,1.2516098022460938,0.2035197623263936,unknown,False,False
2045,0.33288211494387876,70,0.034229828850855744,1.0127584738841446,0.14302454899404599,0.012381258915489666,0.6370511307584018,63,0.0,718058333629907840,131.6344192774944,36.832133411269254,18.455188751220703,1.5157394409179688,0.5828062204362852,unknown,False,False
1045,0.3239074848466922,44,0.042105263157894736,1.0271730371021723,2.829478451477189,0.01689164171619286,0.6365628897112725,42,0.0,710358281902031232,130.99233661145374,33.49852717143295,18.22550392150879,0.802978515625,-0.1256232943042872,unknown,False,False
1786,0.22941831960073478,63,0.03527435610302351,0.8952994567824274,0.14286382776382742,0.012852021100216642,0.636144393669935,60,0.0,710290082119286400,129.7636102130304,33.12811117184818,18.36117172241211,1.5722999572753906,0.8271641115108214,unknown,False,False
1792,0.2695919483432311,66,0.036830357142857144,0.9138348738463551,0.26022585104640983,0.014022582820432858,0.6357932251538702,60,0.0,710266786216673408,129.72993720226103,33.12153075744703,18.0316104888916,1.7512683868408203,1.5253106223742892,main_sequence,False,False
2142,0.21100221498297145,85,0.03968253968253968,0.953618614345749,0.500726721842687,0.014273948794205071,0.6357178153617385,77,0.0,718116264148917248,131.24662616095418,37.008628076429204,18.064165115356445,0.7661819458007812,0.09479095385004752,unknown,False,False
1311,0.17473839535049118,31,0.02364607170099161,0.8958065452519667,0.5076134340446979,0.016729044930451572,0.635578792172454,31,0.0,718126645087313152,131.21688256124364,37.13017760630561,17.73719024658203,1.2346668243408203,0.33017528137233054,unknown,False,False
1764,0.2342665836029627,50,0.02834467120181406,0.8351470707242978,0.4896135435425758,0.015278025560533329,0.63541659233184,47,0.0,710635633709932928,129.13093778325023,32.897418881610676,18.461875915527344,2.106931686401367,0.607481370561051,unknown,False,False
1042,0.2716390729559457,42,0.04030710172744722,0.8171751147836787,0.6136063218850071,0.0246278699940091,0.6352587933954574,35,0.009831900916398984,710430780949586048,130.48357806581623,33.85137778921337,18.358097076416016,2.3153514862060547,1.5090213305769984,giant,False,False
1313,0.21180564527236945,52,0.039603960396039604,0.8629100417172829,0.2489726211035286,0.016821267723070136,0.634953619683079,46,0.0,909934039073511552,130.3511321774188,37.31439466304955,18.15448760986328,1.5850830078125,0.7584508250300546,unknown,False,False
916,0.22046611135785,44,0.048034934497816595,1.0111542934283688,0.154837595880249,0.01977741722649787,0.6347360324377528,44,0.0,710877732426328832,128.24774527724793,33.17689428822332,17.340595245361328,0.8411769866943359,0.3247689536942216,unknown,False,False
