n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac
709,0.41947596127676556,3,0.004231311706629055,0.9689399510121541,0.4987382805493803,0.04137286291288901,0.2875881411261333,0,0.0,0.0,719206300005678,218.6443744,38.8319767,20.470434188842773,1.5144691467285156,1.0859207142678513,unknown,-0.0002925246279247008,0.04598935007019753,-0.0020771194816478233,0.0,False,1.1467211743045334,9.3503761879155,1,0.6580050158388734,True,False,False,0.9923954372623575
736,0.436609551311111,4,0.005434782608695652,0.8594611566757614,0.49877231700756286,0.04172375072112191,0.2874828747836634,0,0.0,0.0,719207400007168,217.6941025,38.82480045,19.85602378845215,2.6228389739990234,3.4168788698428894,main_sequence,-0.0106190109948892,1.5295125399318803,-0.07535911161343664,0.0,False,1.157071793987705,10.317694832699509,4,0.5509025977693268,True,True,False,1.0
674,0.4105389084242894,0,0.0,0.7779776113750545,29.41045272801535,0.04203729416626838,0.28738881175011943,0,0.0,0.0,719207400014424,217.83395905,38.852601449999995,20.67364501953125,0.9324455261230469,0.0511845927367055,unknown,-0.007498546502183656,0.8209338066711417,-0.052885027780992216,0.0,False,1.2820883819558198,10.189252933465257,4,0.5491900391128701,True,False,False,1.0
970,0.1388268990891407,20,0.020618556701030927,0.8400430809378242,0.9967059492551937,0.04258618364284869,0.2872241449071454,0,0.0,0.0,719207400006804,217.80872,38.8634384,,,,unknown,0.0013720052563738869,0.26351795328853583,0.00969344582129125,0.016963530187259684,False,0.14547575131083423,5.536288731263257,0,0.0,False,False,False,0.7142857142857143
640,0.43795025902698315,2,0.003125,0.8049021992029692,0.4902409123490968,0.04273405369110129,0.2871797838926696,0,0.0,0.0,719207300015674,216.64130169999999,38.92235425,,,,unknown,0.013685608575436934,2.811944680032704,0.09712259726698623,0.2551918179444986,False,1.82446449631857,15.8627149289241,6,0.0,False,False,False,1.0
596,0.48524511114092406,2,0.003355704697986577,0.9210976842498309,0.9925501206067909,0.04323127704265956,0.2870306168872021,0,0.0,0.0,719207300006841,216.8077616,38.9554961,20.723079681396484,0.7025165557861328,0.2644438493257022,unknown,-0.02823381364500173,2.058729011706189,-0.19928536786192863,0.0,False,1.4397745682995406,11.079156610858805,3,0.6010554214781174,True,False,False,1.0
713,0.321552935036575,0,0.0,0.849041130204384,0.49944540993561876,0.043302931473455285,0.2870091205579634,0,0.0,0.0,719207300006488,216.7382939,38.9900469,,,,unknown,0.0004020500555902367,0.06887896259591403,0.0028377654069210094,0.0049660894621117654,False,0.7964309138335077,7.218463910653573,3,0.4332543267135759,False,False,False,1.0
867,0.4389402937496937,9,0.010380622837370242,0.749484909266098,0.9970858615916499,0.04336212418720346,0.28699136274383896,0,0.0,0.0,719207400033918,217.7950654,38.8550359,,,,unknown,-0.0022165594453409545,0.4481248550940123,-0.015660361936127104,0.0,False,1.3131248804851436,19.41913063749,9,0.0,False,False,False,1.0
36,0.09719673716261201,2,0.05555555555555555,0.998515528727299,0.12894879745420262,0.5276704686684837,0.28697927090192055,1,0.0,0.09719673716261201,1717213300008689,216.65092605,38.915817849999996,,,,unknown,0.004236478402427637,1.8070644745426292,0.017038219546108922,0.2798168842056906,False,0.12035413141353146,3.9822972904787375,0,0.0,False,False,False,
753,0.35663038830519156,2,0.0026560424966799467,0.8077698994248239,0.9969244149610959,0.04359973967217034,0.28692007809834885,0,0.0,0.0,719207300015179,216.6492413,38.9749113,,,,unknown,0.0023910966880558104,0.6834281284430668,0.016876675753160535,0.02953418256803093,False,0.819815333449607,8.34789021988337,5,0.0,False,False,False,0.9963636363636363
644,0.4079168905457675,0,0.0,0.873401959651696,1.0351695471023254,0.04387024307960684,0.2868389270761179,0,0.0,0.0,719207400006897,217.64690050000002,38.853320249999996,,,,unknown,8.092434716584674e-05,0.014971067054717338,0.000571208021217373,0.08622688676440313,False,0.9237659783374002,6.781379811456211,4,0.46018943272650203,False,False,False,1.0
550,0.4587603955235474,1,0.0018181818181818182,0.9353637815569286,0.9951475357559549,0.045172985897718676,0.2864481042306844,0,0.0,0.0,719207400006501,217.94096165000002,38.897574500000005,20.918474197387695,1.0651683807373047,,unknown,-0.010744145929256618,1.2553684051990108,-0.07583473651918554,0.0,False,1.2736169589192867,8.728511732846899,3,0.569713489771292,True,False,False,1.0
768,0.3911349576395958,5,0.006510416666666667,0.7782883723985877,0.4988147535599873,0.04554476428209334,0.286336570715372,0,0.0,0.0,719207300007302,216.88084750000002,38.9133875,21.530345916748047,1.6854591369628906,,unknown,-0.008066928801245977,2.2853531701300374,-0.05693890093190437,0.0,False,1.0123772547906724,10.883915300432143,3,0.5984522040057619,True,False,False,0.9928571428571429
568,0.5291336403767706,1,0.0017605633802816902,0.8233081433775707,0.9968520675188436,0.046140012707911106,0.28615799618762666,0,0.0,0.0,719207400007193,217.6315214,38.8219735,,,,unknown,0.0008879269883812738,0.1647666078859774,0.006259007951492845,0.010953263915112477,False,1.7306901263272612,12.953831207296682,5,0.0,False,False,False,1.0
672,0.4268886729468563,3,0.004464285714285714,0.7969068818051798,29.541006794727036,0.04669794473018108,0.28599061658094566,0,0.0,0.0,719207300022242,216.7766125,38.9180484,,,,unknown,-0.0037010179737164313,0.5925391529933696,-0.026102183709995903,0.0,False,0.7869633279149804,6.369062122203446,2,0.4565189204379395,False,False,False,0.9962546816479401
599,0.4542678745741029,2,0.00333889816360601,0.7984839075325814,36.31076933994048,0.046930240969946746,0.285920927709016,0,0.0,0.0,719207300015509,216.8979788,38.9450773,,,,unknown,-0.013006068267897943,1.7641212684598706,-0.09180149243106835,0.0,False,1.5827699212415878,12.61421781971392,4,0.5815229042628522,True,False,False,1.0
631,0.4868531349841765,4,0.006339144215530904,0.8865000040193833,29.587482594813462,0.04704964218746934,0.28588510734375916,0,0.0,0.0,719207400014692,217.9874825,38.8247179,20.685760498046875,1.1940631866455078,0.8877610162473111,unknown,-0.010562388918287284,1.6661460129436347,-0.07458491082980238,0.0,False,1.1630559842431958,8.830495269267242,2,0.6110732702568966,True,False,False,1.0
749,0.4282583377198982,5,0.006675567423230975,0.8510639486986961,0.9968618233355473,0.04768153477438261,0.28569553956768523,0,0.0,0.0,719207400020216,217.7725373,38.8583692,,,,unknown,-0.0038188183182225324,0.7125487475225665,-0.02695531247982265,0.0,False,1.698126578014588,17.710978415293805,8,0.0,False,False,False,1.0
