source_id,vet_set,hip,ra,dec,ks_m,jk,pred_s09_jy,etz,nearby,pm_source,verdict,note,n_in_cone,wise_id,sep_arcsec,w1,w2,w3,e_w3,w3snr,w3rchi2,w4,e_w4,w4snr,cc_flags,ph_qual,ext_flg,resid_w3,sig_w3,resid_w4,sig_w4,nearest_wide_sep_arcsec,nearest_wide_cc_flags,nearest_wide_w1,artefact_region_plausible
5335709172633235840,iras_ul,,174.391275270099,-60.90319916286656,0.027,1.1670000553131104,62.88253611450268,False,False,catalogue,INCONCLUSIVE,w3: saturated (-0.19 < 3.8); w4: saturated (-0.46 < -0.4),1.0,J113733.97-605411.4,0.1336902890377983,-1.475000023841858,-0.4650000035762787,-0.19499999284744263,0.28700000047683716,3.799999952316284,0.01535,-0.4569999873638153,0.014999999664723873,72.9,hhhd,UUBA,0.0,0.12922816487561412,0.2624935530175351,0.32523529399754403,0.8125171346160536,,,,
1565090003967879424,iras_ul,,201.3073057729085,54.987845339784336,3.145,0.1459999084472656,3.36078046461435,False,True,catalogue,INCONCLUSIVE,w3: saturated (3.60 < 3.8),1.0,J132513.66+545916.4,0.12188562025883178,3.5929999351501465,3.253999948501587,3.5980000495910645,0.014999999664723873,71.5999984741211,1.699,3.563999891281128,0.019999999552965164,53.2,hh00,CBAA,0.0,-0.4252320716710514,-1.739470565689338,-0.4556519143403668,-1.8611840473728307,,,,
5855593454594292736,iras_ul,,189.29540488035568,-69.1356236855019,3.25,-0.0720000267028808,2.933668638022605,False,False,gaia_lookup,INCONCLUSIVE,w3: saturated (3.51 < 3.8),1.0,J123710.93-690808.3,0.25859756064611217,3.2669999599456787,3.065999984741211,3.507999897003174,0.014000000432133675,78.30000305175781,1.82,3.5,0.023000000044703484,47.3,HHH0,BBAA,0.0,-0.20449473388480702,-0.729427120499758,-0.2605790060379768,-0.9275153866562084,,,,
6041076668127513984,iras_ul,,239.22106830024904,-29.21417958464532,4.457,-0.1139998435974121,0.9459404713546644,False,False,catalogue,INCONCLUSIVE,,1.0,J155653.05-291250.8,0.07492196639426277,4.521999835968018,4.330999851226807,4.626999855041504,0.014999999664723873,72.80000305175781,0.9685,4.5970001220703125,0.03400000184774399,31.9,0000,BBAA,0.0,-0.11153617179804179,-4.061907828347154,-0.14555590670216018,-3.5459276090941656,,,,
6221197975786214784,iras_ul,,217.0433270578588,-29.49174749392271,5.158,-0.0850000381469726,0.5029355837787605,False,False,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J142810.37-292930.0,0.505880157623723,5.09499979019165,5.006999969482422,5.235000133514404,0.017000000923871994,64.0999984741211,2.378,5.182000160217285,0.03400000184774399,32.3,hh00,BAAA,0.0,-0.021960182315082566,-0.6532760152717367,-0.03302435148238123,-0.739001384082053,,,,
5908713025970995584,iras_ul,,224.79023735305813,-42.10429832458499,3.378,0.0379998683929443,2.705862538674745,False,False,gaia_lookup,INCONCLUSIVE,,1.0,J145909.67-420615.1,0.4124040706172263,3.7880001068115234,3.507999897003174,3.865999937057495,0.014999999664723873,70.19999694824219,0.7999,3.8329999446868896,0.02199999988079071,48.4,0000,BBAA,0.0,-0.447481418499049,-1.3796377593974158,-0.47873505159799346,-1.474182810781925,,,,
6093220251160674688,iras_ul,,214.85084131644516,-46.05811713873148,4.102,-0.1320002079010009,1.2959968808497446,False,False,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J141924.22-460328.5,0.6876477034835011,4.110000133514404,3.8450000286102295,4.168000221252441,0.012000000104308128,89.9000015258789,8.376,4.177000045776367,0.023000000044703484,46.6,HHH0,BAAA,1.0,-0.005411405680842037,-0.01877331384572106,-0.07840296827753009,-0.27136853740779265,,,,
6000130236649730432,iras_ul,,230.670171036926,-44.68972319549894,4.128,-0.1399998664855957,1.2554963694706562,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J152240.85-444123.1,0.22604982896080247,4.619999885559082,3.753000020980835,4.089000225067139,0.014000000432133675,75.4000015258789,2.199,4.057000160217285,0.026000000536441803,42.3,hh00,UBAA,0.0,0.1005330343382328,0.36117192572767914,0.06855368469662813,0.24552452944418457,,,,
5971244451311982336,iras_ul,,253.08386981981704,-38.017636551986286,4.292,-0.1419997215270996,1.077378497425313,False,False,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J165220.11-380103.3,0.18608411813455122,4.2179999351501465,4.020999908447266,4.376999855041504,0.014999999664723873,70.5999984741211,1.613,4.348999977111816,0.023000000044703484,46.8,0000,BBAA,0.0,-0.023230491714644877,-0.07437080384017623,-0.05920694747291129,-0.1892523236619507,,,,
6048602103663486592,iras_ul,,245.2970859432392,-25.59288089269204,2.339,0.053999900817871,7.046036912640559,False,False,gaia_lookup,INCONCLUSIVE,w3: saturated (2.25 < 3.8),1.0,J162111.19-253534.3,1.3706432497338175,0.8700000047683716,0.7350000143051147,2.249000072479248,0.02199999988079071,50.099998474121094,7.533,1.0429999828338623,0.027000000700354576,40.9,hhhd,UUAA,1.0,0.12862947396819072,0.5045263060103408,1.2703512898795573,4.973363641232667,,,,
