source_id,spt,spt_num,w1_n_epochs,w1_chi2_red,w1_amp_mag,w1_mean_mag,w1_duty_cycle_high,w1_two_state_sep_mag,w1_parity_frac,w1_parity_z,w1_mean_n_exp,w2_n_epochs,w2_chi2_red,w2_amp_mag,w2_mean_mag,w2_duty_cycle_high,w2_two_state_sep_mag,w2_parity_frac,w2_parity_z,w2_mean_n_exp,w2_chi2_threshold,w1_w2_mean,w1_w2_expected,colour_identity_ok,pm_known,duty_cycle_veto,duty_cycle_candidate,duty_cycle_flag,status
Gl 576B,T6pec,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,True,,False,False,NO_EPOCHS
WISEPC J150649.97+702736.0,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,True,,False,False,NO_EPOCHS
WISE J151721.13+052929.3,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISEPC J151906.64+700931.5,T8,28.0,14,2.873388498221046,0.5229997634887695,16.428765978408347,0.7142857142857143,0.21557488441467143,0.04474520050771672,1.2099704319370015,6.857142857142857,14,1.5349518348996603,0.2585000991821289,14.19212159603208,0.5714285714285714,0.10772909720738788,0.01978149863265562,0.4553029887851043,7.0,10.145520425155123,2.236644382376266,2.6,True,True,,False,False,TESTED
WISE J152305.10+312537.6,T6.5pec,26.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.05,True,True,,False,False,NO_EPOCHS
WISEPA J154151.66-225025.2,Y1,31.0,16,10.318534155719307,0.6114993095397949,15.948468302625617,0.5625,0.3133495497325107,0.07158640928456453,1.7673945126495272,5.25,16,22.625207941000404,0.43199968338012695,14.137169992712606,0.625,0.2096333185831707,0.02140256748655038,0.891487845155313,5.125,10.145520425155123,1.8112983099130116,4.0,False,True,colour_not_the_target,True,False,TESTED
WISE J154214.00+223005.2,T9.5,29.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.25,True,True,,False,False,NO_EPOCHS
2MASSI J1553022+153236AB,T7,27.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.2,True,True,,False,False,NO_EPOCHS
WISEPA J161215.94-342027.1,T6.5,26.5,8,1.3902563327243935,0.32450103759765625,16.1077904463375,0.375,0.1726671854654942,0.32208982561525346,1.4202570705512831,4.375,8,1.9209462870403644,0.22550010681152344,13.838268309582805,0.5,0.12737512588500977,0.06854926594125448,0.8055979041830633,4.375,10.145520425155123,2.269522136754695,2.05,True,True,,False,False,TESTED
WISEPA J161441.45+173936.7,T9,29.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.0,True,True,,False,False,NO_EPOCHS
2MASS J16150413+1340079,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,False,,False,False,NO_EPOCHS
WISEPA J161705.75+180714.3,T8,28.0,8,1.2576356977073082,0.3045005798339844,16.16958373190399,0.5,0.16650032997131348,0.04469064065192435,0.4846295004741578,4.625,8,5.796434657316783,0.41499996185302557,14.045161287412592,0.625,0.22376667658487825,0.6711427607342934,3.6258830347952973,4.625,10.145520425155123,2.1244224444913993,2.6,True,True,,False,False,TESTED
WISEPA J162208.94-095934.6,T6,26.0,21,18.840020349738595,0.5819993019104004,15.82423895348219,0.5714285714285714,0.23402784930335052,0.005082192796444731,0.6097024127522255,6.761904761904762,21,4.090681113237542,0.34799957275390625,14.14977445555537,0.42857142857142855,0.16412484645843506,0.0976018172281341,2.061114441843358,6.666666666666667,10.145520425155123,1.6744644979268202,1.9,True,True,,False,False,TESTED
SDSSp J162414.37+002915.6,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,True,,False,False,NO_EPOCHS
WISEPA J162725.64+325525.5,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,False,,False,False,NO_EPOCHS
SDSS J162838.77+230821.1,T7,27.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.2,True,False,,False,False,NO_EPOCHS
WISE J163940.86-684744.6,Y0pec,30.0,21,1.8125261909363757,0.10049962997436701,14.192519222930896,0.5714285714285714,0.03399993313683325,0.08822412905615494,1.421961534091189,13.619047619047619,21,13.091026692922402,0.8284997940063477,14.232803988106198,0.09523809523809523,0.5337764589410074,0.014956573279658367,1.5859624421899476,13.80952380952381,10.145520425155123,-0.04028476517530244,3.5,False,True,colour_not_the_target,True,False,TESTED
WISEPA J165311.05+444423.9,T8,28.0,22,2.653867413434097,0.32450103759765625,16.302647834332518,0.5454545454545454,0.14306645393371653,0.012849680557203789,0.7227227810570589,13.590909090909092,22,1.034748852195342,0.17400074005126953,13.832791753889804,0.22727272727272727,0.07146486955530484,0.010798933235998068,0.4511418570868637,13.409090909090908,10.145520425155123,2.469856080442714,2.6,True,True,,False,False,TESTED
WISEPA J171104.60+350036.8AB,T8,28.0,1,,,,,,,,5.0,1,,,,,,,,5.0,10.145520425155123,,2.6,True,True,,False,False,TOO_FEW_EPOCHS
WISEPA J171717.02+612859.3,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISE J172134.46+111739.4,T6,26.0,21,3.211308963069625,0.43250083923339844,15.831497530850449,0.6666666666666666,0.1843930312565405,0.1081262218910487,2.2116820711055802,12.19047619047619,21,2.695732415661677,0.38649988174438477,14.361629818664818,0.9047619047619048,0.24227609132465489,0.05629452982310166,1.5401863560449547,12.285714285714286,10.145520425155123,1.4698677121856303,1.9,False,True,,False,False,TESTED
WISEA J173551.56-820900.3,T6,26.0,21,2.4652463857467297,0.3169999122619629,15.650986076127488,0.5238095238095238,0.1320227449590501,0.048502116134508826,1.458859422144315,18.333333333333332,21,3.005463917908049,0.1700000762939453,13.798614007237942,0.6190476190476191,0.06186060722057718,0.018909644763350025,0.7363018738661731,18.38095238095238,10.145520425155123,1.8523720688895455,1.9,True,True,,False,False,TESTED
WISEPA J173835.53+273258.9,Y0,30.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.5,True,True,,False,False,NO_EPOCHS
WISEPA J174124.26+255319.5,T9,29.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.0,True,True,,False,False,NO_EPOCHS
SDSS J175805.46+463311.9,T6.5,26.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.05,True,False,,False,False,NO_EPOCHS
WISEPA J180435.40+311706.1,T9.5:,29.5,1,,,,,,,,4.0,1,,,,,,,,4.0,10.145520425155123,,3.25,True,True,,False,False,TOO_FEW_EPOCHS
WISEPA J181210.85+272144.3,T8.5:,28.5,6,1.5468397989598468,0.30500030517578125,16.270514232999606,0.16666666666666666,0.24230098724365234,0.09465776074502262,0.7699896596739273,5.166666666666667,6,0.916375401603692,0.22700023651123047,14.22095797315664,0.6666666666666666,0.1826249361038208,0.011639248796538791,0.1991234700093188,5.166666666666667,10.145520425155123,2.0495562598429657,2.8,True,True,,False,False,TOO_FEW_EPOCHS
WISE J181243.14+200746.4,T9,29.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.0,True,True,,False,False,NO_EPOCHS
WISE J181329.40+283533.3,T8,28.0,9,2.420255710177268,0.1844997406005895,15.562003944076443,0.6666666666666666,0.1404999097188302,0.12504581027362374,1.127263457115428,6.666666666666667,9,10.094155954133027,0.6039996147155762,14.774764585869313,0.6666666666666666,0.32774980862935443,0.04512397365819353,1.1849914692460053,6.777777777777778,10.145520425155123,0.7872393582071293,2.6,False,True,,False,False,TESTED
WISEPA J182831.08+265037.8,>or=Y2,32.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,4.3,True,True,,False,False,NO_EPOCHS
SCR J1845-6357B,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,False,,False,False,NO_EPOCHS
WISEPA J185215.78+353716.3,T7,27.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.2,True,False,,False,False,NO_EPOCHS
