name,ra,dec,plx,spt,spt_num,source_id,pmra,pmdec,astrometry_source
WISEA J133300.03-160754.4,203.2496762,-16.1320067,,[T7.5],27.5,WISEA J133300.03-160754.4,-317.4499816894531,-130.89999389648438,catwise2020
ULAS J133553.45+113005.2,203.972294,11.5010147,99.9,T8.5,28.5,ULAS J133553.45+113005.2,-174.60000610351562,-240.94000244140625,catwise2020
SDSSp J134646.45-003150.4,206.6937352,-0.5305896,68.3,T6.5,26.5,SDSSp J134646.45-003150.4,526.1599731445312,52.119998931884766,catwise2020
WISEPC J140518.40+553421.4,211.3336867,55.5731074,,Y0.5(pec?),30.5,WISEPC J140518.40+553421.4,3020.289794921875,364.08001708984375,catwise2020
ULAS J141623.94+134836.3,214.099834,13.8103745,109.7,(sd)T7.5,27.5,ULAS J141623.94+134836.3,101.58999633789062,123.45999908447266,catwise2020
Gl 547B,215.8370993,1.2764787,57.3445,"sdT8, T8",28.0,Gl 547B,190.10000610351562,-524.219970703125,catwise2020
VHS J143311.46-083736.3,218.2971921,-8.6270468,,T8,28.0,VHS J143311.46-083736.3,-301.8399963378906,-144.92001342773438,catwise2020
WISEPA J143602.19-181421.8,219.0090869,-18.2395409,,T8pec,28.0,WISEPA J143602.19-181421.8,-74.0199966430664,-106.37000274658203,catwise2020
WISE J144806.48-253420.3,222.0271475,-25.5734159,,T8,28.0,WISE J144806.48-253420.3,52.189998626708984,-802.3499755859375,catwise2020
Gl 570D,224.31234,-21.36326,170.0112,T7.5,27.5,Gl 570D,,,none
WISEPC J145715.03+581510.2,224.3146864,58.2528469,,T7,27.0,WISEPC J145715.03+581510.2,703.3800048828125,202.7100067138672,catwise2020
WISE J150115.92-400418.4,225.3171976,-40.072215,,T6,26.0,WISE J150115.92-400418.4,439.28997802734375,-358.3399963378906,catwise2020
SDSS J150411.63+102718.4,226.0496997,10.4538434,46.1,T7,27.0,SDSS J150411.63+102718.4,341.69000244140625,-342.2799987792969,catwise2020
Gl 576B,226.2396556,5.6332756,52.5873,T6pec,26.0,Gl 576B,-745.52001953125,-12.869999885559082,catwise2020
WISEPC J150649.97+702736.0,226.7187549,70.4575259,,T6,26.0,WISEPC J150649.97+702736.0,23.65999984741211,-7.559999942779541,catwise2020
WISE J151721.13+052929.3,229.337824,5.4916943,,T8,28.0,WISE J151721.13+052929.3,-101.79000091552734,192.00999450683594,catwise2020
WISEPC J151906.64+700931.5,229.7787687,70.1582392,,T8,28.0,WISEPC J151906.64+700931.5,570.02001953125,-911.6700439453125,catwise2020
WISE J152305.10+312537.6,230.7714204,31.4263915,,T6.5pec,26.5,WISE J152305.10+312537.6,112.87000274658203,-539.3499755859375,catwise2020
WISEPA J154151.66-225025.2,235.4637315,-22.8406144,,Y1,31.0,WISEPA J154151.66-225025.2,-908.1000366210938,-47.60000228881836,catwise2020
WISE J154214.00+223005.2,235.5586183,22.5020367,,T9.5,29.5,WISE J154214.00+223005.2,220.75,615.25,catwise2020
2MASSI J1553022+153236AB,238.2590561,15.5440331,75.1,T7,27.0,2MASSI J1553022+153236AB,303.1499938964844,191.9199981689453,catwise2020
WISEPA J161215.94-342027.1,243.0659568,-34.3418968,,T6.5,26.5,WISEPA J161215.94-342027.1,-313.21002197265625,-740.5499877929688,catwise2020
