kepoi_name,tic_id,era,scope,sector,author,exptime_s,flux_column,n_points,status,median_flux,smeared,no_flat_core,exptime_over_duration,n_transits,n_transits_seen,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,reduction_author,reduction_flux_column
K00897.01,268924036.0,kepler,primary,12,Kepler,1765.462885941888,PDCSAP_FLUX,3550,OK,1.0,True,False,0.2360219256935605,35,37,13820.888987619153,173.63887098967868,bootstrap,468.24633067689444,,
K00897.01,268924036.0,kepler,primary,13,Kepler,1765.462885941888,PDCSAP_FLUX,4243,OK,1.0,True,False,0.2360219256935605,42,43,13880.574948632353,70.2990398739625,bootstrap,431.60195572588026,,
K00897.01,268924036.0,kepler,primary,14,Kepler,1765.462885941888,PDCSAP_FLUX,4269,OK,1.0,True,False,0.2360219256935605,44,45,13922.936320059112,75.97977613110429,bootstrap,356.58804366417536,,
K00897.01,268924036.0,kepler,primary,15,Kepler,1765.462885941888,PDCSAP_FLUX,4366,OK,1.0,True,False,0.2360219256935605,42,45,13857.66403233999,90.66380862071348,bootstrap,325.0709306109488,,
K00897.01,268924036.0,kepler,primary,16,Kepler,1765.462885941888,PDCSAP_FLUX,3534,OK,1.0,True,False,0.2360219256935605,36,37,14102.748538493724,210.27666222633843,bootstrap,539.5810822630506,,
K00897.01,268924036.0,kepler,primary,17,Kepler,1765.462885941888,PDCSAP_FLUX,1285,OK,1.0,True,False,0.2360219256935605,12,13,13502.260237871791,217.34195585177713,bootstrap,422.21350068383117,,
K00897.01,268924036.0,kepler,ensemble,1,Kepler,1765.462885941888,PDCSAP_FLUX,1624,OK,1.0,True,False,0.2360219256935605,16,16,14050.669443031573,100.63645992805911,bootstrap,388.64019971677135,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,2,Kepler,1765.462885941888,PDCSAP_FLUX,4070,OK,1.0,True,False,0.2360219256935605,41,42,13674.617873551928,82.07999395965739,bootstrap,410.2172961547202,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,3,Kepler,1765.462885941888,PDCSAP_FLUX,4134,OK,1.0,True,False,0.2360219256935605,40,41,14163.188798635092,121.00184848603594,bootstrap,499.0300267335684,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,4,Kepler,1765.462885941888,PDCSAP_FLUX,4108,OK,1.0,True,False,0.2360219256935605,41,42,13682.811804879713,97.0535397152439,bootstrap,468.57101890438935,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,5,Kepler,1765.462885941888,PDCSAP_FLUX,4486,OK,1.0,True,False,0.2360219256935605,44,44,13755.251396608908,81.32370242810757,bootstrap,370.1678798086137,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,6,Kepler,1765.462885941888,PDCSAP_FLUX,4272,OK,1.0,True,False,0.2360219256935605,42,43,13874.970364565093,59.82884843465245,bootstrap,409.93186402762746,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,7,Kepler,1765.462885941888,PDCSAP_FLUX,4226,OK,1.0,True,False,0.2360219256935605,41,43,14230.703911030754,90.10062731145196,bootstrap,455.14074795532446,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,8,Kepler,1765.462885941888,PDCSAP_FLUX,3106,OK,1.0,True,False,0.2360219256935605,31,32,13762.522194258961,95.57706149636887,bootstrap,416.0450754864424,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,9,Kepler,1765.462885941888,PDCSAP_FLUX,4610,OK,1.0,True,False,0.2360219256935605,46,46,14125.481528102506,75.98337624029314,bootstrap,404.73182041574194,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,10,Kepler,1765.462885941888,PDCSAP_FLUX,4441,OK,1.0,True,False,0.2360219256935605,44,44,13859.514348935554,64.54979875061248,bootstrap,383.9583514892795,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,11,Kepler,1765.462885941888,PDCSAP_FLUX,4473,OK,1.0,True,False,0.2360219256935605,46,47,14129.649329431728,108.40765250448123,bootstrap,386.13736163044507,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,12,Kepler,1765.462885941888,PDCSAP_FLUX,3550,OK,1.0,True,False,0.2360219256935605,35,37,13820.888987619153,173.63887098967868,bootstrap,468.24633067689444,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,13,Kepler,1765.462885941888,PDCSAP_FLUX,4243,OK,1.0,True,False,0.2360219256935605,42,43,13880.574948632353,70.2990398739625,bootstrap,431.60195572588026,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,14,Kepler,1765.462885941888,PDCSAP_FLUX,4269,OK,1.0,True,False,0.2360219256935605,44,45,13922.936320059112,75.97977613110429,bootstrap,356.58804366417536,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,15,Kepler,1765.462885941888,PDCSAP_FLUX,4366,OK,1.0,True,False,0.2360219256935605,42,45,13857.66403233999,90.66380862071348,bootstrap,325.0709306109488,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,16,Kepler,1765.462885941888,PDCSAP_FLUX,3534,OK,1.0,True,False,0.2360219256935605,36,37,14102.748538493724,210.27666222633843,bootstrap,539.5810822630506,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,17,Kepler,1765.462885941888,PDCSAP_FLUX,1285,OK,1.0,True,False,0.2360219256935605,12,13,13502.260237871791,217.34195585177713,bootstrap,422.21350068383117,Kepler,PDCSAP_FLUX
K00897.01,268924036.0,kepler,ensemble,1,Kepler,1765.462885941888,SAP_FLUX,1625,OK,1.0,True,False,0.2360219256935605,16,16,13975.673461129973,115.51444727757381,bootstrap,410.16770856934625,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,2,Kepler,1765.462885941888,SAP_FLUX,4072,OK,1.0,True,False,0.2360219256935605,41,42,13699.469291115221,62.89949864126509,bootstrap,427.8219640390149,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,3,Kepler,1765.462885941888,SAP_FLUX,4136,OK,1.0,True,False,0.2360219256935605,40,41,14141.935774835883,109.12525814300585,bootstrap,468.37856137313696,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,4,Kepler,1765.462885941888,SAP_FLUX,4114,OK,1.0,True,False,0.2360219256935605,41,42,13818.278610711122,78.16184692109296,bootstrap,472.38492132803526,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,5,Kepler,1765.462885941888,SAP_FLUX,4489,OK,1.0,True,False,0.2360219256935605,44,44,13757.200084815177,95.60592928373818,bootstrap,369.1189952235941,Kepler,SAP_FLUX
