Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
10750.0,7961593.504173184,7481695.005111538,7620790.100254115,8851156.098308356,8035261.221856177,7413102.413009177,5970352.865838366,6280583.58813318,5432503.314924336,5533501.092157371,4965923.214503358,5093308.710571952,4570881.8961487515,4655860.935229591,4120975.190973304,3531831.69791957,3917418.771077831,3971915.4946944052,3396252.725904082,3191537.8551007584,3013006.0241861218,3033891.184194272,2877398.4147356665,2910717.118066608,2760577.8562203445,2870780.582024692,2606153.5499988976,2564484.036517716
11000.0,7673614.893618186,7227698.036021703,7362070.97494736,8570378.452303693,7798301.105232594,7194489.780036998,5807644.175213124,6109420.249055714,5296634.438916581,5395106.225151279,4852885.00162121,4977370.849789361,4466835.921509635,4549880.60150049,4027170.3432545946,3451437.3933585645,3828247.4331682282,3890451.449942805,3326595.532940047,3126079.367123956,2951209.226666384,2971666.031738025,2824879.9749157047,2851018.2675039098,2703958.364108846,2818382.931264455,2558585.886905648,2517676.9277588543
11250.0,7362070.97494736,6918309.709189363,7046930.689671467,8184647.881347903,7464487.584100669,6886522.963442762,5571857.489319304,5874893.525297768,5093308.710571952,5188000.389289609,4666593.803142882,4797334.486366891,4305266.10491711,4395416.154378243,3890451.449942805,3334264.127632347,3698281.7978026588,3758374.042884443,3213660.5386403147,3026913.4281013045,2851018.2675039098,2877398.4147356665,2728977.7828080403,2760577.8562203445,2618183.0082189864,2728977.7828080403,2477422.0576332863,2437810.81836875
11500.0,6918309.709189363,6441692.655151775,6531305.526474729,7516228.94018206,6854882.2645266205,6338697.112569263,5152286.445817562,5420008.904016239,4709773.263969529,4797334.486366891,4325138.310350088,4436086.439314327,3999447.497610978,4073802.7780411304,3614098.6263961317,3111716.33710602,3443499.307633384,3491403.1547858627,2999162.5189876533,2824879.9749157047,2666858.664521481,2685344.445658509,2552701.302661247,2582260.1906345957,2449063.2418447467,2546830.252585039,2317394.6499684798,2285598.80337543
11750.0,6561452.663029057,6109420.249055714,6180164.001384164,7095777.6796338875,6471426.157485831,5997910.762555088,4886523.593428336,5140436.515824264,4477133.041763623,4560369.159512959,4111497.211045221,4216965.034285823,3801893.9632056127,3872576.4492161726,3443499.307633384,2964831.3895243453,3280952.93113119,3326595.532940047,2857590.5433749496,2691534.803926914,2540972.7055493062,2564484.036517716,2437810.81836875,2460367.6041476275,2338837.2386593535,2432204.009073816,2213094.7096056365,2182729.9118430037
12000.0,6194410.750767811,5767664.633922509,5834451.042737448,6698846.094165258,6123503.917247733,5675446.054085465,4623810.213992603,4864072.056914619,4236429.660495409,4325138.310350088,3899419.866765436,4008667.176273026,3614098.6263961317,3681289.7364253127,3273406.9487883793,2818382.931264455,3118889.5840939353,3162277.660168379,2716439.2688390836,2564484.036517716,2421029.04673618,2437810.81836875,2322736.796357105,2344228.8153199228,2228435.149270303,2317394.6499684798,2108628.149933289,2079696.6871036938
12250.0,5794286.964268809,5395106.225151279,5445026.528424209,6237348.354824191,5701642.722807478,5284452.517751803,4325138.310350088,4539416.166502032,3962780.342554393,4036453.9296760485,3655947.916131247,3749730.0224548336,3380648.3620598153,3443499.307633384,3061963.4336906755,2642408.757321945,2924152.3778433367,2964831.3895243453,2552701.302661247,2404362.8000069344,2269864.851883821,2290867.6527677746,2177709.7723531593,2202926.463053456,2089296.1308540408,2172701.1788637433,1981527.0258050968,1949844.5997580455
12500.0,5445026.528424209,5058246.620031137,5105049.999754065,5847900.841444812,5345643.593969714,4954501.908047905,4055085.354483835,4265795.188015926,3723917.062545683,3793149.8497368167,3435579.478998743,3523708.7104248693,3184197.5217261254,3243396.1734934933,2884031.503126606,2488857.3182823905,2747894.1531023975,2792543.8412373364,2404362.8000069344,2264644.307593062,2137962.0895022326,2157744.4091526647,2051162.1788255668,2074913.5174549106,1972422.7361148535,2051162.1788255668,1866379.6908346694,1840772.0014689544
12750.0,5081594.42560561,4731512.589614803,4775292.736576911,5457578.61091271,4988844.874600126,4634469.197362884,3793149.8497368167,3981071.705534969,3483373.1503601163,3548133.892335753,3213660.5386403147,3296097.121774576,2978516.429429191,3033891.184194272,2703958.364108846,2328091.257665008,2576321.157002573,2612161.354399205,2254239.212152428,2123244.462000219,2009092.8126087277,2023019.1786782718,1923091.7289101575,1945360.0816226613,1849268.6189780796,1923091.7289101575,1753880.5018417602,1725837.8919902039
13000.0,4698941.086052151,4355118.736855688,4365158.322401657,4965923.214503358,4539416.166502032,4207266.283844437,3459393.778261217,3630780.54770101,3184197.5217261254,3243396.1734934933,2937649.6519615306,3013006.0241861218,2722701.30807791,2773320.104651838,2471724.145016129,2137962.0895022326,2360478.2331805783,2393315.756405385,2065380.1558105312,1949844.5997580455,1845015.4191794738,1857804.455091699,1770108.958317422,1786487.5748520498,1702158.50839495,1766037.8206861638,1610645.6351782698,1588546.7485977774
13250.0,4365158.322401657,4045758.9169744286,4064433.2916521276,4613175.7456037905,4216965.034285823,3917418.771077831,3221068.7912834347,3372873.0865886854,2958012.4665515465,3013006.0241861218,2735268.7263067137,2798981.319634363,2535128.6304979073,2582260.1906345957,2301441.817408509,1990673.3389871884,2197859.872784823,2228435.149270303,1923091.7289101575,1815515.662773137,1717908.3871575894,1729816.3592151033,1648162.3915255067,1663412.6503701697,1584893.1924611141,1644371.7232149323,1499684.835502374,1479108.3881682071
13500.0,4073802.7780411304,3775721.90925416,3784425.8471709355,4295364.267648873,3926449.353996001,3647539.46925608,2999162.5189876533,3147748.3141013174,2760577.8562203445,2811900.8303989395,2546830.252585039,2612161.354399205,2365919.6974857566,2409905.428686593,2147830.474130533,1857804.455091699,2051162.1788255668,2079696.6871036938,1794733.6268325248,1694337.8004473287,1603245.3906900417,1614358.556826487,1538154.6403030357,1555965.631605075,1479108.3881682071,1534616.9827992942,1402813.704561959,1380384.2646028837
