Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
15750.0,173380.39977541374,157398.28644662196,154881.66189124828,171001.53150902863,155596.5631605075,143879.85782558465,119398.8104464273,123594.74334445094,108893.00933334332,109647.8196143185,99770.00638225525,101391.138573668,92044.95717531722,93110.7875467831,83560.30182312474,72777.98045368242,79432.82347242821,80167.8063387679,69823.24040771718,65917.38952443213,62517.269277568616,62805.8358813318,59841.15950603199,60255.95860743581,57411.6462207328,59292.532457999936,54325.03314924336,53579.66575133417
16000.0,158124.80392703827,143879.85782558465,141579.37799570808,156314.7642640954,142232.87871228185,131219.9899019204,108893.00933334332,112719.74561755093,99083.19448927685,100000.0,90991.32726322507,92469.81739382229,83945.99865193982,84722.74141405964,76032.62769401823,66374.30704019089,72276.98036021703,72945.75102545695,63533.09318517436,60117.373748327795,56885.29308438413,57147.86366718666,54450.26528424209,54827.69649208536,52239.61889991198,53951.06225151279,49545.019080479055,48752.8490103386
16250.0,144211.53515248682,131219.9899019204,129121.92736135334,142232.87871228185,129419.58414499863,119674.05313072442,99083.19448927685,102565.19262514079,90157.1137605957,90991.32726322507,82603.79495771784,83945.99865193982,76207.90100254114,77090.34690644292,69183.09709189362,60255.95860743581,65765.78373554199,66221.65037017615,57809.60474057175,54575.786109127104,51641.63692720711,51880.00389289609,49431.068698683535,49773.7084978936,47424.198526024484,49090.78761526029,44977.98548932875,44258.83723626265
16500.0,130918.1922999407,119124.20080273738,117219.53655481304,129121.92736135334,117219.53655481304,108143.39512979376,89742.8794500749,92682.98233793485,81658.23713585922,82224.26499470712,74816.95005111537,75857.75750291835,68865.22963442763,69662.65141107686,62517.269277568616,54450.26528424209,59292.532457999936,59841.15950603199,52119.471110508,49317.38039549354,46665.93803142882,46881.33821452655,44668.359215096345,44977.98548932875,42854.85203974392,44258.83723626265,40550.85354483835,39994.47497610978
16750.0,116412.60294104909,105438.6896391258,103276.1405761398,113240.03632355577,102801.62981264725,95060.4793656281,78886.01176185548,81470.42840208388,71779.42912713614,72276.98036021703,65614.52663029057,66680.67692136219,60534.08747539136,61094.202490557145,54954.08738576248,47973.34486366892,52119.471110508,52601.72663907063,45919.80128368685,43351.08783875284,41114.97211045221,41304.7501990161,39355.007545577726,39627.803425543934,37757.2190925416,38994.19866765436,35727.28381519288,35237.08710424869
17000.0,103992.016582906,94188.95965228417,92469.81739382229,101157.94542598982,91833.2596483581,84722.74141405964,70307.23198838341,72443.59600749906,63826.34861905483,64268.77173170194,58479.00841444812,59292.532457999936,53826.97825162881,54325.03314924336,48865.235934283366,42559.841313374265,46344.69197362884,46665.93803142882,40738.0277804113,38547.835766577206,36475.3946925608,36643.75746478333,34914.03154785863,35156.044052829835,33496.54391578279,34593.93778261217,31768.74070649769,31260.793671239557
17250.0,90991.32726322507,82035.15443298177,80167.8063387679,87297.13683881113,79250.13304804718,72945.75102545695,60673.63295885059,62373.483548241915,55080.7696405403,55335.01092157371,50350.06087879048,50933.087105719525,46344.69197362884,46773.51412871981,42072.662838444376,36812.89736425313,39902.4902362142,40179.081084894,35156.044052829835,33265.95532940047,31477.483141013174,31622.776601683792,30130.060241861218,30338.911841942718,28906.798823654775,29853.82618917957,27415.74171927881,26977.394324449204
17500.0,80167.8063387679,72276.98036021703,70469.30689671467,76736.14893618185,69502.43175887963,63973.48354826482,53210.82592667942,54575.786109127104,48194.77976251271,48417.23675840989,44055.486350655345,44565.62483975033,40550.85354483835,40831.93863326919,36728.2300498085,32136.60538640315,34833.731503601164,35075.18739525679,30690.21988391158,29040.226544644513,27542.28703338169,27605.778562203446,26363.313858253816,26485.001386067008,25234.807724805756,26061.535499988975,23933.15756405385,23550.49283896009
17750.0,70307.23198838341,63533.09318517436,61944.10750767812,67297.66562843182,60813.50012787176,55975.76014951104,46558.60935229591,47752.927365769116,42072.662838444376,42169.65034285822,38370.724549227845,38815.036599064864,35318.3169791957,35563.131856898544,31988.951096913974,27989.813196343628,30338.911841942718,30549.211132155153,26730.064086633087,25234.807724805756,23933.15756405385,23988.329190194898,22908.676527677748,23014.41817408509,21928.049353504495,22646.44307593062,20796.966871036937,20464.44636724674
18000.0,60534.08747539136,54450.26528424209,52966.34438916581,57279.60309858292,51760.683195056816,47533.52259428049,39536.66200681283,40457.589169744286,35645.11334262439,35727.28381519288,32508.729738543403,32885.16308759833,29922.646366081888,30130.060241861218,27101.916318908417,23713.737056616552,25703.957827688646,25822.601906345957,22646.44307593062,21428.906011200605,20276.827195212838,20370.42077705719,19408.858775927794,19498.445997580453,18620.871366628657,19186.68740670291,17619.76046411631,17338.039977541375
18250.0,52480.74602497723,47315.12589614803,46025.65735813563,49659.23214503358,44874.53899331323,41114.97211045221,34119.29116219288,34914.03154785863,30760.96814740711,30831.879502493535,27989.813196343628,28248.799749157046,25703.957827688646,25882.12915153093,23280.91257665008,20370.42077705719,22080.047330189012,22181.964198002195,19453.600816226615,18365.383433483476,17418.068733916127,17458.22152920504,16634.126503701696,16749.42876026438,15958.791472367337,16443.717232149324,15100.801541641493,14859.35642287006
18500.0,44668.359215096345,40179.081084894,38904.51449942805,41879.356511791826,37670.37989839086,34514.373933585644,28707.805820246922,29308.932452503184,25822.601906345957,25822.601906345957,23442.288153199228,23659.196974857565,21527.817347243737,21677.041048196963,19498.445997580453,17100.15315090286,18450.154191794736,18578.04455091699,16292.960326397215,15417.004529495583,14588.142602753474,14621.771744567182,13963.683610559363,14028.13704561959,13365.955165464433,13772.094688939473,12676.518658578449,12473.835142429432
18750.0,38459.178204535354,34514.373933585644,33419.50400261143,35974.93351557424,32359.36569296281,29580.124665515465,24547.089156850285,25003.453616964296,22029.26463053456,21978.59872784823,19998.61869632745,20137.242498623895,18323.144223712112,18407.720014689545,16595.869074375598,14521.11617587742,15703.628043335515,15776.112696993501,13835.66378971781,13091.81922999407,12387.96586530369,12416.523075924119,11857.687481671597,11912.420080273738,11350.108156723143,11694.9939101987,10739.89412341244,10568.175092136586
19000.0,32433.961734934932,29107.171180666082,28119.008303989394,30130.060241861218,27101.916318908417,24717.24145016129,20511.621788255667,20844.908830972887,18365.383433483476,18323.144223712112,16634.126503701696,16749.42876026438,15240.527537972906,15275.660582380731,13772.094688939473,12078.138351067797,13031.667784523,13091.81922999407,11481.536214968817,10864.256236170644,10280.162981264724,10303.861204416158,9840.111057611335,9862.79485631211,9418.895965228417,9682.778562612495,8912.509381337459,8770.008211436349
19250.0,27039.583641088462,24210.2904673618,23334.580622810045,24945.947269429562,22335.722228305327,20370.42077705719,16904.409316432633,17139.573075084252,15066.070661867418,14996.84835502374,13645.831365889238,13708.817661648522,12473.835142429432,12502.590302177214,11271.974561755093,9885.53094656939,10665.961212302567,10690.548792226577,9397.233105646375,8892.011178579482,8413.951416451948,8433.347577642757,8035.261221856169,8072.350302488382,7691.304402866098,7925.013304804718,7277.798045368242,7161.43410212902
19500.0,22387.21138568338,20044.720273651594,19319.68317016922,20606.299132700005,18450.154191794736,16749.42876026438,13867.558288718896,14060.47524129913,12331.048332289096,12274.392311584084,11142.945335917293,11194.378834671525,10185.91388054117,10209.394837076807,9183.32596483581,8053.784411990669,8689.60429286302,8709.635899560804,7655.966069112561,7244.359600749898,6854.882264526614,6870.684400142324,6546.361740672747,6561.452663029057,6251.726927756856,6441.692655151775,5915.616341754737,5821.032177708716
