Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Mg],[C/Mg],[O/Mg],[Na/Mg],[Mg/Mg],[Al/Mg],[Si/Mg],[P/Mg],[S/Mg],[K/Mg],[Ca/Mg],[Ti/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg],[Cu/Mg],[Zn/Mg],[He/Mg],[Li/Mg],[Be/Mg],[B/Mg],[N/Mg],[F/Mg],[Ne/Mg],[Cl/Mg],[Ar/Mg],[Sc/Mg],[V/Mg],[Ga/Mg],[Ge/Mg]
53,53,A881334,CC,0.63788,,0.76758,-1.78102,0.0,-0.96882,-0.00802,-1.93002,-0.56232,-2.74102,-1.17302,-2.42602,-2.01902,-2.24202,-0.0976,-2.75902,-1.33502,,,,,,,,,,,,,,,
54,54,A881458,CC,0.63819,,0.75139,-1.55381,0.0,-1.10281,-0.04781,-1.96881,-0.57511,-2.88181,-1.14181,-2.38381,-2.03481,-2.25781,-0.11234,-3.20081,-1.35381,,,,,,,,,,,,,,,
55,55,A881594,CC,0.50896,,0.72366,-2.08024,0.0,-0.95354,-0.05024,-2.70824,-0.63134,-2.77324,-1.08224,-2.45924,-1.94024,-2.09124,-0.11719,-2.87124,-1.36724,,,,,,,,,,,,,,,
56,56,A881955,CC,0.64363,,0.78503,-2.08797,0.0,-0.90697,-0.03697,-2.68097,-0.68837,-2.74597,-1.17897,-2.46397,-1.89297,-2.07897,-0.11925,-2.84397,-1.37597,,,,,,,,,,,,,,,
57,57,ALH83100,CC,0.500777,-0.523323,0.766777,-1.491023,0.0,-0.901623,-0.006023,-2.267023,-0.673623,-2.646023,-1.144023,-2.533023,-1.919023,-2.200023,-0.111723,-2.743023,-1.372023,,,,,,,,,,,,,,,
58,58,ALH83102,CC,0.486228,-0.486172,0.763628,-1.430472,0.0,-1.022472,-0.009472,-2.200472,-0.674472,-2.742472,-1.179472,-2.494472,-1.939472,-2.107472,-0.106842,-2.663472,-1.383472,,,,,,,,,,,,,,,
59,59,Banten,CC,0.38349,-0.48561,0.72579,-1.39811,0.0,-1.05811,-0.01011,-2.16211,-0.69251,-2.51911,-1.16411,-2.51511,-2.00411,-2.08011,-0.11371,,-1.34511,,,,,,,,,,,,,,,
60,60,Boriskino,CC,-0.16418,,0.62802,-1.14298,0.0,-0.89568,-0.03298,,-1.17998,-2.05298,-1.08398,-2.40798,-2.08498,-2.35598,-0.10924,-2.97398,-1.38898,,,,,,,,,,,,,,,
61,61,Colby,CC,,,,,0.0,-1.15493,0.03607,-2.29493,,-2.42993,-1.29093,-2.66793,34.51607,-2.11793,-0.13253,,,,,,,,,,,,,,,,,
62,62,Cold_Bokkeveld,CC,,,,,0.0,-1.0474,-0.0144,-2.1954,,-2.5644,-1.1814,-2.5854,34.6356,-2.1924,-0.11084,,,,,,,,,,,,,,,,,
