Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
13500.0,0.10495424286523224,0.1655769963469528,0.37931498497368193,0.1770108958317421,0.11040786199020733,0.07906786279998249,0.06576578373554205,0.053579665751334174,0.046773514128719815,0.04581418867145335,0.1342764961137864,0.11885022274370183,0.1101539309541415,0.09162204901219996,0.07128530301265194,0.05164163692720711,0.03499451670283573,0.03076096814740708,0.08035261221856173,0.07655966069112562,0.07046930689671471,0.06516283940608428,0.06251726927756858,0.0591561634175474,0.05714786366718669,0.0533334895487621,0.05248074602497726,0.04623810213992603,0.04549880601500485
13750.0,0.08222426499470711,0.15205475297324958,0.3443499307633385,0.15417004529495593,0.0984011105761134,0.07194489780036994,0.06011737374832779,0.04897788193684461,0.042461956394631274,0.04207266283844442,0.1238796586530369,0.10789467222298288,0.10023052380778996,0.08222426499470711,0.06266138646723353,0.0449779854893288,0.03069021988391158,0.02741574171927882,0.07413102413009177,0.06982324040771715,0.06441692655151772,0.059566214352901034,0.05714786366718669,0.05420008904016239,0.052119471110508055,0.048865235934283366,0.047863009232263824,0.042169650342858224,0.04149540426343631
14000.0,0.0633869711256927,0.13963683610559377,0.31117163371060175,0.13458603540559483,0.08810488730080142,0.06561452663029053,0.05508076964054035,0.04477133041763626,0.03837072454922788,0.038725764492161724,0.11350108156723152,0.09794899854086991,0.09099132726322517,0.07379042301291011,0.05508076964054035,0.039174187710778303,0.026977394324449205,0.024603676041476275,0.06823386941416697,0.06382634861905485,0.0588843655355589,0.054450265284242114,0.05223961889991197,0.0496592321450336,0.047533522594280536,0.0446683592150963,0.043651583224016584,0.03845917820453535,0.0377572190925416
14250.0,0.04456562483975033,0.12676518658578456,0.27669416454115114,0.11455129414455358,0.07744617978025188,0.0588843655355589,0.04977370849789361,0.040179081084894,0.03404081897010009,0.03507518739525679,0.10280162981264736,0.08749837752274359,0.0812830516164099,0.06471426157485831,0.04698941086052153,0.03334264127632349,0.023334580622810033,0.02177709772353159,0.06194410750767815,0.05741164622073274,0.053088444423098846,0.04909078761526031,0.04709773263969529,0.04487453899331321,0.04275628861515862,0.040179081084894,0.039084089579240214,0.034514373933585626,0.03372873086588689
14500.0,0.03341950400261143,0.11668096170609624,0.25003453616964316,0.10092528860766845,0.06998419960022735,0.05395106225151276,0.04570881896148749,0.036728230049808464,0.030549211132155137,0.03228494121712635,0.0946237161365793,0.07979946872679765,0.07413102413009177,0.05794286964268809,0.04120975190973302,0.02924152377843335,0.020844908830972887,0.01976969640111861,0.05714786366718669,0.05272298614228227,0.048640720569146166,0.0449779854893288,0.04325138310350086,0.04120975190973302,0.039084089579240214,0.036812897364253146,0.03564511334262443,0.03147748314101316,0.03069021988391158
14750.0,0.00014757065332758945,0.05164163692720711,0.06652731562017412,0.03235936569296283,0.02773320104651841,0.022284351492703042,0.01857804455091698,0.011220184543019636,0.0036140986263961316,0.01428893958511103,0.038018939632056124,0.02552701302661247,0.022080047330189003,0.014223287871228198,0.010864256236170655,0.009162204901220002,0.007744617978025183,0.008279421637123344,0.024945947269429548,0.022029264630534562,0.01999861869632744,0.01790605854035294,0.016481623915255084,0.016106456351782705,0.013614446824659496,0.0125025903021772,0.011040786199020729,0.009204495717531713,0.008994975815300356
15000.0,0.0002600159563165272,0.05284452517751805,0.07294575102545688,0.03341950400261143,0.028510182675039096,0.023120647901755952,0.01936421963946607,0.01244514611771385,0.004775292736576907,0.014621771744567183,0.039810717055349734,0.027797132677592883,0.024043628000069334,0.015417004529495591,0.011428783347897719,0.009506047936562819,0.008016780633876789,0.008491804750363135,0.025763211570025753,0.022803420720004186,0.020796966871036958,0.018749945080674183,0.017378008287493755,0.01694337800447329,0.014588142602753481,0.013458603540559484,0.012022644346174132,0.010046157902783952,0.009840111057611334
15250.0,0.00044360864393143233,0.0540754322945581,0.07961593504173188,0.034673685045253165,0.029376496519615308,0.02387811282913177,0.020137242498623885,0.013583134465871541,0.006067363295885053,0.014996848355023733,0.04159106104940221,0.029991625189876515,0.02606153549998895,0.016788040181225608,0.012050359403717974,0.00988553094656939,0.008279421637123344,0.008709635899560805,0.02654605561975539,0.023550492838960102,0.021577444091526666,0.019543394557753942,0.018238957023196375,0.01770108958317421,0.015523870099580825,0.014387985782558451,0.013001695780332907,0.010939563662720937,0.010690548792226577
15500.0,0.0007345138681571151,0.05533501092157368,0.08669618757582165,0.03605786430216423,0.030269134281013063,0.024660393372343388,0.020844908830972887,0.014621771744567183,0.007413102413009177,0.01538154640303035,0.04335108783875289,0.032210687912834345,0.028054336379517132,0.018281002161427428,0.012793813041575246,0.010303861204416159,0.008570378452303693,0.008953647655495937,0.027352687263067124,0.024322040090738146,0.022335722228305314,0.02032357010936222,0.019098532585662378,0.01849268618978078,0.016443717232149314,0.015275660582380723,0.013963683610559377,0.011830415557251646,0.011587773561551261
15750.0,0.0011803206356517297,0.056754460540854715,0.09418895965228413,0.03767037989839089,0.031188895840939368,0.02540972705549305,0.021577444091526666,0.015631476426409538,0.008790225168308843,0.015739828644662196,0.0449779854893288,0.034355794789987466,0.03013006024186122,0.0199526231496888,0.013614446824659496,0.010789467222298286,0.008871560120379608,0.009183325964835811,0.028119008303989407,0.025061092530321138,0.02306747188720069,0.021134890398366465,0.019906733389871863,0.019230917289101587,0.017298163592151014,0.01614358556826486,0.01492794409578996,0.012735030810166616,0.01244514611771385
16000.0,0.0018663796908346695,0.058076441752131204,0.10115794542598985,0.03935500754557774,0.032136605386403165,0.02618183008218985,0.02223309890651403,0.01651961798229015,0.010185913880541169,0.016106456351782705,0.04655860935229589,0.036391503612720706,0.03206269324505466,0.02167704104819695,0.014554590805819662,0.011297959146727977,0.009183325964835811,0.009418895965228418,0.028840315031266057,0.025822601906345957,0.02376840286624876,0.021827299118430014,0.020701413487910426,0.0199526231496888,0.01815515662773135,0.016982436524617443,0.015848931924611134,0.013614446824659496,0.013273944577297395
