Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
11250.0,4.4157044735331255,1.309181922999407,2.6915348039269156,4.027170343254591,2.9853826189179595,2.432204009073815,1.6481623915255081,1.36144468246595,1.035142166679344,0.8790225168308843,0.9397233105646379,1.455459080581966,1.7498466886246569,1.8879913490962936,1.717908387157588,1.1967405313072434,1.1117317272815912,1.0185913880541169,0.9506047936562815,0.9794899854086989,1.0327614057613974,1.0162486928706955,1.023292992280754,1.0139113857366795,0.9682778562612492,0.8974287945007484,0.8511380382023764,0.6295061828571975,0.5035006087879048
11500.0,0.8590135215053957,0.3647539469256078,0.8912509381337456,1.2189895989248665,0.8550667128846833,0.6081350012787179,0.4335108783875289,0.3622429984166986,0.2877398414735669,0.251188643150958,0.281190083039894,0.48083934844972853,0.5188000389289611,0.5046612975635284,0.4446312674691087,0.3303695410368148,0.29040226544644504,0.2722701308077913,0.25003453616964316,0.28973435877013226,0.29580124665515456,0.28641779699065806,0.28248799749157066,0.27925438412373377,0.26607250597988097,0.24266100950824154,0.23173946499684786,0.13963683610559377,0.1309181922999407
11750.0,0.17660378206861643,0.09660508789898135,0.24322040090738153,0.20417379446695297,0.14757065332758945,0.1051961873823223,0.07128530301265194,0.0505824662003114,0.03723917062545685,0.03019951720402016,0.07550922276654337,0.10715193052376065,0.09594006315159331,0.08394599865193973,0.07112135136533292,0.05610479760324706,0.04477133041763626,0.04120975190973302,0.046344691973628796,0.06471426157485831,0.06011737374832779,0.05834451042737448,0.055462571295791074,0.05128613839913648,0.050933087105719546,0.043651583224016584,0.04197589839910075,0.02831391995799379,0.02910717118066605
12000.0,0.10447202192208001,0.06471426157485831,0.15885467485977786,0.11324003632355571,0.07550922276654337,0.046451527522274945,0.03140508693876218,0.02376840286624876,0.020090928126087277,0.018071741260109266,0.05000345349769786,0.05662392890382532,0.050815944256056046,0.04395416154378245,0.03819442708400466,0.031188895840939368,0.024434305526939714,0.02306747188720069,0.030269134281013063,0.03564511334262443,0.0328851630875983,0.03083187950249355,0.02910717118066605,0.0263633138582538,0.02654605561975539,0.02306747188720069,0.022438819237827663,0.018365383433483463,0.018281002161427428
12250.0,0.09354056741475521,0.059566214352901034,0.14554590805819662,0.1018591388054117,0.06698846094165266,0.04073802778041128,0.027925438412373375,0.021379620895022326,0.018281002161427428,0.016595869074375606,0.0460256573581356,0.050815944256056046,0.04570881896148749,0.03971915494694403,0.03459393778261219,0.028183829312644536,0.02187761623949553,0.02027682719521282,0.027861211686297706,0.032136605386403165,0.029648313895243424,0.027669416454115112,0.026121613543992065,0.023713737056616554,0.023823194693586902,0.020892961308540396,0.02032357010936222,0.01694337800447329,0.016749428760264373
12500.0,0.07227698036021703,0.051168183554030786,0.12274392311584072,0.0801678063387679,0.050234258952238715,0.03069021988391158,0.022181964198002193,0.01757923613958693,0.015346169827992941,0.014157937799570816,0.03944573020752785,0.04073802778041128,0.0370680721782576,0.03228494121712635,0.02798981319634363,0.022542392121524292,0.01702158508394951,0.014996848355023733,0.02387811282913177,0.026001595631652722,0.023988329190194897,0.022181964198002193,0.021037784397664752,0.019275249131909356,0.01918668740670289,0.017179083871575886,0.016826740610704674,0.014321878992735432,0.014157937799570816
12750.0,0.06456542290346556,0.04742419852602446,0.11350108156723152,0.07244359600749903,0.04477133041763626,0.02754228703338166,0.02027682719521282,0.01618080037643066,0.014190575216890919,0.013152248321922383,0.036728230049808464,0.03732501577957206,0.03396252725904084,0.029580124665515465,0.02558585886905645,0.020417379446695295,0.01538154640303035,0.013304544179780914,0.022181964198002193,0.02376840286624876,0.021978598727848252,0.02027682719521282,0.019230917289101587,0.01770108958317421,0.01757923613958693,0.015812480392703835,0.015523870099580825,0.01324341535194665,0.013152248321922383
13000.0,0.05688529308438413,0.04395416154378245,0.10447202192208001,0.06471426157485831,0.03953666200681279,0.024603676041476275,0.018450154191794736,0.014825180851459537,0.01309181922999407,0.012161860006463679,0.03404081897010009,0.033806483620598154,0.03097419299216581,0.026915348039269153,0.023173946499684784,0.018365383433483463,0.013772094688939465,0.011641260294104915,0.020558905959841414,0.02167704104819695,0.01999861869632744,0.018450154191794736,0.017538805018417612,0.01618080037643066,0.015995580286146685,0.014521116175877419,0.014256075936021878,0.012217996601648717,0.012133888504649774
13250.0,0.0493173803954936,0.040550853544838394,0.09594006315159331,0.057543993733715694,0.03483373150360118,0.021978598727848252,0.016788040181225608,0.013583134465871541,0.012050359403717974,0.011220184543019636,0.03155004623374628,0.030549211132155137,0.028183829312644536,0.024490632418447456,0.020892961308540396,0.016368165214278085,0.012078138351067804,0.010185913880541169,0.019010782799232996,0.019724227361148535,0.018197008586099836,0.016749428760264373,0.01595879147236733,0.014791083881682071,0.014554590805819662,0.013304544179780914,0.013061708881318418,0.011271974561755105,0.011194378834671514
13500.0,0.042461956394631274,0.03741105882720533,0.08790225168308842,0.05105049999754062,0.03069021988391158,0.01967886289706845,0.015310874616820304,0.01244514611771385,0.011066237839776664,0.010351421666793436,0.02924152377843335,0.027669416454115112,0.025703957827688632,0.022284351492703042,0.018793168168032684,0.014588142602753481,0.010543868963912587,0.008892011178579481,0.01757923613958693,0.017947336268325266,0.016557699634695285,0.015240527537972915,0.014554590805819662,0.013520725631942771,0.013273944577297395,0.012189895989248667,0.011967405313072436,0.010399201658290589,0.010303861204416159
13750.0,0.036982817978026626,0.03483373150360118,0.08147042840208396,0.04581418867145335,0.02754228703338166,0.017947336268325266,0.01412537544622754,0.011534532578210924,0.010209394837076797,0.009638290236239706,0.027289777828080404,0.02540972705549305,0.023659196974857587,0.020464446367246737,0.01710015315090288,0.013152248321922383,0.009375620069258801,0.007925013304804718,0.016368165214278085,0.01651961798229015,0.015240527537972915,0.014060475241299136,0.013427649611378635,0.012531411749414162,0.01224616199265049,0.011297959146727977,0.01109174815262401,0.009682778562612496,0.009549925860214359
14000.0,0.031188895840939368,0.032210687912834345,0.07447319739059892,0.04045758916974426,0.024378108183687526,0.0162181009735893,0.012941958414499863,0.010592537251772886,0.009354056741475521,0.008892011178579481,0.02523480772480574,0.023120647901755952,0.0216271852372702,0.01857804455091698,0.015346169827992941,0.011641260294104915,0.008184647881347895,0.006966265141107686,0.01513561248436208,0.015100801541641486,0.013899526312133533,0.012823305826560218,0.012274392311584071,0.01148153621496883,0.011194378834671514,0.010375284158180127,0.010185913880541169,0.008953647655495937,0.008770008211436349
14250.0,0.025941793621188137,0.029716660317380267,0.06807693586937413,0.03556313185689853,0.021577444091526666,0.014655478409559114,0.011857687481671602,0.009705099672454899,0.008531001140175895,0.008203515443298184,0.02328091257665008,0.021086281499332896,0.019724227361148535,0.016865530253887415,0.013708817661648536,0.010280162981264735,0.007144963260755134,0.006137620051647939,0.013995873225726178,0.013772094688939465,0.012705741052085419,0.011721953655481303,0.011220184543019636,0.010543868963912587,0.010256519262514073,0.009506047936562819,0.009332543007969915,0.008222426499470713,0.008053784411990669
14500.0,0.021330449131465763,0.02741574171927882,0.062086903423006344,0.03126079367123956,0.01914255925021086,0.013304544179780914,0.010889300933334333,0.008912509381337459,0.007798301105232585,0.007585775750291836,0.021527817347243728,0.019275249131909356,0.01803017740859569,0.015275660582380723,0.012217996601648717,0.00907820530178186,0.006251726927756856,0.0054325033149243305,0.012941958414499863,0.012589254117941675,0.011614486138403426,0.010715193052376065,0.010280162981264735,0.009682778562612496,0.009375620069258801,0.008729713683881113,0.008570378452303693,0.00753355563733717,0.007396052750582382
14750.0,0.017179083871575886,0.02529297996446145,0.05662392890382532,0.027352687263067124,0.01702158508394951,0.012105981335504822,0.01,0.008165823713585922,0.0070957776796338875,0.006998419960022738,0.019860949173573717,0.017619760464116292,0.016443717232149314,0.013803842646028845,0.010864256236170655,0.007979946872679769,0.005482769649208536,0.004830588020397728,0.011967405313072436,0.011534532578210924,0.010616955571987247,0.009817479430199843,0.009418895965228418,0.008892011178579481,0.008590135215053961,0.008016780633876789,0.007852356346100719,0.006886522963442762,0.006760829753919818
15000.0,0.008830799004185631,0.021330449131465763,0.04539416166502032,0.01981527025805098,0.013182567385564075,0.009908319448927675,0.00833681184619634,0.006745280276979223,0.005688529308438413,0.005902010801718442,0.016749428760264373,0.014321878992735432,0.01333521432163324,0.010764652136298349,0.008035261221856169,0.005767664633922509,0.004045758916974429,0.0037497300224548337,0.010092528860766845,0.009506047936562819,0.008770008211436349,0.008109610578538404,0.007780365510398041,0.007413102413009177,0.007046930689671467,0.006622165037017622,0.006456542290346556,0.005610479760324706,0.00554625712957911
15250.0,0.010665961212302578,0.021527817347243728,0.04688133821452652,0.021037784397664752,0.013645831365889245,0.010092528860766845,0.0084527884516029,0.006870684400142325,0.005861381645140285,0.005956621435290103,0.016982436524617443,0.014723125024327186,0.013677288255958488,0.011220184543019636,0.008511380382023767,0.006137620051647939,0.0042559841313374305,0.0038725764492161725,0.010209394837076797,0.009682778562612496,0.008933054837332954,0.008260379495771783,0.007906786279998253,0.00753355563733717,0.007194489780036998,0.006745280276979223,0.006591738952443213,0.005754399373371567,0.005675446054085471
15500.0,0.008184647881347895,0.019860949173573717,0.042461956394631274,0.018450154191794736,0.012274392311584071,0.00922571427154763,0.007762471166286919,0.006295061828571974,0.005308844442309885,0.005495408738576248,0.015703628043335523,0.01339676687425935,0.012473835142429432,0.01006931668851804,0.007498942093324558,0.005370317963702527,0.003767037989839089,0.0034833731503601164,0.009440608762859235,0.008871560120379608,0.008184647881347895,0.007568328950209743,0.007261059574351551,0.006918309709189363,0.006576578373554205,0.006180164001384158,0.006025595860743574,0.005260172663907063,0.005188000389289609
15750.0,4.920395356814511e-05,0.008892011178579481,0.011748975549395297,0.005610479760324706,0.0047533522594280534,0.0038194427084004643,0.003176874070649769,0.0020137242498623874,0.0007888601176185541,0.002454708915685031,0.006397348354826482,0.004477133041763623,0.003828247433168228,0.0025292979964461446,0.0019098532585662387,0.0015812480392703827,0.0013304544179780914,0.001425607593602188,0.004178303666466218,0.003715352290971724,0.003372873086588689,0.0030338911841942717,0.002792543841237339,0.002735268726306711,0.002333458062281002,0.0021577444091526667,0.001931968317016924,0.0016180800376430662,0.0015812480392703827
16000.0,7.85235634610071e-05,0.009057326008981998,0.012676518658578455,0.005794286964268809,0.004864072056914614,0.003935500754557776,0.0032885163087598298,0.0021827299118430013,0.0009749896377173867,0.0025061092530321138,0.006652731562017413,0.004786300923226385,0.004111497211045221,0.0027227013080779127,0.0019998618696327446,0.0016368165214278084,0.0013708817661648536,0.0014554590805819655,0.004285485203974397,0.003828247433168228,0.0034833731503601164,0.0031477483141013176,0.002917427014001166,0.00285101826750391,0.0024660393372343387,0.0022908676527677724,0.0020701413487910414,0.0017418068733916145,0.0017021585083949501
16250.0,0.00012560299636948753,0.00922571427154763,0.013614446824659496,0.0059841159506031985,0.004988844874600122,0.004045758916974429,0.0033962527259040853,0.0023442288153199225,0.0011776059735208078,0.002552701302661247,0.006902398038402419,0.005093308710571952,0.004395416154378243,0.0029308932452503213,0.0020989398836235244,0.0016982436524617442,0.001412537544622754,0.0014859356422870075,0.004385306977749856,0.003926449353995997,0.0035892193464500534,0.003258367010020087,0.00304088502567628,0.0029580124665515464,0.002600159563165272,0.0024210290467361778,0.002208004733018899,0.0018663796908346695,0.0018155156627731352
16500.0,0.00019408858775927772,0.009375620069258801,0.014621771744567183,0.006194410750767812,0.005116818355403078,0.004149540426343628,0.003499451670283573,0.0024945947269429535,0.001383566378971781,0.002600159563165272,0.007144963260755134,0.005407543229455809,0.00468813382145265,0.0031550046233746274,0.0022181964198002193,0.001766037820686164,0.0014554590805819655,0.0015170503674593369,0.004487453899331323,0.0040364539296760486,0.003698281797802663,0.003372873086588689,0.0031622776601683794,0.003069021988391158,0.0027289777828080407,0.002546830252585042,0.0023442288153199225,0.0019998618696327446,0.0019364219639466068
