tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,238.0,1000.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,1000.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,1000.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,10000.0,0.0,1.7956819576418992,1.8401788733955824,0.9758192443153227,1.1122568387199599e-05,2023-12-02,0.02546212163462786,1.0
sharp,500.0,238.0,10000.0,20.0,1.4831838079024822,1.494714214380122,0.9922858788879441,1.1616360449305293e-05,2023-12-02,0.007845928847254893,1.0
sharp,500.0,238.0,10000.0,40.0,1.0345229903415802,1.0169728172179195,1.0172572686570638,1.4122288370102926e-05,2023-05-31,0.018564676215793247,1.0
sharp,500.0,238.0,10000.0,60.0,0.616439613648494,0.5899610220860463,1.0448819338417001,1.973768141136992e-05,2023-05-31,0.047451524053599106,1.0
sharp,500.0,238.0,10000.0,80.0,0.32642991051947656,0.30459596993088284,1.07168164632496,3.0457648565483213e-05,2023-05-31,0.07511936952714948,1.0
sharp,500.0,238.0,10000.0,100.0,0.1595364397538382,0.1453173765662494,1.097848333926579,4.9917017941789164e-05,2023-05-31,0.10181413779899201,1.0
sharp,500.0,238.0,10000.0,120.0,0.07362999031378202,0.06548916998308262,1.124307886827736,8.482128274820658e-05,2023-05-31,0.12849078048306942,1.0
sharp,500.0,238.0,10000.0,140.0,0.03262788554568165,0.028343062344468418,1.1511771434271103,0.0001467781302588911,2023-05-31,0.1552391693151587,1.0
sharp,500.0,238.0,10000.0,160.0,0.014143019658662569,0.012010498472750071,1.177554761007701,0.00025345346708595737,2023-05-31,0.18109048356205237,1.0
sharp,500.0,238.0,10000.0,180.0,0.006167213415493604,0.005140123238700813,1.1998182006726346,0.00042370608571399275,2023-05-31,0.20242783179907087,1.0
sharp,500.0,238.0,10000.0,200.0,0.002815416185002636,0.0023200717565723433,1.21350392591396,0.0006569037609289648,2023-05-31,0.2151564006107627,1.0
sharp,500.0,238.0,10000.0,220.0,0.0013887411662228933,0.0011372978039918102,1.2210884091647236,0.0009110812455718095,2023-05-31,0.22240544918357621,1.0
sharp,500.0,238.0,10000.0,240.0,0.0007320078568973758,0.0005919155484737296,1.2366761758242,0.0011353831079928718,2023-05-31,0.2383413912672815,1.0
sharp,500.0,238.0,10000.0,260.0,0.00038825656985732216,0.000303885852169794,1.2776395053771266,0.0013360489596529607,2023-05-31,0.27901217562752084,1.0
sharp,500.0,238.0,10000.0,280.0,0.00019084337046545153,0.00014031401521699135,1.360116237642534,0.0015841524881009914,2023-05-31,0.35683564495370407,1.0
sharp,500.0,238.0,10000.0,300.0,7.94339854565591e-05,5.2632110739284354e-05,1.5092304743398777,0.002007558348664095,2023-05-31,0.4856081245340884,1.0
sharp,500.0,238.0,10000.0,320.0,2.4881102279722324e-05,1.3963195988424202e-05,1.7819059691169061,0.002871530618203811,2023-05-31,0.6804016302412206,1.0
sharp,500.0,238.0,10000.0,340.0,4.737255203421863e-06,2.051359709293505e-06,2.3093244846138608,0.0049030298325662405,2023-05-31,0.9092686074253982,1.0
sharp,500.0,238.0,10000.0,360.0,3.188656784820088e-07,9.712409262946309e-08,3.2830749801546073,0.009808703956668469,2023-05-31,0.9981358550176854,0.958904109589041
sharp,500.0,238.0,10000.0,380.0,1.3108459293608993e-09,2.9532151095858004e-10,4.438707919060967,0.013720894293739001,2023-05-31,1.0,0.589041095890411
sharp,500.0,238.0,10000.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,10000.0,420.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,10000.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,10000.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,10000.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,250.0,200.0,0.0,79.35385899492357,80.69557745045381,0.9833730856396183,3.844248938965767e-06,2023-12-02,0.01737163840589504,1.0
sharp,500.0,250.0,200.0,20.0,61.59221937806418,61.419686713801255,1.0028090775693286,3.835864555238906e-06,2023-05-31,0.003284519052271412,1.0
