halo,m_chi_gev,delta_keV,timing,energy_per_keV,profile,sigma_n_for_one_event_cm2,events_at_ceiling,sideband_per_window_event,sideband_factor,marginal,physical,marginal_rel_global
shm_lz,500,0.0,0.9788885209025247,1.1999697570527993e-05,1.1746366206091766e-05,9.972676102708086e-48,10027398761.38612,0.00015347115116540137,0.9998465406249293,1.1744563616074428e-05,True,0.0002584284347335922
shm_lz,500,10.0,0.9867505969218437,1.1970676283855431e-05,1.1812071968652505e-05,1.0993458157865984e-47,9096318789.229074,0.00015188108207708653,0.9998481304512705,1.1810278074613065e-05,True,0.0002598744215931007
shm_lz,500,20.0,0.9973498791322246,1.2391364128455644e-05,1.2358525515798621e-05,1.2669826592918033e-47,7892767850.184811,0.00015663325616723387,0.9998433790101808,1.2356589911299632e-05,True,0.00027189551641165245
shm_lz,500,30.0,1.009932718588349,1.3345820868605275e-05,1.3478381151623649e-05,1.529607204432905e-47,6537626111.474453,0.00016865163729259765,0.9998313625835953,1.3476108192248921e-05,True,0.0002965294974141811
shm_lz,500,40.0,1.0237150163553457,1.4955540442274512e-05,1.5310211328466087e-05,1.9330848090742472e-47,5173078777.019097,0.0001894401855124238,0.9998105777571464,1.5307311233897688e-05,True,0.00033682345393760456
shm_lz,500,50.0,1.0380369066683575,1.7378486266333964e-05,1.803951012648384e-05,2.547176245926458e-47,3925916008.3611746,0.00022108492104099637,0.9997789395164292,1.80355223036519e-05,True,0.0003968552558356728
shm_lz,500,60.0,1.0522715991958673,2.0825349514664597e-05,2.1913923837608994e-05,3.4786023841142283e-47,2874717744.5939527,0.0002664414521695506,0.9997335940402019,2.1908085837696093e-05,True,0.0004820674923413946
shm_lz,500,70.0,1.0661726312160955,2.5579794283081605e-05,2.727247657675955e-05,4.893237049719275e-47,2043636941.8427627,0.00032949675445355673,0.9996705575236404,2.7263491864539644e-05,True,0.0005999083285037362
shm_lz,500,80.0,1.0797646153763045,3.202582256379507e-05,3.458034998270596e-05,7.051446877008934e-47,1418148668.5526557,0.0004158025808522324,0.9995842838530606,3.4565974372851336e-05,True,0.0007605928107870554
shm_lz,500,90.0,1.093142581288586,4.068736295533922e-05,4.4477088966825106e-05,1.03659646809947e-46,964695550.0759451,0.000533083056521013,0.9994670590070066,4.445338530286567e-05,True,0.0009781562906863177
shm_lz,500,100.0,1.1064554272550962,5.2274366716899605e-05,5.783925676023673e-05,1.5496373241708274e-46,645312283.3338281,0.0006920355402604366,0.9993082038611061,5.77992437857335e-05,True,0.0012718197617737487
shm_lz,500,110.0,1.1198802706357343,6.775605186216881e-05,7.587866569661446e-05,2.3509263060276018e-46,425364247.8864922,0.0009075887144641199,0.999092823019602,7.580983031779117e-05,True,0.0016681263286472236
shm_lz,500,120.0,1.1335255621912081,8.843139388346729e-05,0.00010023924546710942,3.613465176587051e-46,276742669.745197,0.0012001895044027099,0.9988005304349705,0.0001001190115429501,True,0.0022030277399755094
shm_lz,500,130.0,1.1474780169474152,0.0001160070659394281,0.000133115557976063,5.618543798860152e-46,177982060.08519015,0.0015974088991425703,0.9984038662793687,0.00013290308774523677,True,0.0029244115030595567
shm_lz,500,140.0,1.161811013349414,0.0001526827694520801,0.00017738852309811612,8.824135104832298e-46,113325554.07638504,0.0021358181454807982,0.9978664610911274,0.00017701005778209886,True,0.0038949452410578715
shm_lz,500,150.0,1.1765813929146716,0.00020122413743627618,0.00023675657591282713,1.3975293554333911e-45,71554847.56811336,0.002862863108380335,0.9971412309763417,0.00023607974354746013,True,0.005194719922481908
shm_lz,500,160.0,1.191672541371958,0.00026494680411314966,0.0003157298313858954,2.227340662211173e-45,44896589.77478815,0.003837078543767278,0.9961702736354724,0.000314520672526569,True,0.00692074118285255
shm_lz,500,170.0,1.2067621606242749,0.00034743484957604085,0.000419271229750553,3.561597766704616e-45,28077286.249122243,0.0051238406014895085,0.9948892638784563,0.0004171284451319428,True,0.009178531845216066
shm_lz,500,180.0,1.22129598160819,0.0004518633845698774,0.0005518589358110675,5.690167779926516e-45,17574174.236614764,0.006783526458843347,0.9932394297194879,0.0005481280546905882,True,0.01206105904295864
shm_lz,500,190.0,1.234524757708891,0.0005797584045516817,0.000715726103908858,9.034541553584316e-45,11068630.257207302,0.008848523511398523,0.9911905094598701,0.000709420921567149,True,0.015610161800897939
shm_lz,500,200.0,1.2457196503525652,0.000729320354720849,0.0009085286972778648,1.417032703753417e-44,7057000.147923288,0.011291614932240075,0.988771896079586,0.0008983276426501506,True,0.019766882291842234
shm_lz,500,210.0,1.2546121889580806,0.0008940584946935864,0.0011216966850840868,2.1837280922022761e-44,4579324.704256134,0.01400138678604296,0.9860961767574987,0.0011061008126429781,True,0.024338741822441817
shm_lz,500,220.0,1.2619343114375996,0.001063133185938336,0.0013416042449635557,3.2969309974006e-44,3033123.8378614243,0.01679263524702076,0.9833475751213366,0.0013192632810574041,True,0.029029187960507997
shm_lz,500,230.0,1.2697166704910474,0.0012244211065068605,0.001554667890632855,4.88401494032138e-44,2047495.7841431124,0.019467661826204474,0.9807206093893851,0.0015246948410995635,True,0.03354952249502518
shm_lz,500,240.0,1.2810882897700073,0.0013693716806182784,0.001754286024382751,7.147949322645418e-44,1399002.643781903,0.021903259016677144,0.9783348755512086,0.0017162791993457231,True,0.03776516195507552
shm_lz,500,250.0,1.2997520888427252,0.001496831359083505,0.001945509685614081,1.0456613933858488e-43,956332.5243958781,0.024107422606146657,0.976180840235403,0.0018991692795888681,True,0.04178949173952559
