n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
498,0.4319509576739561,149,0.2991967871485944,0.7547225515524767,0.16648420739274566,0.0949080884474604,0.5515275734657619,26,0.09529495612055205,0.4319509576739561,571216300013797,148.9329533,21.07337235,,,,unknown,0.0014960390312036417,0.18518179081277003,0.01112603671893022,0.019470564258127883,False,1.316237454221096,25.191951124346534,36,0.0,False,False,False,0.9955156950672646,
32,0.5409447654100961,6,0.1875,0.4764051035755157,0.29829618726521767,0.7238090518463012,0.55,2,0.0,0.5347395847102302,1616206400011672,149.57322005,21.14257625,,,,unknown,-0.11335858338378549,5.476135801852738,-0.7664580698112519,0.0,False,1.1557231223308042,6.724198640760873,2,0.5829893152101451,True,False,False,1.0,
273,0.6160998303829592,19,0.0695970695970696,1.2555790929759487,0.9968170061195474,0.37274046953598006,0.543512604717763,5,0.0686495303356722,0.6160998303829592,570213400020480,148.9470789,21.0459259,20.8190975189209,0.3753318786621094,,unknown,0.0075335944874237865,0.2615610831914825,0.055964450955906464,0.09793778917283631,False,2.3769394996447977,16.671564142127135,3,0.6756208552283618,True,False,False,0.7708333333333334,
578,0.3984065210751089,179,0.3096885813148789,0.9863349731688459,0.9972956197769046,0.1208968121953511,0.5419849240747557,32,0.03772486789840344,0.3984065210751089,571216400033570,149.6094146,21.1094887,,,,unknown,0.00737947617572253,1.7619170483194422,0.05502235939947707,0.09628912894908485,False,0.5123264922558104,17.065636186931883,12,0.0,False,False,False,0.9711538461538461,
81,0.41208291644277517,25,0.30864197530864196,0.5768466960682637,0.19299950643261435,0.32856389017277304,0.5414308329481681,5,0.09585550967410797,0.3168066978363465,1616206300012405,148.9329578,21.0733609,,,,unknown,-0.0037908275402001737,0.417524633636541,-0.025625956813549983,0.0,False,0.6299840699227546,10.037798813140489,6,0.0,False,False,False,1.0,
558,0.31332036440532396,24,0.043010752688172046,0.8760823959376746,10.591827258430584,0.06374640823160216,0.5399855972309365,1,0.03696349343319425,0.25839930524063703,571216400013771,149.18882539999998,21.11295325,,,,unknown,0.0003759546580810587,0.16334218848184456,0.002803172188449214,0.025738884663119452,False,0.5822280518595853,11.210835828595147,6,0.0,False,False,False,1.0,
526,0.3686368359879748,22,0.04182509505703422,0.7708544088939585,0.11239983348503382,0.05349116534022032,0.5391974582416716,1,0.03825173071875409,0.2487463414467047,571215300007812,150.80638485,21.032638249999998,,,,unknown,0.011045205804166638,2.5881457709668934,0.08214309469511298,0.2062504157164477,False,0.7672751060543386,13.311881243400189,12,0.0,False,False,False,0.9866666666666667,
529,0.4762885368143409,165,0.31190926275992437,0.7628706481114552,0.1664873286316223,0.07201492384359119,0.5391098085612084,29,0.09426787550049717,0.40411035306631504,571216400019923,149.6442678,21.117815,,,,unknown,0.00274798950147316,0.47472852383425795,0.020496911481214544,0.03586959509212544,False,0.9499446324636094,18.016570629420237,42,0.0,False,False,False,0.9872340425531915,
530,0.4902574114862448,174,0.3283018867924528,0.78354325046879,0.3332175000409714,0.10529235235610662,0.5355551514360252,28,0.061006525935792706,0.41994224153553716,571215300038376,150.8167777,21.0784494,,,,unknown,0.009881176438448071,1.792383445867005,0.0734864331047392,0.12860125793329358,False,0.7859684393187603,19.481366825585713,22,0.0,False,False,False,0.9763313609467456,
43,0.8526941779650595,29,0.6744186046511628,0.6988068238727785,0.14476636984882943,0.45010089858836305,0.534969730423491,6,0.15961365340587702,0.8526941779650595,571216400036155,149.153612,21.0640523,,,,unknown,-0.15250557221909536,2.06269512497106,-0.909388372210082,0.0,False,2.2545036278983743,42.99969076478571,18,0.0,False,False,False,1.0,
571,0.16032357495854943,32,0.05604203152364273,1.1095099936716748,0.23330232248927732,0.04506320563887602,0.5344772933775044,2,0.0,0.13004073034508823,571216300005805,149.0417288,21.1576471,,,,unknown,0.001303428743761026,1.4165757049045324,0.009686499008034095,0.016951373264059665,False,0.10413109287877798,4.619012316388114,0,0.0,False,False,False,0.7777777777777778,
329,0.611403625886161,29,0.08814589665653495,0.8810632027682148,0.9975362938398149,0.35985012702431296,0.5320449618927061,5,0.16877095140944975,0.5306446376632661,571216400006301,149.403372,21.1248139,,,,unknown,-0.050111606694886235,2.4552233954169695,-0.3487788866253386,0.0,False,1.0663063959832804,8.17858680811032,6,0.0,False,False,False,1.0,
92,0.30213019491453963,3,0.03260869565217391,0.8829224691556282,0.1215178307260214,0.2148705566857319,0.5282689350422515,1,0.025756632650676337,0.30213019491453963,1616206400003772,149.41954935,21.17505095,,,,unknown,0.00649433543782098,2.1609654555333546,0.043892752576987784,0.18097898367639526,False,0.11506447555143651,3.2244314231308686,0,0.0,False,False,False,0.6666666666666666,
293,0.5033510518716069,17,0.05802047781569966,0.6354407702626922,0.9918309005079935,0.08791242724037364,0.5236262718278879,2,0.14157554452481658,0.40385421178492187,571216400024686,150.0320198,21.023902,,,,unknown,-0.003187388031128951,0.3160501627386633,-0.022166235027393087,0.0,False,2.2781383612272346,24.549102013969826,15,0.0,False,False,False,1.0,
49,0.4482283889884554,21,0.42857142857142855,0.872381565419676,1.222032132289558,0.5827286841533599,0.52,6,0.1058374468529184,0.4482283889884554,1616206400018010,150.1491526,21.0652757,,,,unknown,-0.04492862412964527,3.6698396625459786,-0.3029158430268991,0.0,False,0.9105467979725606,12.017400107296746,4,0.5224492193197056,True,False,False,1.0,
