kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K03190.01,1.7065042e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,1,15,1800,2,10.263987,447.8087,analytic,1534.8678,0.0093219528,False,False
K03190.01,1.7065042e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,15,41,54,55","1800,600",14,707.85195,140.80715,bootstrap,2013.7696,1.4011516,False,False
K03190.01,1.7065042e+08,pdc,QLP,DET_FLUX,OK,3,"74,81,82",200,9,651.97872,284.46145,bootstrap,3377.1237,1.0306482,False,False
K03190.01,1.7065042e+08,sap,SPOC,SAP_FLUX,OK,1,15,120,3,75.537069,266.96164,analytic,2983.1581,0.62137257,False,False
K03190.01,1.7065042e+08,sap,TESS-SPOC,SAP_FLUX,OK,1,15,1800,3,67.279926,453.74766,analytic,1211.861,0.0374497,False,False
K03190.01,1.7065042e+08,sap,QLP,SAP_FLUX,OK,8,"14,15,41,54,55,74,81,82","1800,200,600",23,614.77888,147.97412,bootstrap,2775.6254,1.7577909,False,True
K00657.01,2.5820272e+08,pdc,QLP,KSPSAP_FLUX,OK,6,"14,26,40,41,53,54","1800,600",37,-701.08074,379.08709,bootstrap,3055.1959,0.074853523,True,True
K00657.01,2.5820272e+08,pdc,QLP,DET_FLUX,OK,3,"74,80,81",200,19,-340.05274,424.39106,bootstrap,7149.7143,0.77088413,False,False
K00657.01,2.5820272e+08,sap,QLP,SAP_FLUX,OK,9,"14,26,40,41,53,54,74,80,81","1800,200,600",56,-119.90121,570.16268,bootstrap,3984.0832,1.0531615,True,True
K00657.02,2.5820272e+08,pdc,QLP,KSPSAP_FLUX,OK,6,"14,26,40,41,53,54","1800,600",10,1657.5206,369.32282,bootstrap,3321.4432,0.2569273,False,True
K00657.02,2.5820272e+08,pdc,QLP,DET_FLUX,OK,3,"74,80,81",200,5,482.59803,558.82548,analytic,6625.3623,0.52365355,False,False
K00657.02,2.5820272e+08,sap,QLP,SAP_FLUX,OK,9,"14,26,40,41,53,54,74,80,81","1800,200,600",15,1240.1673,341.71973,bootstrap,4522.3996,0.34147489,False,True
K02949.01,1.2068698e+08,pdc,SPOC,PDCSAP_FLUX,OK,8,"40,41,53,54,74,75,80,81",120,19,25.609818,242.20439,bootstrap,5737.6881,0.26001919,False,False
K02949.01,1.2068698e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,8,"40,41,53,54,74,75,80,81","200,600",19,184.31095,293.5692,bootstrap,2671.3883,0.60050099,False,False
K02949.01,1.2068698e+08,pdc,QLP,KSPSAP_FLUX,OK,6,"14,26,40,41,53,54","1800,600",16,578.61583,669.51784,bootstrap,3348.3055,0.9159948,False,False
K02949.01,1.2068698e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,80,81",200,10,683.03641,251.45246,bootstrap,7240.3388,0.044304165,False,False
K02949.01,1.2068698e+08,sap,SPOC,SAP_FLUX,OK,8,"40,41,53,54,74,75,80,81",120,21,53.467017,231.384,bootstrap,5420.659,0.83294629,False,False
