n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
41,0.40507299900152105,5,0.12195121951219512,4.059297279814653,0.10294364471893959,0.5020990922030988,0.6697208968262602,1,0.01009303439124659,0.29808384186783154,1668204100005783,174.1159742,26.979456,,,,unknown,-0.005274763766046146,1.0774748157817742,-0.021142296874236816,0.0,False,False,False
667,0.20691935339859213,76,0.11394302848575712,0.6806098697462498,0.9972267695908789,0.1403073001527188,0.6685506387229356,11,0.02123989882175014,0.17986581995617723,623209300010532,175.8226242,26.8441682,,,,unknown,0.00905281625326577,1.8487725662439631,0.06705245545672647,0.11734179704927131,False,False,False
708,0.2507723439515279,86,0.12146892655367232,0.77057902224141,0.997225015163674,0.06532087564045981,0.6675286763485381,20,0.027148829843584202,0.2306791903368609,623210200008072,174.0275572,27.14391325,,,,unknown,0.0037639767838993574,1.3580718888706451,0.02795148796913535,0.09355796108884398,False,False,False
591,0.4236912678513022,99,0.16751269035532995,0.901046184147191,0.9971544319934358,0.05621850626446035,0.6674498406954315,14,0.04094248818936252,0.30941458804342914,623210400002474,174.7464293,26.8519687,,,,unknown,0.005797073577470556,0.8743633429817771,0.04091748303992802,0.10001468622896491,False,False,False
693,0.4265847590337877,65,0.09379509379509379,0.6863621037016439,0.9972973631305551,0.05149448958174671,0.6640458056847647,8,0.04683528248023713,0.2744310119923139,623210200029938,173.8301429,27.1798064,,,,unknown,-0.001006959356854604,0.33769815957768023,-0.007096457313718096,0.0,False,False,False
812,0.23928401188856174,8,0.009852216748768473,0.912908987171979,0.13425511913337762,0.026936191296572917,0.6619191426110281,1,0.0,0.21597652932653044,623210300002604,173.9284971,26.8886064,,,,unknown,0.003806860273474723,0.8647171959244311,0.026719022905474985,0.04675829008458122,False,False,False
771,0.40691896061057264,13,0.016861219195849545,0.7664077713345172,0.21744964009897175,0.027492290991350064,0.6617523127025949,1,0.0,0.25457931501694453,623210300032832,173.7860577,26.9761654,,,,unknown,0.0036140462993533087,1.6394756607947596,0.02532637957623257,0.044321164258407,False,False,False
167,0.6832288071525738,50,0.2994011976047904,1.5741230992137611,0.49860435929380087,0.14234878463465242,0.66174275056243,11,0.15728779277956292,0.6832288071525738,623209300038886,176.2886963,26.8651744,,,,unknown,-0.08685569325141836,1.479216512811874,-0.4564513918630122,0.0,False,False,False
628,0.40144336681840753,8,0.012738853503184714,0.914560187162685,0.23495593907879947,0.027843048603278377,0.6616470854190165,1,0.0,0.3144257014230295,623209300010233,176.22248385,26.86734075,,,,unknown,-0.0026949751189089253,0.47488278853975746,-0.019007272632554823,0.0,False,False,False
799,0.3066503446658535,12,0.015018773466833541,0.8213097006118356,0.49822291308553557,0.0284653606369439,0.6614603918089169,1,0.0,0.23279245711035257,623210300002237,174.251076,26.91787,,,,unknown,0.003939353339809303,1.2047645873272677,0.027627502325075933,0.09299098621174,False,False,False
787,0.32576541807391746,22,0.02795425667090216,0.847663980778843,0.5185642138271743,0.02997454078156979,0.6610076377655291,1,0.0,0.2963254824992173,623210300013278,173.9534008,26.8314813,,,,unknown,-0.0006015423879946045,0.16066489312273638,-0.004222015962979282,0.0,False,False,False
714,0.3940156727866293,26,0.036414565826330535,0.9818137214050278,0.28402662176088184,0.03000307828006294,0.6609990765159811,1,0.0,0.2258541464154209,623210200008180,173.9645548,27.1341677,,,,unknown,0.003296284670781399,0.763389266165013,0.024478377758521467,0.04283716107741256,False,False,False
706,0.23677286927764662,12,0.0169971671388102,0.9148995597024447,0.10378639297660225,0.030624938112482094,0.6608125185662553,1,0.0,0.22237960948419455,623210200007953,173.87716225,27.1561907,,,,unknown,0.0010141253842266124,0.1922636419873965,0.007522433370169217,0.01316425839779613,False,False,False
716,0.2810994100598039,12,0.01675977653631285,0.795750507529517,0.3071593746104576,0.031089966884822285,0.6606730099345534,1,0.0,0.2073876408042894,623210200007677,174.1744764,27.18273105,,,,unknown,-0.0008735091028961205,0.2393693082213501,-0.006472328788583532,0.0,False,False,False
690,0.3395581397462598,7,0.010144927536231883,0.8005646380728799,0.9980956401085113,0.03226156392831408,0.6603215308215058,1,0.0,0.3395581397462598,623210100015749,174.6931107,27.18426915,,,,unknown,-0.003730096203723337,0.5351215117284032,-0.027724866777979727,0.0,False,False,False
826,0.263521555986695,12,0.014527845036319613,0.9434109172608109,0.23331255471014561,0.03447727454397214,0.6596568176368084,1,0.0,0.263521555986695,623210300003123,173.9271375,26.8456276,,,,unknown,0.001853266093662337,0.6071558789065995,0.013731796720864496,0.024030644261512864,False,False,False
664,0.2544355222105301,12,0.018072289156626505,0.898341960943305,0.2556831410858309,0.03453022823147744,0.6596409315305568,1,0.0,0.2544355222105301,623209300002303,175.9397019,26.8575017,,,,unknown,0.004922568131685192,1.2279958200701138,0.03645376947728386,0.06379409658524675,False,False,False
568,0.3161152743670883,11,0.01936619718309859,0.9457979584642093,0.877431210646268,0.034584910965222676,0.6596245267104333,1,0.0,0.27117083356217364,623210400002736,175.20678,26.8223855,,,,unknown,-0.00800633469604399,0.7761660419763399,-0.056423948237442595,0.0,False,False,False
