star,channels,n_channels,ra,dec,phot_g_mean_mag,bp_rp,ruwe,abs_b,ipd_frac_multi_peak,non_single_star,systematics,main_id,otype,families,trace_verdict,in_groups
gaia:3192890752409564288,"ignition(score=2.17,pct=0.0112); cenotaph(score=1.85,pct=0.0356)",2,64.04763743722059,-8.075467938465794,10.86189079284668,0.8417015075683594,1.122010588645935,38.04915472170733,14.0,0.0,ipd_frac_multi_peak>2 (resolved double in the IPD),TYC 5313-431-1,*,,SYSTEMATIC:ipd_frac_multi_peak>2 (resolved double in the IPD),cenotaph+ignition@0.05
gaia:3252386323023791872,"ignition(score=2.25,pct=0.0092); cenotaph(score=1.89,pct=0.0330)",2,63.73819501844454,-2.429913731605421,12.873875617980957,1.2953310012817383,0.9071555733680725,35.477133914016704,0.0,0.0,,UCAC4 438-006090,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3302199078844538368,"ignition(score=1.45,pct=0.0460); cenotaph(score=1.76,pct=0.0415)",2,60.05922056869366,10.034686788037725,12.818614959716797,1.0720281600952148,1.0622689723968506,31.063958022178547,1.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3307256797971421184,"ignition(score=1.44,pct=0.0473); cenotaph(score=2.19,pct=0.0201)",2,66.40854588098662,12.774329785609336,12.441597938537598,1.121826171875,1.0110150575637817,24.51056972512325,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:335791332159134720,"ignition(score=1.66,pct=0.0313); cenotaph(score=1.81,pct=0.0381)",2,42.88896693312174,40.692611149719,12.057687759399414,0.8543405532836914,1.05673086643219,16.673836508478395,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:350235242754091392,"ignition(score=1.49,pct=0.0432); cenotaph(score=1.69,pct=0.0471)",2,25.63481536713613,44.08983076843766,10.367992401123047,0.6735754013061523,1.1465306282043457,17.82690883617301,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3561750858847883648,"ignition(score=1.44,pct=0.0474); cenotaph(score=1.82,pct=0.0373)",2,170.1622945017851,-13.760792516828085,12.406192779541016,1.2342596054077148,0.9027193188667297,43.55366135937714,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3564744863369781632,"ignition(score=1.44,pct=0.0476); cenotaph(score=1.68,pct=0.0481)",2,169.4008227816671,-13.7230244588888,10.12917709350586,0.7616109848022461,0.8537857532501221,43.23168649607822,0.0,0.0,,BD-12  3389,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3810039512320160256,"ignition(score=1.45,pct=0.0464); cenotaph(score=1.83,pct=0.0369)",2,163.24284251869807,4.620912179835046,12.158148765563965,0.9205169677734375,0.9459956288337708,53.89445171609317,0.0,0.0,,TYC  258-560-1,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3846869372279407104,"tailings(score=2.37,pct=0.3788); ignition(score=1.75,pct=0.0259); cenotaph(score=2.68,pct=0.0089)",3,147.84767,2.393129,11.981771469116211,0.8906745910644531,1.1950727701187134,40.36677058557105,0.0,0.0,,TYC  237-1425-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3871283753096037888,"ignition(score=1.98,pct=0.0167); cenotaph(score=3.58,pct=0.0023,FLAG)",2,162.93761553061455,10.977258697180316,10.861655235290527,0.6154308319091797,0.91387939453125,57.57274069328164,0.0,0.0,,TYC  849-304-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3873036859962233344,"ignition(score=1.6,pct=0.0354); cenotaph(score=2.81,pct=0.0072)",2,163.08314106885436,13.835890929194772,10.394979476928711,0.728266716003418,1.126590609550476,59.21729310635985,0.0,0.0,,TYC  852-858-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3882514680257895168,"ignition(score=1.91,pct=0.0192); cenotaph(score=1.78,pct=0.0403)",2,156.6830919495008,11.164780036772928,12.497821807861328,1.1802167892456055,1.1497317552566528,52.475989782502936,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
