n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,1,5.899999944313415e+33,0.6618919999999999,0.794,5504.0,3000.0,3.0,True,3856.9782271999998,8.361076463457831e+21,2.5083229390373497e+22,2.737763583940017e+38,1.4225836879487915e+39,-4.666543934931532,-5.382225817011026,0,0,[],kepler_okamoto2021:kepler:8040308,kepler:8040308,8040308,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,21.197,own,own,own,4.557,False,False,-;-,bolometric,False,,
1,1,1.900000028227508e+34,0.509027,0.925,5737.0,3000.0,3.0,True,3938.1955497999998,8.512677364219843e+21,2.5538032092659526e+22,2.81256074017734e+38,1.4614494304082042e+39,-4.170348302857221,-4.886030184936715,0,0,[],kepler_okamoto2021:kepler:8042739,kepler:8042739,8042739,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,16.897,own,own,own,4.488,False,False,-;-,bolometric,False,,
2,2,4.6000001139486e+33,1.362371,0.737,5137.0,3000.0,3.0,True,3721.1690697999998,1.5527222285604774e+22,4.658166685681433e+22,6.92856515385428e+38,3.600188061008068e+39,-5.177885462838354,-5.893567344917848,0,0,[],kepler_okamoto2021:kepler:8084770,kepler:8084770,8084770,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,10.065,own,own,own,4.551,False,False,-;-,bolometric,False,,
7,7,1.2000000243433737e+34,0.338447,0.801,5115.0,3000.0,3.0,True,3712.721545,4.5704541284678144e+21,1.3711362385403443e+22,1.1064751928120695e+38,5.7494137537952225e+38,-3.9647604266268175,-4.680442308706311,0,0,[],kepler_okamoto2021:kepler:8086085,kepler:8086085,8086085,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,9.717,own,own,own,4.57,False,False,-;-,bolometric,False,,
3,3,7.999999955965818e+33,0.530013,1.107,5924.0,3000.0,3.0,True,4000.5668192,1.2469258678591595e+22,3.7407776035774782e+22,4.986130049103898e+38,2.5908691734581548e+39,-4.79467361705759,-5.510355499137084,0,0,[],kepler_okamoto2021:kepler:8086144,kepler:8086144,8086144,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,15.722,own,own,own,4.305,False,False,-;-,bolometric,False,,
1,1,1.5000000613777181e+34,0.24828899999999998,1.169,5760.0,3000.0,3.0,True,3946.0019199999997,6.616549781251815e+21,1.9849649343755446e+22,1.9273031281987114e+38,1.0014560818879806e+39,-4.108858749479694,-4.824540631559188,0,0,[],kepler_okamoto2021:kepler:8090349,kepler:8090349,8090349,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,24.898,own,own,own,4.259,False,False,-;-,bolometric,False,,
7,7,8.300000240588171e+34,5.012214,1.178,5558.0,3000.0,3.0,True,3876.1471688,1.3852707922359903e+23,4.1558123767079713e+23,1.84631018692667e+40,9.593709150866954e+40,-5.34722656093092,-6.062908443010414,0,0,[],kepler_okamoto2021:kepler:8092433,kepler:8092433,8092433,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,3.934,own,own,own,4.271,False,False,-;-,bolometric,False,,
1,1,4.9000000271889404e+33,1.022974,0.824,5167.0,3000.0,3.0,True,3732.6325737999996,1.4513855085017425e+22,4.354156525505227e+22,6.261477488397441e+38,3.2535591421059404e+39,-5.106480741083132,-5.822162623162626,0,0,[],kepler_okamoto2021:kepler:8092454,kepler:8092454,8092454,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,28.298,own,own,own,3.98,False,False,-;-,bolometric,False,,
2,2,2.4000000486867475e+34,0.501361,0.921,5982.0,3000.0,3.0,True,4019.4032008,8.121868863086889e+21,2.4365606589260664e+22,2.6211182198184926e+38,1.361972978811035e+39,-4.038275358771635,-4.753957240851129,0,0,[],kepler_okamoto2021:kepler:8143238,kepler:8143238,8143238,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,15.207,own,own,own,4.458,False,False,-;-,bolometric,False,,
1,1,3.0000001227554363e+34,0.288099,1.335,5730.0,3000.0,3.0,True,3935.81218,1.004273155368272e+22,3.0128194661048153e+22,3.603963888474794e+38,1.8726745690445512e+39,-4.079659158231038,-4.795341040310532,0,0,[],kepler_okamoto2021:kepler:8167703,kepler:8167703,8167703,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,8.82,own,own,own,4.247,False,False,-;-,bolometric,False,,
