n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,tier,first_veto,flags,centroid
1,1,4e+33,0.01665375,0.753,5199.0,3000.0,3.0,True,3744.7892842,1.9646303032241383e+20,5.893890909672415e+20,9.861066952495811e+35,5.123960693568341e+36,-2.391863916160148,-3.107545798239641,0,0,[],kepler_okamoto2021:kepler:11027590,kepler:11027590,11027590,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,9.774,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,1e+34,0.00153679,1.013,5447.0,3000.0,3.0,True,3836.5178378,3.1806515240541573e+19,9.541954572162474e+19,6.423574784052776e+34,3.337787367659307e+35,-0.8077767845975927,-1.5234586666770866,0,0,[],kepler_okamoto2021:kepler:11029842,kepler:11029842,11029842,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,25.741,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,9e+33,0.00200146,0.795,5953.0,3000.0,3.0,True,4010.0151178,2.4221205222643143e+19,7.266361566792942e+19,4.268706288229687e+34,2.218084852140772e+35,-0.6760537644113853,-1.3917356464908792,0,0,[],kepler_okamoto2021:kepler:11075480,kepler:11075480,11075480,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,21.651,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
5,5,1e+34,0.01127839,1.012,5113.0,3000.0,3.0,True,3711.9518698,2.431837225309745e+20,7.295511675929235e+20,1.358014487075551e+36,7.05645026708833e+36,-2.132904402951411,-2.8485862850309047,0,0,[],kepler_okamoto2021:kepler:11129171,kepler:11129171,11129171,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,10.877,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,8e+33,0.01202404,0.803,5383.0,3000.0,3.0,True,3813.2675338,1.5756862562359112e+20,4.727058768707733e+20,7.082837372411974e+35,3.6803502572295546e+36,-1.9471172831736752,-2.662799165253169,0,0,[],kepler_okamoto2021:kepler:11129752,kepler:11129752,11129752,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,18.547,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
11,11,2e+34,0.01916897,0.854,5514.0,3000.0,3.0,True,3860.5437832,2.7980647947241108e+20,8.394194384172332e+20,1.676058992854024e+36,8.709057996317673e+36,-1.9232593049191136,-2.638941186998608,0,0,[],kepler_okamoto2021:kepler:11140181,kepler:11140181,11140181,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,11.437,own,own,own,4.48,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,2e+34,0.00234532,0.879,5756.0,3000.0,3.0,True,3944.6470112,3.535065524812532e+19,1.0605196574437596e+20,7.526600274518911e+34,3.910936225118585e+35,-0.5755688563101913,-1.2912507383896852,0,0,[],kepler_okamoto2021:kepler:11141091,kepler:11141091,11141091,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,23.446,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
55,55,4e+35,0.0304575,0.941,5250.0,3000.0,3.0,True,3764.0125,5.573395681430982e+20,1.6720187044292948e+21,4.711752448087563e+36,2.44829838983241e+37,-1.0711224735466305,-1.7868043556261242,0,0,[],kepler_okamoto2021:kepler:11187057,kepler:11187057,11187057,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.864,own,own,own,4.62,False,False,-,bolometric,False,none,below_ceiling,,not_checked
29,29,3e+35,0.06672001,0.994,5273.0,3000.0,3.0,True,3772.6208618,1.3582530434618538e+21,4.0747591303855614e+21,1.7925599127453912e+37,9.314414533458752e+37,-1.776352425290959,-2.492034307370453,0,0,[],kepler_okamoto2021:kepler:11200366,kepler:11200366,11200366,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,3.021,own,own,own,4.58,False,False,-,bolometric,False,none,below_ceiling,,not_checked
2,2,3e+34,0.01934499,1.191,5728.0,3000.0,3.0,True,3935.1305728,5.368180886304689e+20,1.6104542658914067e+21,4.4539297402641714e+36,2.31432978104388e+37,-2.171622107135015,-2.8873039892145087,0,0,[],kepler_okamoto2021:kepler:11234909,kepler:11234909,11234909,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,13.121,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,9e+33,0.0046202499999999,0.843,5296.0,3000.0,3.0,True,3781.1913472,6.745198876779366e+19,2.02355966303381e+20,1.983785850435905e+35,1.0308053652873664e+36,-1.3432522788457248,-2.0589341609252187,0,0,[],kepler_okamoto2021:kepler:11234992,kepler:11234992,11234992,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,29.741,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
