n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,0,,0.007068,1.43,5790.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:111027801,tess:111027801,111027801,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,7.33,tu2022_stars,tu2022_stars,tu2022_stars,4.14,False,False,GM42,bolometric,False,,
4,0,,0.059631,0.93,5369.94,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1112837,tess:1112837,1112837,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,9.39,tu2022_stars,tu2022_stars,tu2022_stars,4.47,False,False,,bolometric,False,,
2,0,,0.00342,1.3,5877.78,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1117953,tess:1117953,1117953,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,10.8,tu2022_stars,tu2022_stars,tu2022_stars,4.24,False,False,,bolometric,False,,
3,0,,0.00431,0.94,5727.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1119096,tess:1119096,1119096,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,8.65,tu2022_stars,tu2022_stars,tu2022_stars,4.5,False,False,,bolometric,False,,
3,0,,0.005179,1.08,5903.5,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1119704,tess:1119704,1119704,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,0.17,tu2022_stars,tu2022_stars,tu2022_stars,4.4,False,False,,bolometric,False,,
3,0,,0.010023,1.59,5983.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1124146,tess:1124146,1124146,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,0.31,tu2022_stars,tu2022_stars,tu2022_stars,4.08,False,False,,bolometric,False,,
3,0,,0.003395,0.81,5505.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1127571,tess:1127571,1127571,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,9.44,tu2022_stars,tu2022_stars,tu2022_stars,4.61,False,False,,bolometric,False,,
1,1,3.750000054409092e+35,0.096828,0.9,5409.0,3000.0,3.0,True,3822.7483402,1.588975916569659e+21,4.766927749708977e+21,2.268185772870702e+37,1.1785838998850811e+38,-1.7816473479858175,-2.4973292300653114,0,0,[],tess_tu2022:tess:11283509,tess:11283509,11283509,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.17,tu2022_stars,tu2022_stars,tu2022_stars,4.51,False,False,,bolometric,False,,
1,0,,0.003589,0.96,5727.86,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1128548,tess:1128548,1128548,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,105.42,tu2022_stars,tu2022_stars,tu2022_stars,4.48,False,False,,bolometric,False,,
54,0,,0.015466,0.93,5605.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1129033,tess:1129033,1129033,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.37,tu2022_stars,tu2022_stars,tu2022_stars,4.49,False,False,,bolometric,False,,
