n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
2,2,3.9911679182009435e+34,,1.0,5796.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4863737,kepler:4863737,4863737,kepler_yang2019,kepler,,,True,1.0,False,,,yang2019_stars,,4.39,True,True,,bolometric,True,,
2,2,1.0909378253153749e+35,0.304991,1.0,6528.0,3000.0,3.0,True,4184.9187328,5.579909956274866e+21,1.6739729868824594e+22,1.4925999950548424e+38,7.755777080436123e+38,-3.1361434358455114,-3.8518253179250053,0,0,[],kepler_yang2019:kepler:4863931,kepler:4863931,4863931,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,3.2,yang2019_stars,yang2019_stars,,4.02,True,True,,bolometric,True,,
25,25,3.480967752323999e+34,1.419714,1.0,5615.0,3000.0,3.0,True,3896.154545,2.8101542973555828e+22,8.430462892066748e+22,1.6869332537092446e+39,8.765562313205671e+39,-4.68539789935307,-5.401079781432564,0,0,[],kepler_yang2019:kepler:4902158,kepler:4902158,4902158,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,2.67,yang2019_stars,yang2019_stars,,4.45,True,True,,bolometric,True,,
14,13,6.749941361219544e+32,0.8119999999999999,1.0,3673.0,3000.0,3.0,True,3083.4477417999997,2.452968040661272e+22,7.358904121983816e+22,1.3757530509004402e+39,7.148622548482362e+39,-6.309240484585324,-7.024922366664818,0,0,[],kepler_yang2019:kepler:4904647,kepler:4904647,4904647,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,41.68,yang2019_stars,yang2019_stars,,4.69,True,True,,bolometric,True,,
95,93,1.377843843351461e+35,7.772069999999999,1.0,4538.0,3000.0,3.0,True,3478.7927048,1.8051766612010427e+23,5.4155299836031277e+23,2.7465165143674063e+40,1.4271318440133971e+41,-5.299582214708941,-6.015264096788435,0,0,[],kepler_yang2019:kepler:4907159,kepler:4907159,4907159,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.58,yang2019_stars,yang2019_stars,,4.56,True,True,,bolometric,True,,
16,15,2.3222020280147447e+35,,1.0,7093.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4908893,kepler:4908893,4908893,kepler_yang2019,kepler,,,True,1.0,False,1.62,yang2019_stars,yang2019_stars,,4.11,True,True,,bolometric,True,,
45,42,2.6804024115654468e+32,,1.0,2661.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4913121,kepler:4913121,4913121,kepler_yang2019,kepler,,,True,1.0,False,25.28,yang2019_stars,yang2019_stars,,5.28,True,True,,bolometric,True,,
61,59,1.552387009958091e+34,1.8955469999999999,1.0,4561.0,3000.0,3.0,True,3488.5735882,4.381992629044432e+22,1.31459778871333e+23,3.284808938394805e+39,1.7068367923368572e+40,-5.32551011380022,-6.041191995879714,0,0,[],kepler_yang2019:kepler:4913533,kepler:4913533,4913533,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,4.69,yang2019_stars,yang2019_stars,,4.77,True,True,,bolometric,True,,
17,17,1.9502936197623166e+34,0.31970699999999996,1.0,5245.0,3000.0,3.0,True,3762.136105,6.611229223672643e+21,1.9833687671017933e+22,1.9249788959600896e+38,1.000248375390216e+39,-3.99432597258825,-4.710007854667744,0,0,[],kepler_yang2019:kepler:4914490,kepler:4914490,4914490,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,30.01,yang2019_stars,yang2019_stars,,4.64,True,True,,bolometric,True,,
55,54,1.6428578981372797e+35,1.445118,1.0,5770.0,3000.0,3.0,True,3949.38418,2.815260508492626e+22,8.445781525477879e+22,1.6915332230865175e+39,8.789464455229765e+39,-4.012680532104163,-4.728362414183657,0,0,[],kepler_yang2019:kepler:4914882,kepler:4914882,4914882,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,4.96,yang2019_stars,yang2019_stars,,4.42,True,True,,bolometric,True,,
5,5,6.666532489563062e+33,,1.0,4809.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4916039,kepler:4916039,4916039,kepler_yang2019,kepler,,,True,1.0,False,,,yang2019_stars,,4.64,True,True,,bolometric,True,,
28,26,1.2829212537093914e+35,0.826085,1.0,5323.0,3000.0,3.0,True,3791.2040218,1.6912977882323356e+22,5.073893364697006e+22,7.876490819426139e+38,4.0927446853787664e+39,-3.7881327711439354,-4.503814653223429,0,0,[],kepler_yang2019:kepler:4917213,kepler:4917213,4917213,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,7.21,yang2019_stars,yang2019_stars,,4.52,True,True,,bolometric,True,,
11,10,2.4338846965041732e+35,0.5933999999999999,1.0,6308.0,3000.0,3.0,True,4120.7950688,1.1031936762229155e+22,3.309581028668747e+22,4.149352158630816e+38,2.1560666271732512e+39,-3.231680295291696,-3.9473621773711898,0,0,[],kepler_yang2019:kepler:4917525,kepler:4917525,4917525,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,4.52,yang2019_stars,yang2019_stars,,4.42,True,True,,bolometric,True,,
37,37,1.2470963266393932e+35,,1.0,5780.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4919145,kepler:4919145,4919145,kepler_yang2019,kepler,,,True,1.0,False,4.54,yang2019_stars,yang2019_stars,,4.44,True,True,,bolometric,True,,
165,157,2.97029784401786e+36,,1.0,5008.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4919243,kepler:4919243,4919243,kepler_yang2019,kepler,,,True,1.0,False,24.52,yang2019_stars,yang2019_stars,,3.63,True,True,,bolometric,True,,
12,12,1.9102930691636686e+34,,1.0,5731.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4919560,kepler:4919560,4919560,kepler_yang2019,kepler,,,True,1.0,False,0.68,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
30,30,1.6707058757733236e+34,0.442302,1.0,4234.0,3000.0,3.0,True,3345.9561352,1.1025320621650878e+22,3.307596186495263e+22,4.145620006061575e+38,2.1541273438117928e+39,-4.39468949147858,-5.110371373558074,0,0,[],kepler_yang2019:kepler:4919569,kepler:4919569,4919569,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,12.31,yang2019_stars,yang2019_stars,,4.62,True,True,,bolometric,True,,
