fold,period_days,phase,flux_frac,err,n
fold_at_period_flares_masked,0.42328185409991,0.645,-0.0002648059649301704,1.7281161285845166e-05,642
fold_at_period_flares_masked,0.42328185409991,0.655,-0.00019678734981976032,1.607462249948593e-05,642
fold_at_period_flares_masked,0.42328185409991,0.665,-0.00019621654317597548,1.5380565263988047e-05,644
fold_at_period_flares_masked,0.42328185409991,0.675,-0.0001978292367420531,1.805303974949208e-05,633
fold_at_period_flares_masked,0.42328185409991,0.685,-0.00019374242031178213,1.7352013742442743e-05,642
fold_at_period_flares_masked,0.42328185409991,0.695,-0.00010592700796535626,1.66314759518059e-05,632
fold_at_period_flares_masked,0.42328185409991,0.705,-0.00010354274880569614,1.7177925003292206e-05,648
fold_at_period_flares_masked,0.42328185409991,0.715,-5.079892759751736e-05,1.9776480631271648e-05,613
fold_at_period_flares_masked,0.42328185409991,0.725,-5.576025404463447e-05,1.8543498969093435e-05,655
fold_at_period_flares_masked,0.42328185409991,0.735,-4.2683143160693326e-05,1.9004415233323274e-05,629
fold_at_period_flares_masked,0.42328185409991,0.745,0.0,1.924023416166928e-05,634
fold_at_period_flares_masked,0.42328185409991,0.755,-8.891208242878257e-06,2.1419193373875654e-05,631
fold_at_period_flares_masked,0.42328185409991,0.765,0.0,1.8404360965846323e-05,632
fold_at_period_flares_masked,0.42328185409991,0.775,0.0,1.9493748178438767e-05,635
fold_at_period_flares_masked,0.42328185409991,0.785,3.090554790718958e-05,1.9271521279445027e-05,624
fold_at_period_flares_masked,0.42328185409991,0.795,8.210496692151459e-05,2.0600090456854585e-05,644
fold_at_period_flares_masked,0.42328185409991,0.805,7.682432099054282e-05,2.0498195023461186e-05,623
fold_at_period_flares_masked,0.42328185409991,0.815,0.00014830337465809862,2.073732479773942e-05,632
fold_at_period_flares_masked,0.42328185409991,0.825,0.00013130108919812145,1.9095704578867244e-05,617
fold_at_period_flares_masked,0.42328185409991,0.835,0.00022507982446196007,1.924705696607189e-05,654
fold_at_period_flares_masked,0.42328185409991,0.845,0.00022083186539201272,1.8434034962498107e-05,623
fold_at_period_flares_masked,0.42328185409991,0.855,0.00030886240405980647,1.8722848141521175e-05,640
fold_at_period_flares_masked,0.42328185409991,0.865,0.0003487005281126443,2.081605370670274e-05,631
fold_at_period_flares_masked,0.42328185409991,0.875,0.00035437764463441823,2.089930162695821e-05,632
fold_at_period_flares_masked,0.42328185409991,0.885,0.000435340954560548,2.2976125582595102e-05,633
fold_at_period_flares_masked,0.42328185409991,0.895,0.00042429452247993993,2.2230345147267482e-05,625
fold_at_period_flares_masked,0.42328185409991,0.905,0.00046851670489600483,2.260648280373718e-05,648
fold_at_period_flares_masked,0.42328185409991,0.915,0.0004707424881217337,2.4853432502145562e-05,612
fold_at_period_flares_masked,0.42328185409991,0.925,0.0004978769866545996,2.271786644479415e-05,646
fold_at_period_flares_masked,0.42328185409991,0.935,0.0004668414061423931,2.5363547450941246e-05,624
fold_at_period_flares_masked,0.42328185409991,0.945,0.00044896016305473463,2.2401166770175273e-05,644
fold_at_period_flares_masked,0.42328185409991,0.955,0.000490590423000592,2.4322470678367746e-05,634
fold_at_period_flares_masked,0.42328185409991,0.965,0.00038518299501189013,2.2770144086665095e-05,629
fold_at_period_flares_masked,0.42328185409991,0.975,0.0004491880382881952,2.267051971263359e-05,641
fold_at_period_flares_masked,0.42328185409991,0.985,0.0003792551360939367,2.261836609712505e-05,618
fold_at_period_flares_masked,0.42328185409991,0.995,0.0004017685607498045,2.096643466345071e-05,641
fold_at_2p,0.84656370819982,0.005,0.0003434884262443205,1.9604881205695836e-05,649
fold_at_2p,0.84656370819982,0.015,0.00031134182268810484,1.817530058693869e-05,645
