key,name,pdes,kind,class,is_comet,neo,H,H_effective,diameter_m,diameter_measured,albedo,a_au,e,i_deg,q_au,moid_au,tisserand_j,comet_like_dynamics,A_magnitude_au_day2,A_sigma_au_day2,A_snr,epsilon_1au,epsilon_1au_rho_1000,g_law_assumed,epsilon_at_perihelion,del_vigna_R,a2_snr,orbit_rms_arcsec,data_arc_days,n_obs_used,condition_code,reliable,tier,known_as,standing_exceedance,components_fitted,fails
1000339,207P/NEAT,207P,cn,JFc,True,Y,,,,False,,3.87159533032828,0.7591366275576407,10.18636766892787,0.9325255079949598,0.140212,2.449411174235416,True,2.8195978401660072e-09,1.3399976699635981e-10,21.04181151481109,,,sublimation,,,22.971310546872264,0.6933,8420.0,945.0,0.0,True,untestable,,,A1|A2,
1001663,213P/Van Ness,213P,cn,JFc,True,,,,,False,,3.347744219833904,0.4075579526935626,10.37784244423586,1.98334443945669,0.968429,2.9954318664887136,True,1.4067256328439029e-08,6.121912610858004e-09,2.297853174756028,,,sublimation,,,3.0939699548647708,0.54925,2809.0,367.0,3.0,False,untestable,,,A1|A2|A3,arc_2809d_below_3650d|condition_code_3_above_2|a_snr_2.3_below_3
1000345,217P/LINEAR,217P,cn,JFc,True,Y,,,,False,,3.949657808050502,0.6887993636030325,12.86135994372874,1.229136023415568,0.311744,2.5490829829169774,True,1.2515989663701682e-09,2.550278467396224e-11,49.07695306105228,,,sublimation,,,114.58215362711643,0.59417,6251.0,3365.0,0.0,True,untestable,,,A1|A2,
1000437,218P/LINEAR,218P,cn,JFc,True,Y,,,,False,,3.096443215460831,0.6219656634015625,2.725397764112088,1.170561856771468,0.166788,2.887388926402899,True,5.582963139219928e-09,1.9522697155329816e-10,28.597294189423746,,,sublimation,,,21.226613703131672,0.73681,4145.0,517.0,2.0,True,untestable,,,A1|A2|A3,
1000467,219P/LINEAR,219P,cn,JFc,True,,,,,False,,3.650242163818524,0.3519661470460788,11.52887870095732,2.365480493634176,1.38789,2.961924590362063,True,1.1372432515035845e-08,9.09146171784675e-10,12.508915362544505,,,sublimation,,,193.44240358234472,0.71734,8268.0,1145.0,0.0,True,untestable,,,A1|A2|A3,
1000498,220P/McNaught,220P,cn,JFc,True,,,,,False,,3.115879518810404,0.5017190276463198,8.128861542692619,1.552583476369765,0.541501,2.995481093768329,True,8.90918609455745e-11,4.1585549690765984e-11,2.142375455129723,,,sublimation,,,16.021973371105513,0.74959,8132.0,1623.0,0.0,False,untestable,,,A1|A2,a_snr_2.1_below_3
1000530,222P/LINEAR,222P,cn,JFc,True,Y,,,,False,,2.857451014258531,0.7268241441104772,5.146523755949469,0.7805866264824591,0.0628239,2.8350796256925292,True,8.973494836364388e-11,8.247200983521803e-11,1.0880654969235921,,,sublimation,,,14.55861331000094,0.79702,5283.0,239.0,0.0,False,untestable,,,A1|A2,a_snr_1.1_below_3
1000412,223P/Skiff,223P,cn,JFc,True,,,,,False,,4.14786105398203,0.4164160357169802,27.05405789916062,2.420625197177978,1.46913,2.7004107746406993,True,3.247677409691525e-09,6.800039904308935e-10,4.775968164000907,,,sublimation,,,0.49592553137359,0.60075,9146.0,783.0,0.0,True,untestable,,,A1|A2|A3,
1000413,225P/LINEAR,225P,cn,JFc,True,,,,,False,,3.651478847735903,0.6374248716569151,21.34308194314826,1.323935411859905,0.324865,2.6275591056393472,True,7.030503492909494e-11,8.2604940362682e-11,0.8510996390823166,,,sublimation,,,28.35779225162573,0.58357,7808.0,519.0,0.0,False,untestable,,,A1|A2,a_snr_0.9_below_3
1000425,226P/Pigott-LINEAR-Kowalski,226P,cn,JFc,True,,,,,False,,3.768515507497562,0.5281807814224946,44.00390735608863,1.778058041944711,0.810558,2.4204877146552652,True,4.025271715107239e-09,4.3478564343606605e-10,9.258060324384063,,,sublimation,,,71.15455295421398,0.64206,5328.0,1679.0,0.0,True,untestable,,,A1|A2,
1003037,229P/Gibbs,229P,cn,JFc,True,,,,,False,,3.934272517960489,0.3760591863627675,26.06939172385766,2.454753195926871,1.51388,2.7701760999310054,True,1.3650730828619893e-08,2.9219271455397627e-09,4.671824500982969,,,sublimation,,,2.5177237983357315,0.82528,8503.0,293.0,1.0,False,untestable,,,A1|A2,orbit_rms_0.83as_above_0.8
1000427,231P/LINEAR-NEAT,231P,cn,JFc,True,,,,,False,,4.026062993966493,0.246823709864524,12.32571536378269,3.03233518964741,2.05342,2.958037003687358,True,1.5786022871536797e-07,8.762547697343142e-09,18.015334599916887,,,sublimation,,,28.693788366682778,0.78642,25635.0,576.0,0.0,True,untestable,,,A1|A2,
1001676,238P/Read,238P,cn,ETc,True,,,,,False,,3.166196876070949,0.2516735764622148,1.264088307957321,2.369348784486682,1.37015,3.153120000975943,False,1.6481342150807384e-09,4.5895690054626633e-10,3.5910435448711464,,,sublimation,,,8.81909479694774,0.47413,6241.0,119.0,1.0,True,untestable,,,A1|A2|A3,
1000422,240P/NEAT,240P,cn,JFc,True,,,,,False,,3.86145543582024,0.4503342032990769,23.53697186073975,2.122509978555242,1.13932,2.757977719483069,True,3.8465843050363396e-08,5.796752793156597e-10,66.35757021719911,,,sublimation,,,49.12568497276919,0.65887,3246.0,4121.0,0.0,False,untestable,,,A1|A2,arc_3246d_below_3650d
1000280,241P/LINEAR,241P,cn,JFc,True,,,,,False,,4.953748592438926,0.6099174897439364,20.86831177850125,1.932370686116018,1.04884,2.495456701990382,True,5.095075497991737e-10,3.2452106408950454e-10,1.5700292097484585,,,sublimation,,,27.999698086202645,0.63757,8217.0,874.0,0.0,False,untestable,,,A1|A2,a_snr_1.6_below_3
1003095,245P/WISE,245P,cn,JFc,True,,,,,False,,4.006609884246402,0.4660635839475821,21.20485986712606,2.139274922114716,1.17041,2.7464144341702212,True,5.328685366906538e-10,1.9182808021958952e-09,0.2777844286825309,,,sublimation,,,10.53448763609921,0.54158,8760.0,151.0,1.0,False,untestable,,,A1|A2,a_snr_0.3_below_3
1000486,246P/NEAT,246P,cn,JFc,True,,,,,False,,4.027831561939781,0.2850444639370089,15.9717159509834,2.879720473538091,1.86525,2.9134790002847044,True,1.2903323661959997e-08,8.789045016469047e-10,14.681144126331759,,,sublimation,,,83.6430645545457,0.60202,8371.0,4914.0,0.0,True,untestable,,,A1|A2,
1000298,252P/LINEAR,252P,cn,JFc,True,Y,,,,False,,3.046804058107118,0.6730850153945767,10.42219597127401,0.9960459017518297,0.0122062,2.821209972622784,True,1.3016074739129856e-08,4.237759405594083e-10,30.714520323989838,,,sublimation,,,26.001572214930057,0.5772,1972.0,122.0,3.0,False,untestable,,,A1|A2,arc_1972d_below_3650d|condition_code_3_above_2
1002422,255P/Levy,255P,cn,JFc,True,Y,,,,False,,3.024533986985813,0.6720097835717624,18.33304278569389,0.9920175569860369,0.00881278,2.792498194246666,True,8.238775419301773e-09,2.6221880678135087e-10,31.419468040565114,,,sublimation,,,541.248984755413,0.91265,5484.0,503.0,0.0,False,untestable,,,A1|A2,orbit_rms_0.91as_above_0.8
1000588,257P/Catalina,257P,cn,JFc,True,,,,,False,,3.753522591667275,0.4323743719041483,20.24031529474932,2.130595618667106,1.19992,2.8234884832173717,True,1.1698267851056547e-09,2.305222281612407e-10,5.0746810597692535,,,sublimation,,,65.19979058738372,0.63794,6073.0,2118.0,0.0,True,untestable,,,A1|A2,
1000584,260P/McNaught,260P,cn,JFc,True,,,,,False,,3.670582347666472,0.5956538381757246,15.79693214730337,1.484185883938876,0.486996,2.716057493257659,True,1.5064202975669842e-10,3.9373789925465455e-11,3.825946906352262,,,sublimation,,,95.96004536095265,0.45821,7767.0,7128.0,0.0,True,untestable,,,A1|A2|A3,
