n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
904,0.3184216921033368,4,0.004424778761061947,0.762737031437035,0.10818837556067516,0.025703940212115396,0.29228881793636535,0,0.0,0.0,712205300031543,160.6727287,39.03654245,,,,unknown,False,False
940,0.3092425652587806,12,0.01276595744680851,0.9591756609444229,0.24986089682702542,0.02582720652948994,0.292251838041153,0,0.0,0.0,712205300003836,160.3128126,39.0875743,,,,unknown,False,False
1028,0.06877407945721559,7,0.006809338521400778,1.1303508518422016,1.0000532573509346,0.05202136347650584,0.29221464206758035,0,0.0,0.0,712205300003030,160.5761327,39.1894871,,,,unknown,False,False
919,0.33574207577981496,8,0.008705114254624592,0.7597693659770753,7.050664134080085,0.026098668136960965,0.29217039955891166,0,0.0,0.0,712205300009941,161.0010933,39.1911464,,,,unknown,False,False
1028,0.12050653665642808,9,0.008754863813229572,0.7989366462308437,0.5079782307693933,0.02638466382688038,0.2920846008519359,0,0.0,0.0,712205300004069,160.97783075,39.0446987,,,,unknown,False,False
1028,0.08065828206677927,6,0.005836575875486381,1.1185900200562968,0.9972269805015354,0.05011654345284105,0.2920804381675255,0,0.0,0.0,712205300003412,160.59379174999998,39.1391153,,,,unknown,False,False
1041,0.26549580590468724,10,0.009606147934678195,0.8309017009679385,25.540727229013278,0.026510741007576565,0.292046777697727,0,0.0,0.0,712206400011055,159.8437518,39.0147387,,,,unknown,False,False
909,0.2866636159092687,0,0.0,0.7689219005673432,0.10183640053466256,0.026524089847020305,0.2920427730458939,0,0.0,0.0,712205300016701,160.8970719,39.1407692,,,,unknown,False,False
945,0.31013660080442074,2,0.0021164021164021165,0.6984965557393858,0.19679921076165544,0.026776552314587733,0.29196703430562365,0,0.0,0.0,712206400023466,159.7154252,39.0447517,,,,unknown,False,False
797,0.4220859566229026,1,0.0012547051442910915,0.7600551210306136,0.40367305717592494,0.02680855905409158,0.2919574322837725,0,0.0,0.0,712205300024752,160.6890751,39.042119,,,,unknown,False,False
999,0.38782066678958715,12,0.012012012012012012,0.8197422895415011,0.12131245775299217,0.026886474757721233,0.29193405757268365,0,0.0,0.0,712205300011018,161.1384097,39.0603298,,,,unknown,False,False
1025,0.18843598133038275,6,0.005853658536585366,0.9837763405028199,3.003517707319974,0.026926330713528995,0.2919221007859413,0,0.0,0.0,712205300011010,160.6091737,39.075528,,,,unknown,False,False
938,0.34266715083433164,6,0.006396588486140725,0.8953563923145408,0.18331658210016,0.027322710476397664,0.2918031868570807,0,0.0,0.0,712205300004299,160.98116865,39.0143595,,,,unknown,False,False
877,0.3608052018141046,7,0.00798175598631699,0.8081564574271943,0.4253584632716153,0.02732768851776334,0.291801693444671,0,0.0,0.0,712205300003333,160.7959638,39.144383,,,,unknown,False,False
1049,0.1821793355144553,14,0.01334604385128694,0.9306148565195437,0.9974438191359457,0.027333907795341072,0.29179982766139767,0,0.0,0.0,712206400003371,159.0767637,39.16736,,,,unknown,False,False
835,0.32928561017598756,0,0.0,0.9083925827844408,0.24948492643662143,0.027454051327885087,0.29176378460163443,0,0.0,0.0,712205300003867,161.3027841,39.0580978,,,,unknown,False,False
1028,0.0551590056375626,3,0.0029182879377431907,0.9342055323655587,0.13095278004004574,0.02749051990760966,0.29175284402771706,0,0.0,0.0,712205300003854,160.8233158,39.0733771,,,,unknown,False,False
884,0.3640555229246204,2,0.0022624434389140274,0.823695270802188,0.15002255985951077,0.027502134690754406,0.2917493595927737,0,0.0,0.0,712205300010399,161.0688287,39.13368835,,,,unknown,False,False
814,0.43046810829526994,2,0.002457002457002457,0.8126228088392714,0.2216964139348498,0.027574878753770363,0.2917275363738689,0,0.0,0.0,712205300017143,160.5943846,39.0839127,,,,unknown,False,False
995,0.43621276313020807,11,0.011055276381909548,0.8498512418740365,0.2387133596576226,0.027878081404236858,0.2916365755787289,0,0.0,0.0,712205300004072,160.9736518,39.0441326,,,,unknown,False,False
906,0.6048096237717147,6,0.006622516556291391,0.8078117505378528,1.523337779559035,0.027906861486545313,0.2916279415540364,0,0.0,0.0,712205300003057,160.68013985,39.1842001,,,,unknown,False,False
990,0.5163837735765813,15,0.015151515151515152,0.7964996006235159,0.49998680108430316,0.028035539865843142,0.29158933804024706,0,0.0,0.0,712206400011049,159.80938255,39.0163277,,,,unknown,False,False
831,0.3512512112580164,0,0.0,0.7705671974728757,0.44335134736492177,0.028337767224854146,0.29149866983254374,0,0.0,0.0,712205300021726,160.7903078,39.0452027,,,,unknown,False,False
839,0.34186245932518444,0,0.0,0.8944344570693823,0.13898747936026812,0.028472539868543707,0.2914582380394369,0,0.0,0.0,712205300010227,160.8420071,39.1619966,,,,unknown,False,False
990,0.25656821015279907,7,0.007070707070707071,0.8828703231104394,0.498826899014009,0.028537007504412567,0.2914388977486762,0,0.0,0.0,712206300003822,158.9012551,39.0902803,,,,unknown,False,False
1049,0.11680640266864561,9,0.008579599618684462,0.8871308765875242,0.994632251515045,0.028637008697857277,0.2914088973906428,0,0.0,0.0,712206400003463,159.5877149,39.149791,,,,unknown,False,False
899,0.3356001832429307,3,0.0033370411568409346,0.7253359227324052,0.10172348635565193,0.028701946952074703,0.29138941591437756,0,0.0,0.0,712205300016770,160.4558464,39.1410827,,,,unknown,False,False
1028,0.05459313407411548,4,0.0038910505836575876,0.9391782377663717,27.260955983268815,0.029079879640756697,0.291276036107773,0,0.0,0.0,712205300010357,160.8645056,39.1477092,,,,unknown,False,False
851,0.34050024279012836,5,0.005875440658049354,0.7796939733437386,0.3007210872517047,0.029290931384285446,0.29121272058471437,0,0.0,0.0,712206300021003,158.7363763,39.050147,,,,unknown,False,False
902,0.34903074126708344,3,0.0033259423503325942,0.7149191274654026,0.5085601759674814,0.02930947599899745,0.29120715720030077,0,0.0,0.0,712206400010191,160.0210495,39.1215851,,,,unknown,False,False
856,0.48321273852038993,1,0.0011682242990654205,0.8221780513070774,0.5020662937951447,0.029655999008838342,0.2911032002973485,0,0.0,0.0,712205300024566,160.56332585,39.1115808,,,,unknown,False,False
836,0.3472569145644725,3,0.0035885167464114833,0.7193117819681843,1.002676384613927,0.029787564336950206,0.29106373069891495,0,0.0,0.0,712205300003378,160.8281012,39.137512150000006,,,,unknown,False,False
961,0.2557726261696315,13,0.013527575442247659,0.7126797298496172,0.10518980015211295,0.030066135223956136,0.2909801594328132,0,0.0,0.0,712205300017430,161.1095222,39.0203176,,,,unknown,False,False
863,0.4089426150271849,7,0.008111239860950173,0.8635201956917598,0.6655222238628915,0.03028525602989789,0.2909144231910306,0,0.0,0.0,712206400003768,159.6437164,39.1113301,,,,unknown,False,False
1046,0.20807385717416405,10,0.009560229445506692,0.8591909574110098,27.260955983268815,0.030416254589792354,0.2908751236230623,0,0.0,0.0,712206400003781,159.16261615000002,39.11529685,,,,unknown,False,False
1022,0.22776986720565695,8,0.007827788649706457,0.9952499752634385,0.8818782537448283,0.03053247205578671,0.290840258383264,0,0.0,0.0,712205300003406,160.68173775000002,39.13778525,,,,unknown,False,False
1019,0.08795616512119775,16,0.015701668302257114,0.9156278066438901,0.9972992495701373,0.03054601919675933,0.2908361942409722,0,0.0,0.0,712206300004337,158.7135853,39.0268256,,,,unknown,False,False
947,0.36559804595230816,3,0.0031678986272439284,0.9316300578808969,0.1133207812833188,0.030568334044173903,0.2908294997867478,0,0.0,0.0,712205300010091,161.0106529,39.1738773,,,,unknown,False,False
964,0.3956454334768035,3,0.0031120331950207467,0.7499087763009533,0.5077158531385043,0.030575423596095684,0.2908273729211713,0,0.0,0.0,712206300004401,158.73181864999998,39.0182518,,,,unknown,False,False
1049,0.15799592758912429,10,0.009532888465204958,0.9156448344727166,0.4994061765637942,0.030674902720916903,0.2907975291837249,0,0.0,0.0,712206400010113,159.7531696,39.1363906,,,,unknown,False,False
1000,0.27375333345763286,21,0.021,0.9002972833218941,0.5000049673559454,0.03072829885452345,0.29078151034364297,0,0.0,0.0,712205300010654,161.08523344999998,39.1040695,,,,unknown,False,False
764,0.3905842754309303,1,0.0013089005235602095,0.8851650797910248,0.2200374608995539,0.030795802464821494,0.2907612592605535,0,0.0,0.0,712205300003659,161.0109354,39.09314045,,,,unknown,False,False
1038,0.19243452450139698,10,0.009633911368015413,0.8623860218608185,0.9973715291141815,0.030980368843645908,0.2907058893469062,0,0.0,0.0,712206400004271,159.714183,39.0481942,,,,unknown,False,False
757,0.373230082302921,0,0.0,0.7860275701451336,0.9972269805015354,0.030988000648108537,0.2907035998055674,0,0.0,0.0,712205300028058,160.5736322,39.110773,,,,unknown,False,False
836,0.4563746753896837,4,0.004784688995215311,0.8493447457715001,0.5026531238867221,0.031054954169134123,0.2906835137492597,0,0.0,0.0,712205300017455,160.69133155,39.028729,,,,unknown,False,False
1028,0.07182599743769102,4,0.0038910505836575876,1.2057922979285458,0.9972269805015354,0.07222603366040621,0.2906797277775909,0,0.0,0.0,712205300010968,160.62296885,39.07954895,,,,unknown,False,False
