mode,alpha_x,alpha_y,F,s_eff_per_N_shifted,Xbar_squared,Ybar_squared,lambda_x,lambda_y
saddle,0.05,1.75,-0.21819034391726166,1.1265057141749246,0.1401717585329938,1.2787829193894285,-0.178352617257887,-0.6842443597993787
saddle,0.05,1.8,-0.2195291121184701,1.1607426250192063,0.14321795035430604,1.3134430505091532,-0.17455912431474302,-0.6852219436930418
saddle,0.05,1.85,-0.22078828230768513,1.195026917803276,0.14627208811490583,1.3481211130511084,-0.17091435777112135,-0.686140133141682
saddle,0.05,1.9000000000000001,-0.22197383415036015,1.229355740462014,0.14933381663560905,1.3828167901629482,-0.1674101724795714,-0.6870035182954743
saddle,0.05,1.9500000000000002,-0.2230911078314279,1.2637263983565676,0.15240250291184518,1.4175298832353451,-0.16403930068301342,-0.6878161875322708
saddle,0.05,2.0,-0.22414511024814993,1.2981365507704299,0.1554778990911128,1.452259954186379,-0.16079455759399966,-0.6885819560866737
saddle,0.1,0.0,0.03737201438887088,0.05187446488046705,0.09327124379092835,0.0,-0.536070904255091,0.0
saddle,0.1,0.05,0.018054602748317192,0.07545175602517729,0.0965735886331889,0.05190953389567396,-0.5177398987409771,-0.4816070984232716
saddle,0.1,0.1,2.0645015584400982e-17,0.1,0.1,0.10000000000000002,-0.5,-0.49999999999999994
saddle,0.1,0.15000000000000002,-0.016838814520840826,0.12542129967226937,0.10354803860496475,0.14519001901199566,-0.48286766870350634,-0.5165644340455902
saddle,0.1,0.2,-0.032515944980618425,0.1516298682279702,0.10721518354207031,0.1881388642462501,-0.4663518575275342,-0.5315222902010963
saddle,0.1,0.25,-0.04708946736892549,0.17855011284973415,0.11099865309396222,0.22933291189747415,-0.4504559164125547,-0.5450591411662825
saddle,0.1,0.30000000000000004,-0.06061948970259106,0.20611493948876264,0.11489532636570089,0.2691391696024236,-0.4351787107584756,-0.5573324768058928
saddle,0.1,0.35000000000000003,-0.07316681770567168,0.23426470809570554,0.11890171616691232,0.3078397288682136,-0.4205153770010418,-0.5684776316669563
saddle,0.1,0.4,-0.08479205708282098,0.26294598316124695,0.12301400056758255,0.3456546651530657,-0.4064577996756601,-0.5786121819343428
saddle,0.1,0.45,-0.09555486870408497,0.2921109224527251,0.12722805654547578,0.38275776495736547,-0.3929950779538022,-0.5878391520680508
saddle,0.1,0.5,-0.10551344166580409,0.32171643588423515,0.13153952861245755,0.4192875778411436,-0.3801138754823295,-0.5962494793840948
saddle,0.1,0.55,-0.11472401939194457,0.35172378052431696,0.13594387934128405,0.455355420964084,-0.3677988317111073,-0.6039238523124787
saddle,0.1,0.6000000000000001,-0.12324061288253335,0.38209794856357354,0.14043648113805954,0.49105123515492494,-0.3560328455598818,-0.6109342132198305
saddle,0.1,0.65,-0.13111468089280456,0.41280742696415573,0.14501265046269898,0.5264480504229236,-0.3447975044967632,-0.6173448638263742
saddle,0.1,0.7000000000000001,-0.13839499175189324,0.4438236177249561,0.14966772675752857,0.5616053466692869,-0.33407335758498724,-0.623213439964105
saddle,0.1,0.75,-0.14512751018747674,0.4751207835613112,0.15439712704398775,0.5965716810698736,-0.3238402226600693,-0.6285916879719908
saddle,0.1,0.8,-0.1513552855809352,0.5066755823833194,0.15919634569447466,0.6313867997594245,-0.3140775611518034,-0.6335260733236914
saddle,0.1,0.8500000000000001,-0.15711855801118488,0.5384668648205976,0.16406106624018305,0.6660832003852408,-0.30476456813221436,-0.6380584283677984
saddle,0.1,0.9,-0.1624546665687655,0.570475460557478,0.1689870808187818,0.700687553313599,-0.29588060671702443,-0.6422263359352103
saddle,0.1,0.9500000000000001,-0.16739829079043597,0.6026840544614186,0.17397045021780078,0.7352216318246633,-0.2874051307989543,-0.6460636894226729
saddle,0.1,1.0,-0.17198138806682325,0.6350768674825455,0.17900736290502592,0.7697033134846727,-0.27931811959337105,-0.6496009452477908
saddle,0.1,1.05,-0.17623343090346186,0.6676396828962601,0.1840942449083957,0.8041471895893616,-0.2716000167462037,-0.6528655534667623
saddle,0.1,1.1,-0.18018149132813296,0.7003593522860024,0.1892277041970432,0.8385651876968041,-0.26423192212877505,-0.6558822236713944
saddle,0.1,1.1500000000000001,-0.18385047470871685,0.7332241614838493,0.19440464538903024,0.8729669586585421,-0.2571955001380917,-0.6586732685548403
saddle,0.1,1.2000000000000002,-0.187263124409417,0.7662232952192047,0.1996220729766628,0.907360404516043,-0.2504733031494235,-0.6612587424067957
saddle,0.1,1.25,-0.1904402506301677,0.7993468971646854,0.20487717331854338,0.9417519254194671,-0.24404866188904273,-0.663656726501109
