table_name,description
"'J/ApJ/904/172/table1'","Details of Herschel observations ( Di Francesco J., Keown J., Fallscheer C., et al.)"
"'J/ApJ/932/77/table1'","Summary of Herschel observations for 33 ALCS galaxy cluster fields ( Sun F., Egami E., Fujimoto S., et al.)"
"'J/ApJ/932/77/tablec1'","Herschel photometry ( Sun F., Egami E., Fujimoto S., et al.)"
"'J/ApJS/210/22/list'","Summary of the 6 Herschel/SPIRE maps available in subdirectory maps ( Viero M.P., Asboth V., Roseboom I.G., et al.)"
"'J/ApJS/219/18/hdet1'","Fluxes of the 24um-selected  Herschel-detected type-1 AGN sample with redshifts and derived  parameters ( Xu L., Rieke G.H., Egami E., Pereira M.J., Haines C.P., Smith G.P.)"
"'J/ApJS/219/18/hdet2'","Fluxes of the 24um-selected  Herschel-detected type-2 AGN sample with redshifts and derived  parameters ( Xu L., Rieke G.H., Egami E., Pereira M.J., Haines C.P., Smith G.P.)"
"'J/ApJS/219/18/nondet'","Fluxes of 24um-selected  Herschel-non-detected type-1 and type-2 AGN sample ( Xu L., Rieke G.H., Egami E., Pereira M.J., Haines C.P., Smith G.P.)"
"'J/ApJS/222/16/table2'","Herschel 6-band fluxes and physical parameters of H-KPAIR spirals ( Cao C., Xu C.K., Domingue D., Buat V., Cheng Y.-W., Gao Y., Huang J., Jarrett T.H., Lisenfeld U., Lu N., Mazzarella J., Sun W.-H., Wu H., Yun M.S., Ronca J., Jacques A.)"
"'J/ApJS/222/16/table3'","Herschel 6-band fluxes and physical parameters of H-KPAIR ellipticals ( Cao C., Xu C.K., Domingue D., Buat V., Cheng Y.-W., Gao Y., Huang J., Jarrett T.H., Lisenfeld U., Lu N., Mazzarella J., Sun W.-H., Wu H., Yun M.S., Ronca J., Jacques A.)"
"'J/ApJS/222/16/table4'","Herschel 5-band fluxes and physical parameters of spirals in the control sample ( Cao C., Xu C.K., Domingue D., Buat V., Cheng Y.-W., Gao Y., Huang J., Jarrett T.H., Lisenfeld U., Lu N., Mazzarella J., Sun W.-H., Wu H., Yun M.S., Ronca J., Jacques A.)"
"'J/ApJS/224/22/table4'","Herschel PACS point sources associated with candidate Spitzer YSOs in L1340 C ( Kun M., Wolf-Chase G., Moor A., Apai D., Balog Z., O'Linger-Luscusk J., Moriarty-Schieven G.H.)"
"'J/ApJS/226/19/table11'","Far-IR fine structure line fluxes from Herschel/PACS for the central spaxel, 3x3 spaxel array, and 5x5 spaxel array ( Fernandez-Ontiveros J.A., Spinoglio L., Pereira-Santaella M., Malkan M.A., Andreani P., Dasyra K.M.)"
"'J/ApJS/226/19/table3'","active, starburst, and dwarf galaxies observed with the Herschel/PACS spectrometer ( Fernandez-Ontiveros J.A., Spinoglio L., Pereira-Santaella M., Malkan M.A., Andreani P., Dasyra K.M.)"
"'J/ApJS/226/19/table9'","[NII]205um, [CI]371um, and [CI]609um line fluxes from Herschel/SPIRE ( Fernandez-Ontiveros J.A., Spinoglio L., Pereira-Santaella M., Malkan M.A., Andreani P., Dasyra K.M.)"
"'J/ApJS/229/25/table2'","Herschel Observtion Log ( Chu J.K., Sanders D.B., Larson K.L., et al.)"
"'J/ApJS/236/30/hatlas2ngp'","*Herschel-ATLAS Data Release 2 in the North Galactic Pole (NGP) ( Maddox S.J., Valiante E., Cigan P., Dunne L., Eales S., Smith M.W.L., Dye S., Furlanetto C., Ibar E., de Zotti G., Millard J.S., Bourne N., Gomez H.L., Ivison R.J., Scott D., Valtchanov I.)"
"'J/ApJS/236/30/hatlas2sgp'","Herschel-ATLAS Data Release 2 in the South Galactic Pole (SGP) ( Maddox S.J., Valiante E., Cigan P., Dunne L., Eales S., Smith M.W.L., Dye S., Furlanetto C., Ibar E., de Zotti G., Millard J.S., Bourne N., Gomez H.L., Ivison R.J., Scott D., Valtchanov I.)"
