name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by
Kepler-110  b,,,,,,,,,catalogue_position
Kepler-110  c,,,,,,,,,catalogue_position
Kepler-284  b,,,,,,,,,catalogue_position
Kepler-284  c,,,,,,,,,catalogue_position
Kepler-288  b,,,,,,,,,catalogue_position
Kepler-288  c,,,,,,,,,catalogue_position
Kepler-288  d,,,,,,,,,catalogue_position
Kepler-293  b,,,,,,,,,catalogue_position
Kepler-293  c,,,,,,,,,catalogue_position
Kepler-18   b,,,,,,,,,catalogue_position
Kepler-18   c,,,,,,,,,catalogue_position
Kepler-18   d,,,,,,,,,catalogue_position
Kepler-295  b,,,,,,,,,catalogue_position
Kepler-295  c,,,,,,,,,catalogue_position
Kepler-295  d,,,,,,,,,catalogue_position
Kepler-298  b,,,,,,,,,catalogue_position
Kepler-298  c,,,,,,,,,catalogue_position
Kepler-298  d,,,,,,,,,catalogue_position
Kepler-301  b,,,,,,,,,catalogue_position
Kepler-301  c,,,,,,,,,catalogue_position
Kepler-301  d,,,,,,,,,catalogue_position
Kepler-113  b,,,,,,,,,catalogue_position
Kepler-113  c,,,,,,,,,catalogue_position
Kepler-315  b,,,,,,,,,catalogue_position
Kepler-315  c,,,,,,,,,catalogue_position
Kepler-116  b,,,,,,,,,catalogue_position
Kepler-116  c,,,,,,,,,catalogue_position
Kepler-318  b,,,,,,,,,catalogue_position
Kepler-318  c,,,,,,,,,catalogue_position
Kepler-319  b,,,,,,,,,catalogue_position
Kepler-319  c,,,,,,,,,catalogue_position
Kepler-319  d,,,,,,,,,catalogue_position
Kepler-321  b,,,,,,,,,catalogue_position
Kepler-321  c,,,,,,,,,catalogue_position
Kepler-323  b,,,,,,,,,catalogue_position
Kepler-323  c,,,,,,,,,catalogue_position
Kepler-327  b,,,,,,,,,catalogue_position
Kepler-327  c,,,,,,,,,catalogue_position
Kepler-327  d,,,,,,,,,catalogue_position
Kepler-332  b,,,,,,,,,catalogue_position
Kepler-332  c,,,,,,,,,catalogue_position
Kepler-332  d,,,,,,,,,catalogue_position
Kepler-336  b,,,,,,,,,catalogue_position
Kepler-336  c,,,,,,,,,catalogue_position
Kepler-336  d,,,,,,,,,catalogue_position
Kepler-337  b,,,,,,,,,catalogue_position
Kepler-337  c,,,,,,,,,catalogue_position
Kepler-343  b,,,,,,,,,catalogue_position
Kepler-343  c,,,,,,,,,catalogue_position
Kepler-348  b,,,,,,,,,catalogue_position
Kepler-348  c,,,,,,,,,catalogue_position
Kepler-349  b,,,,,,,,,catalogue_position
Kepler-349  c,,,,,,,,,catalogue_position
Kepler-351  b,,,,,,,,,catalogue_position
Kepler-351  c,,,,,,,,,catalogue_position
Kepler-351  d,,,,,,,,,catalogue_position
Kepler-354  b,,,,,,,,,catalogue_position
Kepler-354  c,,,,,,,,,catalogue_position
Kepler-354  d,,,,,,,,,catalogue_position
Kepler-356  b,,,,,,,,,catalogue_position
Kepler-356  c,,,,,,,,,catalogue_position
Kepler-357  b,,,,,,,,,catalogue_position
Kepler-357  c,,,,,,,,,catalogue_position
Kepler-357  d,,,,,,,,,catalogue_position
