name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by,gaia_idx,match_by
G1.17-1.21,,,,,,,,,unresolved,-1,none
G1.17-3.64,,,,,,,,,unresolved,-1,none
G1.28+1.41,,,,,,,,,unresolved,-1,none
G1.28+3.84,,,,,,,,,unresolved,-1,none
G1.28+6.26,,,,,,,,,unresolved,-1,none
G1.28-1.01,,,,,,,,,unresolved,-1,none
G1.28-3.44,,,,,,,,,unresolved,-1,none
G1.40+1.21,,,,,,,,,unresolved,-1,none
G1.40+3.64,,,,,,,,,unresolved,-1,none
G1.40+6.06,,,,,,,,,unresolved,-1,none
G1.40-1.21,,,,,,,,,unresolved,-1,none
G1.40-3.64,,,,,,,,,unresolved,-1,none
G1.52+3.84,,,,,,,,,unresolved,-1,none
G1.52+6.26,,,,,,,,,unresolved,-1,none
G1.52-1.01,,,,,,,,,unresolved,-1,none
G1.52-3.44,,,,,,,,,unresolved,-1,none
G1.87+0.00,,,,,,,,,unresolved,-1,none
G1.87+2.42,,,,,,,,,unresolved,-1,none
G1.87-2.42,,,,,,,,,unresolved,-1,none
G1.87-4.85,,,,,,,,,unresolved,-1,none
G1.98+2.63,,,,,,,,,unresolved,-1,none
G1.98+5.05,,,,,,,,,unresolved,-1,none
G1.98-2.22,,,,,,,,,unresolved,-1,none
G1.98-4.65,,,,,,,,,unresolved,-1,none
G10.27+2.42,,,,,,,,,unresolved,-1,none
G10.27-4.85,,,,,,,,,unresolved,-1,none
G10.38+2.63,,,,,,,,,unresolved,-1,none
G10.38+5.05,,,,,,,,,unresolved,-1,none
G10.38-4.65,,,,,,,,,unresolved,-1,none
G10.50+2.42,,,,,,,,,unresolved,-1,none
G10.50+4.85,,,,,,,,,unresolved,-1,none
G10.50-4.85,,,,,,,,,unresolved,-1,none
G10.62+2.63,,,,,,,,,unresolved,-1,none
G10.62+5.05,,,,,,,,,unresolved,-1,none
G10.62-4.65,,,,,,,,,unresolved,-1,none
G10.97+6.06,,,,,,,,,unresolved,-1,none
G10.97-3.64,,,,,,,,,unresolved,-1,none
G10.97-6.06,,,,,,,,,unresolved,-1,none
G11.08+3.84,,,,,,,,,unresolved,-1,none
G11.08+6.26,,,,,,,,,unresolved,-1,none
G11.08-3.44,,,,,,,,,unresolved,-1,none
G11.08-5.86,,,,,,,,,unresolved,-1,none
G11.20+3.64,,,,,,,,,unresolved,-1,none
G11.20+6.06,,,,,,,,,unresolved,-1,none
G11.20-3.64,,,,,,,,,unresolved,-1,none
G11.20-6.06,,,,,,,,,unresolved,-1,none
G11.32+3.84,,,,,,,,,unresolved,-1,none
G11.32+6.26,,,,,,,,,unresolved,-1,none
G11.32-3.44,,,,,,,,,unresolved,-1,none
G11.32-5.86,,,,,,,,,unresolved,-1,none
G11.67+2.42,,,,,,,,,unresolved,-1,none
G11.67+4.85,,,,,,,,,unresolved,-1,none
G11.67-4.85,,,,,,,,,unresolved,-1,none
G11.78+2.63,,,,,,,,,unresolved,-1,none
G11.78-4.65,,,,,,,,,unresolved,-1,none
G11.90+2.42,,,,,,,,,unresolved,-1,none
G11.90-4.85,,,,,,,,,unresolved,-1,none
G12.02+2.63,,,,,,,,,unresolved,-1,none
G12.02-4.65,,,,,,,,,unresolved,-1,none
G12.37+3.64,,,,,,,,,unresolved,-1,none
G12.37+6.06,,,,,,,,,unresolved,-1,none
G12.37-3.64,,,,,,,,,unresolved,-1,none
G12.37-6.06,,,,,,,,,unresolved,-1,none
G12.48-3.44,,,,,,,,,unresolved,-1,none
G12.48-5.86,,,,,,,,,unresolved,-1,none
G12.60+1.21,,,,,,,,,unresolved,-1,none
G12.60-3.64,,,,,,,,,unresolved,-1,none
G12.60-6.06,,,,,,,,,unresolved,-1,none
G12.72+1.41,,,,,,,,,unresolved,-1,none
G12.72+6.26,,,,,,,,,unresolved,-1,none
G12.72-3.44,,,,,,,,,unresolved,-1,none
G12.72-5.86,,,,,,,,,unresolved,-1,none
G13.07+2.42,,,,,,,,,unresolved,-1,none
G13.07-4.85,,,,,,,,,unresolved,-1,none
G13.18+2.63,,,,,,,,,unresolved,-1,none
G13.18-4.65,,,,,,,,,unresolved,-1,none
G13.30+2.42,,,,,,,,,unresolved,-1,none
G13.30-4.85,,,,,,,,,unresolved,-1,none
G13.42+2.63,,,,,,,,,unresolved,-1,none
G13.42+5.05,,,,,,,,,unresolved,-1,none
G13.42-4.65,,,,,,,,,unresolved,-1,none
G13.77+6.06,,,,,,,,,unresolved,-1,none
G13.77-3.64,,,,,,,,,unresolved,-1,none
G13.77-6.06,,,,,,,,,unresolved,-1,none
G13.88+3.84,,,,,,,,,unresolved,-1,none
G13.88+6.26,,,,,,,,,unresolved,-1,none
G13.88-3.44,,,,,,,,,unresolved,-1,none
G13.88-5.86,,,,,,,,,unresolved,-1,none
G14.00+3.64,,,,,,,,,unresolved,-1,none
G14.00+6.06,,,,,,,,,unresolved,-1,none
G14.00-3.64,,,,,,,,,unresolved,-1,none
G14.00-6.06,,,,,,,,,unresolved,-1,none
G14.12+3.84,,,,,,,,,unresolved,-1,none
G14.12+6.26,,,,,,,,,unresolved,-1,none
G14.12-3.44,,,,,,,,,unresolved,-1,none
G14.12-5.86,,,,,,,,,unresolved,-1,none
G14.47+2.42,,,,,,,,,unresolved,-1,none
G14.47-4.85,,,,,,,,,unresolved,-1,none
G14.58+2.63,,,,,,,,,unresolved,-1,none
G14.58-4.65,,,,,,,,,unresolved,-1,none
G14.70+2.42,,,,,,,,,unresolved,-1,none
G14.70-4.85,,,,,,,,,unresolved,-1,none
G14.82+2.63,,,,,,,,,unresolved,-1,none
G14.82-4.65,,,,,,,,,unresolved,-1,none
G15.17+6.06,,,,,,,,,unresolved,-1,none
G15.17-3.64,,,,,,,,,unresolved,-1,none
G15.17-6.06,,,,,,,,,unresolved,-1,none
G15.28+6.26,,,,,,,,,unresolved,-1,none
G15.28-3.44,,,,,,,,,unresolved,-1,none
G15.28-5.86,,,,,,,,,unresolved,-1,none
G15.40+1.21,,,,,,,,,unresolved,-1,none
G15.40+6.06,,,,,,,,,unresolved,-1,none
G15.40-3.64,,,,,,,,,unresolved,-1,none
G15.40-6.06,,,,,,,,,unresolved,-1,none
G15.52+1.41,,,,,,,,,unresolved,-1,none
G15.52-3.44,,,,,,,,,unresolved,-1,none
G15.52-5.86,,,,,,,,,unresolved,-1,none
G15.87+2.42,,,,,,,,,unresolved,-1,none
G15.87-4.85,,,,,,,,,unresolved,-1,none
G15.98+2.63,,,,,,,,,unresolved,-1,none
G15.98+5.05,,,,,,,,,unresolved,-1,none
G15.98-4.65,,,,,,,,,unresolved,-1,none
G16.10+2.42,,,,,,,,,unresolved,-1,none
G16.10+4.85,,,,,,,,,unresolved,-1,none
G16.10-4.85,,,,,,,,,unresolved,-1,none
G16.22+2.63,,,,,,,,,unresolved,-1,none
G16.22-4.65,,,,,,,,,unresolved,-1,none
G16.57-3.64,,,,,,,,,unresolved,-1,none
G16.57-6.06,,,,,,,,,unresolved,-1,none
G16.68+3.84,,,,,,,,,unresolved,-1,none
G16.68+6.26,,,,,,,,,unresolved,-1,none
G16.68-3.44,,,,,,,,,unresolved,-1,none
G16.68-5.86,,,,,,,,,unresolved,-1,none
G16.80+3.64,,,,,,,,,unresolved,-1,none
G16.80+6.06,,,,,,,,,unresolved,-1,none
G16.80-3.64,,,,,,,,,unresolved,-1,none
G16.80-6.06,,,,,,,,,unresolved,-1,none
G16.92+1.41,,,,,,,,,unresolved,-1,none
G16.92+6.26,,,,,,,,,unresolved,-1,none
G16.92-3.44,,,,,,,,,unresolved,-1,none
G16.92-5.86,,,,,,,,,unresolved,-1,none
G17.27+2.42,,,,,,,,,unresolved,-1,none
G17.27-4.85,,,,,,,,,unresolved,-1,none
G17.38+2.63,,,,,,,,,unresolved,-1,none
G17.38+5.05,,,,,,,,,unresolved,-1,none
G17.38-4.65,,,,,,,,,unresolved,-1,none
G17.50+2.42,,,,,,,,,unresolved,-1,none
G17.50+4.85,,,,,,,,,unresolved,-1,none
G17.50-4.85,,,,,,,,,unresolved,-1,none
G17.62+2.63,,,,,,,,,unresolved,-1,none
G17.62+5.05,,,,,,,,,unresolved,-1,none
G17.62-4.65,,,,,,,,,unresolved,-1,none
G17.97+1.21,,,,,,,,,unresolved,-1,none
G17.97+6.06,,,,,,,,,unresolved,-1,none
G17.97-3.64,,,,,,,,,unresolved,-1,none
G17.97-6.06,,,,,,,,,unresolved,-1,none
G18.08+1.41,,,,,,,,,unresolved,-1,none
G18.08+3.84,,,,,,,,,unresolved,-1,none
G18.08+6.26,,,,,,,,,unresolved,-1,none
G18.08-3.44,,,,,,,,,unresolved,-1,none
G18.08-5.86,,,,,,,,,unresolved,-1,none
G18.20+1.21,,,,,,,,,unresolved,-1,none
G18.20+3.64,,,,,,,,,unresolved,-1,none
G18.20+6.06,,,,,,,,,unresolved,-1,none
G18.20-3.64,,,,,,,,,unresolved,-1,none
