source_id,ra_deg,dec_deg,sample,class,glat_deg,ecl_lat_deg,poss1_e,epoch_poss1,gaia_g,ps1_r,w1,w2,w3,w4,w3_lim,w4_lim,2mass_j,2mass_ks,wise_ccf,wise_id,allwise_sep_arcsec,n_ir_neighbours,bright_nb_gmag,bright_nb_sep_arcsec,pm_recovered,pm_total_mas_yr,n_ir_bands,tdust_fit_k,eta_max,eta_lo,eta_hi,budget_verdict,ftk_class,vet_flags,p_chance_match,modern_depth_mag,modern_depth_cats,modern_depth_margin_mag,class_reason
VASCO-VO-0113480,48.104253,3.455731,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-44.270042162981554,-13.901183654716313,,1969.7,,,15.085,15.114,,,11.757,8.917,,,0000,J031225.07+032719.6,1.254899,0,12.402847,8.735258,False,33.69837815088435,2.0,,0.13544524200224406,0.0012571656652938898,0.13544524200224406,IR_UNDERSAMPLED,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",3.2300000000000004,"2 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0205928,41.241395,3.253217,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-49.10161630365027,-12.107066459856886,17.01,1973.2,,,16.687,16.708,12.073,,,8.796,,,0000,J024458.16+031508.9,4.286228,0,12.669312,7.936576,False,29.122504356596806,3.0,180.0,0.11290775016966278,0.01783786875153618,0.11290775016966278,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",6.189999999999998,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0035039,45.246353,2.564787,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-46.9193795771217,-13.953733011497203,16.96,1982.5,,,15.429,15.296,12.304,8.702,,,,,0000,J030058.90+023355.8,4.268823,0,17.985207,23.435045,False,10.973824538418683,4.0,180.0,0.10422346278023574,0.016465871006293327,0.10422346278023574,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",6.239999999999998,"4 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0210705,41.146875,3.715864,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-48.80809031966593,-11.637734983752267,16.07,1967.6,,,,,,,,,12.9,11.963,,,,0,14.920694,34.628777,False,127.30509622163599,3.0,1800.0,0.0966812915753384,0.01527431188079122,0.0966812915753384,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",7.129999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0014734,45.472187,1.957656,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.19342387394315,-14.600146976485604,18.82,1978.2,,,15.13,14.942,,,11.56,8.5,,,0000,J030153.19+015727.9,2.04969,0,14.517327,19.285688,False,0.0,2.0,,0.09643280682212514,0.015235054713697594,0.09643280682212514,IR_UNDERSAMPLED,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.379999999999999,"2 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0156451,47.136987,4.287284,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-44.36833966517201,-12.835879850136411,17.29,1969.4,,,,,,,,,16.761,,,,,0,16.988646,29.102535,False,0.0,2.0,,0.09389514932138526,0.014834139795398991,0.09389514932138526,IR_UNDERSAMPLED,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",5.91,"2 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0361982,44.900267,8.71347,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-42.58094153572609,-7.963828745091931,15.61,1950.0,,,,,,,,,12.696,11.9,,,,0,15.80745,6.174347,False,12.737219044987802,3.0,1800.0,0.0934830855533718,0.014769039397950254,0.0934830855533718,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",7.59,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0362237,45.018612,8.84275,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-42.40673968692387,-7.87311612215497,14.46,1950.0,,,,,,,,,11.452,10.578,,,,0,14.52822,5.900739,False,158.72147189652696,3.0,1800.0,0.0931112319168277,0.014710291647211372,0.0931112319168277,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",8.739999999999998,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0024527,47.22542,2.206637,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.76940205757164,-14.858811058917183,17.38,1975.9,,,14.884,14.69,11.841,,,8.449,,,0000,J030854.21+021222.0,2.501759,0,18.910141,19.525303,False,0.0,3.0,350.0,0.09102143068982087,0.01438013184907412,0.09102143068982087,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",5.82,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0269847,43.30802,6.031023,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.65054860980553,-10.074946396107949,,1984.0,,,,,,,,,16.496,15.753,,,,0,12.550156,43.131192,False,2.5345794522957847,3.0,80.0,0.08001442038572662,0.0007426719503049091,0.08001442038572662,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",6.109999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0249375,42.145787,4.770714,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.35984977223597,-10.934450682138774,,1982.8,,,,,,,,,16.201,15.336,,,,0,18.423216,5.787077,False,149.81788602500038,3.0,1800.0,0.07458871688883992,0.0006923120554461591,0.07458871688883992,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",3.34,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0113396,48.257834,3.4442,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-44.168000589493694,-13.954167763590535,19.05,1977.3,,,15.803,15.477,,,11.809,8.304,,,0000,J031301.74+032636.3,3.464881,0,15.87684,39.43647,False,0.0,2.0,,0.06757975766847206,0.010676670518537405,0.06757975766847206,IR_UNDERSAMPLED,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.149999999999999,"2 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0088936,44.768273,3.513864,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-46.56333887908946,-12.907157203317505,16.0,1969.1,,,14.729,14.517,10.925,,,7.694,,,0000,J025904.36+033044.9,4.949353,0,18.556255,52.239416,False,1.8043026353691334,3.0,250.0,0.06735054464860384,0.01064045801976377,0.06735054464860384,IR_TOO_FAINT,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",7.199999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
