n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
372,0.44995767138131537,78,0.20967741935483872,0.6555084227018412,0.2498396182874096,0.14351996026495523,0.6269440119205134,8,0.07832905090406098,0.32721151152697847,526215400013543,193.08379300000001,13.8659174,,,,unknown,-0.010812387049295167,2.5106192992121583,-0.07667184787657097,0.0,False,False,False,0.9941860465116279,
394,0.17895129582991476,98,0.24873096446700507,0.9862644059357614,0.15361974332666897,0.06900692188989886,0.624579985765136,15,0.020998150529505537,0.15921863009103077,526215400004826,193.08157004999998,13.78048565,,,,unknown,0.007855761479430172,1.198209703288451,0.05577150161449492,0.14968346115869946,False,False,False,0.9285714285714286,
325,0.4021908913184673,5,0.015384615384615385,1.1886042816387956,0.9989236711766671,0.18970189379847702,0.6244056887587845,1,0.0,0.37927812889497414,526216400006732,191.4479038,13.7848711,,,,unknown,0.004844927476958436,0.5136588996898379,0.034488416721263536,0.0843931908006727,False,False,False,1.0,
389,0.5205904865124449,114,0.2930591259640103,0.8355777682482021,0.4992540123295798,0.0877605349200512,0.6243861252382704,15,0.06197084928390354,0.3134778909534819,526215400026806,193.2702476,13.8623611,,,,unknown,-0.006449798422045049,0.8777970289473487,-0.04574466187073461,0.0,False,False,False,0.9925373134328358,
402,0.3058708675989348,16,0.03980099502487562,0.6492665381106358,0.4825361657203667,0.07755053724200252,0.6225909268248753,1,0.00804797066750797,0.2252816692647629,526216400006080,191.89044315,13.86405255,,,,unknown,0.006216608890887855,1.7813286227588887,0.04408267009100115,0.077144672659252,False,False,False,0.9924812030075187,
360,0.1373866323262748,51,0.14166666666666666,1.13642066540243,0.33335294710203894,0.08899703184714049,0.6217998452698021,6,0.012587550568808163,0.1373866323262748,526216400013027,191.0691842,13.84780585,,,,unknown,0.008903705378320269,2.26407399506335,0.06307534286499564,0.11038185001374234,False,False,False,1.0,
395,0.26510477762220097,12,0.030379746835443037,0.8803386467986603,0.10766538657371935,0.058514713579754976,0.6196410880532879,1,0.0,0.18552742740906514,526215400004100,193.2903684,13.8953665,,,,unknown,0.003715197535882484,1.0178283705257385,0.02634973125377834,0.046112029694112086,False,False,False,0.9,
124,0.47682205940685607,64,0.5161290322580645,0.740426225563351,0.13614416159449566,0.17225140997998653,0.6183245770060041,10,0.14568499745074476,0.4714947521972991,526216300035122,190.7309515,13.8150756,,,,unknown,-0.012264569381466658,1.1828679325271176,-0.08098356750364213,0.0,False,False,False,0.987012987012987,
406,0.1880474688537097,14,0.034482758620689655,0.7417316307492283,0.15486151915544044,0.042859362278567154,0.6162167295033512,1,0.0039122991580399745,0.1871226922034005,526215400004337,193.33500099999998,13.85930295,,,,unknown,0.00489604431944803,0.986600328035834,0.03472478940299458,0.11285171478857386,False,False,False,0.8125,
509,0.1563504018218408,25,0.04911591355599214,1.1111634369883272,0.9973386769290103,0.08717248236348248,0.6133249658592398,4,0.0,0.1438853989774933,526216300005776,190.9757852,13.9536779,,,,unknown,0.006930619835186114,1.7439488311520743,0.048975434382395565,0.08570701016919223,False,False,False,0.7368421052631579,
