series,platenum,mosnum,expnum,exptime_min
ay,1494,-1,0,72.0
ai,17077,0,0,56.0
ke,320,-1,0,71.0
ai,16208,0,0,65.0
ai,18701,0,0,64.0
ai,12542,1,0,67.0
i,6552,-1,0,22.0
dnr,1130,0,0,45.0
ai,16036,0,0,60.0
ac,27455,0,0,69.0
fa,10493,2,0,1055.0
ai,1296,0,0,70.0
dnb,6029,0,0,31.0
rh,349,0,0,68.0
i,42556,0,0,6.0
ai,9326,0,0,60.0
fa,12235,0,0,45.0
ai,42804,1,0,88.0
ka,1873,0,0,44.0
dnb,5849,0,0,36.0
ai,31613,0,0,60.0
ac,8743,0,0,60.0
fa,3102,1,0,41.0
i,33756,-1,0,76.0
fa,253,-1,0,61.0
