lam_um,response
26.67,0.03437
26.68,0.03162
26.69,0.029591
26.7,0.029298
26.71,0.028673
26.72,0.027572
26.73,0.099783
26.74,0.11111
26.75,0.1109
26.76,0.11211
26.77,0.10844
26.78,0.10477
26.79,0.10147
26.8,0.098166
26.81,0.094862
26.82,0.09164
26.83,0.087955
26.84,0.0841
26.85,0.08041
26.86,0.076885
26.87,0.073482
26.88,0.070328
26.89,0.067255
26.9,0.064306
26.91,0.061564
26.92,0.058903
26.93,0.056367
26.94,0.053954
26.95,0.05154
26.96,0.04925
26.97,0.047084
26.98,0.044959
26.99,0.042874
27.0,0.040354
27.01,0.037446
27.02,0.034556
27.03,0.030296
27.04,0.018525
27.05,0.019858
27.06,0.021391
27.07,0.023199
27.08,0.024528
27.09,0.025879
27.1,0.027247
27.11,0.028186
27.12,0.028682
27.13,0.029086
27.14,0.029515
27.15,0.029382
27.16,0.029266
27.17,0.029129
27.18,0.028847
27.19,0.028481
27.2,0.028161
27.21,0.027862
27.22,0.027279
27.23,0.026551
27.24,0.025903
27.25,0.025013
27.26,0.023248
27.27,0.021494
27.28,0.019845
27.29,0.017468
27.3,0.014859
27.31,0.012496
27.32,0.010186
27.33,0.0060779
27.34,0.0036136
27.35,0.0021906
27.36,0.0016946
27.37,0.00026696
27.38,0.00044431
27.39,0.00037452
27.4,0.00031483
27.41,0.00026607
27.42,0.00022355
27.43,0.00018877
27.44,0.00015948
27.45,0.00013389
27.46,0.0001126
27.47,9.4716e-05
27.48,7.9644e-05
27.49,6.6872e-05
27.5,5.6318e-05
27.51,4.7341e-05
27.52,3.9764e-05
27.53,3.342e-05
27.54,3.0353e-05
27.55,2.8425e-05
27.56,2.6577e-05
27.57,2.4886e-05
27.58,2.3198e-05
27.59,2.1742e-05
27.6,2.0361e-05
27.61,1.9057e-05
27.62,1.7834e-05
27.63,1.6687e-05
27.64,1.5617e-05
27.65,1.4546e-05
27.66,1.3608e-05
27.67,1.2725e-05
27.68,1.1911e-05
27.69,1.1113e-05
27.7,1.0371e-05
27.71,9.7054e-06
27.72,2.0609e-05
27.73,3.1029e-05
27.74,7.4738e-05
27.75,0.00037836
27.76,0.0034715
27.77,0.0046232
27.78,0.0060612
27.79,0.0077859
27.8,0.0091135
27.81,0.0094632
27.82,0.0097179
27.83,0.010068
27.84,0.010176
27.85,0.010201
27.86,0.010235
27.87,0.010282
27.88,0.010225
27.89,0.010216
27.9,0.010215
27.91,0.010058
27.92,0.0092572
27.93,0.0085689
27.94,0.0079019
27.95,0.0066076
27.96,0.0048464
27.97,0.0035244
27.98,0.0025783
27.99,0.00057147
28.0,0.0001596
28.05,3.8429e-05
