lam_um,response
6.4097,0.30404
6.4137,0.30367
6.4176,0.30586
6.4216,0.30714
6.4256,0.30423
6.4296,0.30658
6.4336,0.30956
6.4376,0.30873
6.4416,0.30918
6.4456,0.3109
6.4496,0.31298
6.4536,0.31342
6.4576,0.31347
6.4616,0.31466
6.4657,0.31524
6.4697,0.31757
6.4737,0.31816
6.4778,0.31554
6.4818,0.3157
6.4859,0.31393
6.4899,0.30906
6.494,0.3092
6.4981,0.31207
6.5021,0.31462
6.5062,0.31973
6.5103,0.32452
6.5144,0.32789
6.5185,0.33217
6.5226,0.33389
6.5267,0.33427
6.5308,0.33649
6.5349,0.33717
6.539,0.33876
6.5432,0.34165
6.5473,0.34178
6.5514,0.34319
6.5556,0.34554
6.5597,0.34544
6.5639,0.34643
6.568,0.34894
6.5722,0.35134
6.5764,0.35285
6.5805,0.35087
6.5847,0.35078
6.5889,0.35535
6.5931,0.35614
6.5973,0.35579
6.6015,0.35714
6.6057,0.35646
6.6099,0.35872
6.6141,0.36031
6.6183,0.35937
6.6226,0.36191
6.6268,0.36302
6.631,0.36279
6.6353,0.36481
6.6395,0.36541
6.6438,0.36449
6.648,0.36428
6.6523,0.36499
6.6566,0.36684
6.6608,0.36676
6.6651,0.3659
6.6694,0.36938
6.6737,0.36996
6.678,0.36865
6.6823,0.37219
6.6866,0.37238
6.6909,0.37112
6.6952,0.37311
6.6996,0.37337
6.7039,0.37359
6.7082,0.37633
6.7126,0.37749
6.7169,0.37663
6.7213,0.37824
6.7256,0.37942
6.73,0.37834
6.7344,0.37926
6.7387,0.38038
6.7431,0.38045
6.7475,0.38174
6.7519,0.38248
6.7563,0.38263
6.7607,0.38334
6.7651,0.38306
6.7695,0.3849
6.774,0.3866
6.7784,0.38428
6.7828,0.3848
6.7873,0.3869
6.7917,0.38703
6.7961,0.3875
6.8006,0.38647
6.8051,0.38561
6.8095,0.3863
6.814,0.3863
6.8185,0.38543
6.823,0.38672
6.8275,0.38852
6.832,0.38642
6.8365,0.3862
6.841,0.38741
6.8455,0.38686
6.85,0.38846
6.8545,0.38847
6.8591,0.38885
6.8636,0.39148
6.8682,0.3895
6.8727,0.38741
6.8773,0.38767
6.8818,0.38693
6.8864,0.38719
6.891,0.38752
6.8956,0.38651
6.9001,0.3864
6.9047,0.3868
6.9093,0.3858
6.9139,0.38465
6.9186,0.38458
6.9232,0.38399
6.9278,0.38295
6.9324,0.38263
6.9371,0.38159
6.9417,0.38085
6.9464,0.38098
6.951,0.37929
6.9557,0.3805
6.9603,0.38329
6.965,0.37984
6.9697,0.37763
6.9744,0.37863
6.9791,0.37797
6.9838,0.37763
6.9885,0.3777
6.9932,0.37843
6.9979,0.37779
7.0026,0.37674
7.0074,0.37776
7.0121,0.37757
7.0169,0.3786
7.0216,0.37996
