spec_id,wavelength,significance,width_ratio,score,redshift,n_survivors,ra,dec,spectype,data_release,n_lines_in_spectrum,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class,hunt_rank,search_mode,nearest_known_line,nearest_line_dv_kms,n_spectra_at_wavelength,triage_verdict,galaxy_z,galaxy_rest_lines
040bd712-5e39-11f0-8d32-525400f334e1,4223.767459498086,8.982512518260142,1.481794669457266,0.52137206849731,0.0005114036030136,1,170.09251,15.953535,STAR,SDSS-DR17,12,2MASS J11202219+1557126,Pe*,F9,1.0,pe*,0.1967441767914377,emission,4227.89,292.3,2,known_line_window,,
03ec10fd-5dec-11f0-9e8e-525400f334e1,4915.865591568615,8.429959227085673,1.2382217044798791,0.578591113231723,-6.50569490971975e-05,2,356.45912,0.13609167,STAR,SDSS-DR17,14,,,,0.0,unexamined,0.1961325807565162,emission,4921.87,365.7,1,survives,,
01a78372-5e22-11f0-854e-525400f334e1,4413.671434634397,9.779596735321247,1.2276458875139842,0.7119809740205505,0.0002184513141401,1,117.69366,9.089998,STAR,SDSS-DR17,20,,,,0.0,unexamined,0.1849301231222209,emission,4416.34,181.1,3,known_line_window,,
01945a24-5e3b-11f0-bf13-525400f334e1,3921.931463326502,9.358760859890149,1.4497096051751843,0.5429005359013364,-0.0007716174004599,1,217.39659,28.749494,STAR,SDSS-DR17,15,SDSS J142935.18+284458.1,C*,C,1.0,c*,0.1751292051294633,emission,3934.78,978.9,3,recurrent_across_runs,,
06b20f2e-5e0e-11f0-86c8-525400f334e1,6127.735345213944,8.979073666556507,1.5847415084631498,0.4893646409900001,-0.0003741022082976,1,8.7699064,1.1460875,STAR,SDSS-DR17,13,FASTT    2,C*,Ce,1.0,c*,0.1747730860678572,emission,6123.89,188.2,1,known_line_window,,
040f2939-5df4-11f0-afbd-525400f334e1,5225.164890163819,9.728533991406206,1.3464498525988664,0.6138817230986995,0.0004834509454667,1,162.12504,0.407309,STAR,SDSS-DR17,18,,,,0.0,unexamined,0.1729244290418871,emission,5251.66,1512.5,2,survives,,
0428322a-5e2c-11f0-8a9d-525400f334e1,5260.172663907063,8.597572221079323,1.431784758059089,0.4049593272733304,0.0001663747389102,3,62.992885,-5.6644794,STAR,SDSS-DR17,11,,,,,unexamined,0.1619837309093321,emission,5251.66,485.9,1,survives,,
03fdaefa-5e2f-11f0-bac1-525400f334e1,4208.23515424823,9.317137990002328,1.4210982710635327,0.5574741266097659,5.705003786715679e-05,1,139.91733,15.040639,STAR,SDSS-DR17,18,,,,0.0,unexamined,0.1570349652421876,emission,4227.89,1393.7,2,survives,,
03f59bc0-5e19-11f0-8616-525400f334e1,4036.4539296760486,8.16473947405497,1.4607779284503364,0.5151389465433929,-0.000370585854398,1,24.608138,-9.221542,STAR,SDSS-DR17,17,SDSS J013825.95-091317.5,RG*,KIII,1.0,rg*,0.1515114548657037,emission,4027.34,678.4,1,survives,,
07a62e0b-5e2f-11f0-89a8-525400f334e1,5361.66900594989,9.49367729713398,1.5509043198741166,0.4067321416188215,0.0002006173453992,2,141.42911,14.749375,STAR,SDSS-DR17,13,,,,,unexamined,0.1452614791495791,emission,5372.99,631.7,1,survives,,
