name,reference,atmosphere,teff,n_measured,flag,element,fired,z,phase_constraint,note,kills,survives
NLTT 43806,Zuckerman 2011,H,5900.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
NLTT 43806,Zuckerman 2011,H,5900.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
WDJ183352.68+321757.25,Tremblay 2020,He,7650.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
J2050,Swan 2023,He,10200.0,6,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
J2050,Swan 2023,He,10200.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
WDJ235750.73+194905.90,Tremblay 2020,He,5700.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
LHS 2534,Hollands 2021,He,4780.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
NLTT 7547 Spectral,Kawka 2019,H,5198.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
NLTT 7547 (Balmer),Kawka 2019,H,5460.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
NLTT 7547 Balmer,Kawka 2019,H,5460.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
PG1225-079,Klein 2011,He,10500.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
PG1225-079,Klein 2011,He,10800.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
PG 1225-079,Xu 2013,He,10800.0,11,PURE_SI_WITHOUT_O_MG_FE,,False,2.840793272688706,rest_of_panel_fit,,,
PG 1225-079,Xu 2013,He,10800.0,11,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
PG 1225-079,Xu 2013,He,10800.0,11,PURE_SI_WITHOUT_O_MG_FE,,False,3.5635145492694953,rest_of_panel_fit,,,
PG 1225-079,Xu 2013,He,10800.0,11,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
PG1225-079,Klein 2011,He,11100.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
Ross 640,Dupuis 1993,He,8800.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,,unconstrained_full_grid,"Mg, O and Fe must all be constrained relative to Si",,
Ross 640,Dupuis 1993,He,8800.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
Ross 640,Zeidler 1986,He,8800.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,,unconstrained_full_grid,"Mg, O and Fe must all be constrained relative to Si",,
Ross 640,Zeidler 1986,He,8800.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS 1228+1040,Gansicke 2012,H,20900.0,7,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
SDSS 1228+1040,Gansicke 2012,H,20900.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J004757.06+162836.5,Hollands 2017,He,6620.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J011646.10+205001.9,Hollands 2017,He,6207.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J015008.55+135433.9,Hollands 2017,He,6310.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J025206.06-040130.3,Hollands 2017,He,6950.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J073635.22+411828.1,Hollands 2017,He,5100.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
SDSS J073842.56+183509.06,Dufour 2012,He,13950.0,14,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSSJ0738+1835,Dufour 2010,He,13600.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
SDSSJ0738+1835,Dufour 2010,He,13600.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J074153.45+314620.4,Hollands 2017,He,5592.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J074414.66+464912.5,Hollands 2017,He,5028.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J075853.46+101347.4,Hollands 2017,He,5500.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J075853.46+101347.4,Hollands 2017,He,5500.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J080643.94+405837.7,Hollands 2017,He,6808.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J080740.69+493059.7,Hollands 2017,He,5100.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J081606.19+233030.1,Hollands 2017,He,7790.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J081606.19+233030.1,Hollands 2017,He,7790.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J082019.49+253035.3,Aguilera-Gomez 2024,He,11900.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
SDSS J082019.49+253035.3,Aguilera-Gomez 2024,He,11900.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J083200.38+410937.9,Hollands 2017,He,6070.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J085217.60+340211.3,Hollands 2017,He,5580.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
