kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_dor,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname,koi_count,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,tic_id,tic_route,has_ephemeris,has_depth,long_period
8905246,K03473.01,,CANDIDATE,CANDIDATE,27.637147,6.761e-05,735.5,32.5,-32.5,0.026279,0.007299,-0.001932,0.669,0.001,-0.519,1.7277,0.0716,-0.0716,,95.1,5214,3.766,2.427,13.851,298.0759,45.18903,0,0,0,0,q1_q17_dr25_tce,1,-6.761e-05,143.93342,0.00193,-0.00193,,,True,True,False
8915379,K05583.01,,CANDIDATE,CANDIDATE,20.585859,0.0008466,260.2,85.2,-85.2,0.015877,0.001375,-0.004851,0.7233,0.0522,-0.5423,3.069,0.983,-0.983,,36.6,5523,4.526,0.753,15.306,300.9559,45.11108,0,0,0,0,q1_q16_tce,1,-0.0008466,140.6753,0.0272,-0.0272,,,True,True,False
8934103,K04009.01,Kepler-1538 b,CONFIRMED,CANDIDATE,175.13892,0.002581,634.5,37.9,-37.9,0.022585,0.001209,-0.00079,0.07,0.386,-0.07,10.767,0.346,-0.346,,126.8,5497,4.243,1.241,15.245,283.3457,45.27446,0,0,0,0,q1_q17_dr25_tce,2,-0.002581,296.03778,0.00994,-0.00994,1.6452256e+08,name_planet,True,True,True
8934103,K04009.02,,CANDIDATE,CANDIDATE,77.792718,0.002604,287.9,41.6,-41.6,0.015988,0.000343,-0.002315,0.576,0.387,-0.367,6.08,1.4,-1.4,,81.8,5497,4.243,1.241,15.245,283.3457,45.27446,0,0,0,0,q1_q17_dr25_tce,2,-0.002604,190.1476,0.0329,-0.0329,1.6452256e+08,name_host,True,True,True
8934495,K00524.01,Kepler-1721 b,CONFIRMED,CANDIDATE,4.5923938,3.023e-06,1027.7,11.2,-11.2,0.028819,0.000531,-0.000229,0.02,0.322,-0.02,2.2748,0.0192,-0.0192,,15.8754,5351,4.582,0.796,14.868,283.54416,45.225552,0,0,0,0,q1_q17_dr25_tce,1,-3.023e-06,172.00472,0.000523,-0.000523,1.6452754e+08,name_planet,True,True,False
8935810,K01395.01,Kepler-1747 b,CONFIRMED,CANDIDATE,6.230335,1.007e-05,1449.2,47.2,-47.2,0.039196,0.00354,-0.004581,0.808,0.092,-0.595,1.6493,0.0514,-0.0514,,18.88,5477,4.557,0.865,15.977,284.20966,45.25808,0,0,0,0,q1_q17_dr25_tce,1,-1.007e-05,181.29566,0.00134,-0.00134,1.6467057e+08,name_planet,True,True,False
8937555,K05585.01,,CANDIDATE,CANDIDATE,113.57394,0.001397,249.6,30.8,-30.8,0.014147,0.001078,-0.001128,0.1359,0.3378,-0.1358,3.007,0.342,-0.342,,290,5155,3.768,2.233,12.397,285.09998,45.23811,0,0,0,0,q1_q16_tce,1,-0.001397,216.47178,0.00721,-0.00721,,,True,True,True
8946267,K05588.01,,CANDIDATE,CANDIDATE,542.91133,0.02675,750.1,78.7,-78.7,0.025176,0.000953,-0.002254,0.3766,0.057,-0.3765,15.9,1.3,-1.3,,248.7,5583,4.559,0.824,15.373,289.3334,45.242641,0,0,0,0,q1_q16_tce,1,-0.02675,409.6919,0.0281,-0.0281,,,True,True,True
8947520,K02517.01,Kepler-1264 b,CONFIRMED,CANDIDATE,0.96852768,2.958e-06,114.6,8.2,-8.2,0.012523,0.000132,-0.002737,0.941,0.015,-0.697,1.3672,0.076,-0.076,,2.24,5580,4.538,0.886,14.511,289.88437,45.211498,0,0,0,0,q1_q17_dr25_tce,1,-2.958e-06,131.50954,0.00243,-0.00243,1.5917706e+08,name_planet,True,True,False
8949925,K02972.01,,CANDIDATE,CANDIDATE,13.251121,0.000202,266.5,19.6,-19.6,0.014901,0.000582,-0.000933,0.231,0.222,-0.231,4.996,0.249,-0.249,,20.03,5850,4.297,1.217,15.085,290.73447,45.297791,0,0,0,0,q1_q17_dr25_tce,2,-0.000202,141.178,0.0103,-0.0103,,,True,True,False
