kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,class,vetoes,flags_classify,koi_period,koi_depth,koi_depth_in_tess_band_ppm,pdc_depth_ppm,pdc_total_err_ppm,pdc_z,pdc_z_pop,pdc_ratio,sap_depth_ppm,sap_total_err_ppm,sap_z,sap_z_pop,sap_ratio,sap_minus_pdcsap_z,background_direction,pdc_odd_even_sigma,sap_odd_even_sigma,duration_verdict,z_duration,t14_ratio_observed,t14_ratio_expected_fixed_b,epoch_offset_minutes,epoch_offset_sigma,epoch_search_snr_best,pdc_n_transits,sap_n_transits,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_depth_reduction_spread_ppm,sap_depth_reduction_spread_ppm,pdc_sector_scatter_chi2_per_dof,ra,dec,shard
K01598.01,Kepler-310 c,10004738,158840828,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,56.475807,1091.8,1123.2605,-1112.1811,1322.3915,-1.6887889,-0.47853515,-0.99013642,46.839481,573.3442,-1.8676692,-0.49693502,0.041699572,0.32344961,SAP_DEEPER_THAN_PDC,,1.2447431,inconclusive,,2.5,,0,,-0.54264552,1,2,"74,75,80,81,82",SPOC,120,,194.49716,,288.83936,46.98674,2
K01598.02,Kepler-310 d,10004738,158840828,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,92.874729,658.8,695.13259,-500.73438,817.27074,-1.4615205,-0.42740685,-0.7203437,-239.88227,345.079,-2.6918042,-0.71439252,-0.34508851,-0.061763248,PDC_DEEPER_THAN_SAP,,,inconclusive,,1.6807354,,0,,1.1739586,2,2,"74,75,80,81,82",SPOC,120,,,0.17689387,288.83936,46.98674,2
K01917.01,Kepler-1776 b,10074466,159728250,tic_kic_crossid_confirms_name_planet,CONFIRMED,not_measurable,,,35.011909,436.7,459.2748,1398.5195,883.73814,1.754256,0.21398882,3.0450604,1366.8949,333.56703,4.3399307,1.135544,2.9762027,-0.45497608,PDC_DEEPER_THAN_SAP,0.25176601,0.20183129,fixed_b,-2.0775996,0.42519615,1.0920816,-0.017208,0.00081187899,3.1615154,8,8,"74,75,82,14,15,40,41,54,55","QLP,SPOC","120,1800,600",811.33358,125.48455,0.66016707,291.53439,47.0425,2
K02689.01,,10265602,158663323,tic_kic_crossid,CANDIDATE,not_measured,,,165.3447,4899,5155.3017,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,81,82",SPOC,120,,,,288.17789,47.36668,2
K04051.01,Kepler-1545 b,10360722,268382450,tic_kic_crossid_confirms_name_planet,CONFIRMED,not_measured,,,163.69234,1138,1083.1964,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"76,81,82,83",SPOC,120,,,,298.89877,47.463089,2
K05790.01,,10394802,158412743,tic_kic_crossid,CANDIDATE,not_measured,,,178.26698,1857,1941.8271,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,81,82",SPOC,120,,,,287.29132,47.598251,2
K04480.01,,10467714,159516505,tic_kic_crossid,CANDIDATE,not_measurable,,,58.748863,473.6,454.66653,526.56262,1620.8046,0.044342617,-0.022314078,1.1581293,351.06312,483.83688,-0.21328559,-0.05835868,0.77213319,-0.049036202,PDC_DEEPER_THAN_SAP,0.027569184,0.088177745,duration_inconsistent,11.106127,2.4247968,1.0015346,0,,1.4366428,2,2,"74,75,80,81,82",SPOC,120,68.872352,20.007029,0.00076005992,290.77655,47.64843,2
K05852.01,,11021266,399952134,tic_kic_crossid,CANDIDATE,not_measurable,,,235.41397,1027,990.11424,-689.86779,4821.8676,-0.34816525,-0.10214158,-0.69675575,176.51087,1790.2164,-0.45218056,-0.12048962,0.17827323,-0.11099276,PDC_DEEPER_THAN_SAP,,,inconclusive,,2.5,,0,,0.96747289,1,1,"80,81,82",SPOC,120,,49.458152,,287.36044,48.5564,2
K08046.01,,11182706,399953734,tic_kic_crossid,CANDIDATE,transit_not_recovered,,,384.37706,1204.9,1270.4161,-392.90094,193.1058,-7.7905312,-2.4420917,-0.3092695,-360.85742,192.00491,-7.6762284,-2.0378478,-0.28404664,,,,,inconclusive,,0.9699187,,0,,1.9276878,1,1,"74,75,80,81,82,14,15,26,40,41,54,55","QLP,SPOC","120,1800,600",,,,287.59253,48.886459,2
K05886.01,,11341266,399860321,tic_kic_crossid,CANDIDATE,not_measurable,,,284.87177,106.7,103.19468,7119.083,372.9792,30.74099,6.0942954,68.986916,6833.3016,393.68856,29.992786,7.8935159,66.217574,,,,,tracks_b,-8.2977879,0.45197942,1.0690327,-78.21252,0.1677231,19.087078,1,1,"74,75,80,81,82,14,26,40,41,54,55","QLP,SPOC","120,1800,600",,,,286.79611,49.19426,2
K05888.01,,11348610,417658279,tic_kic_crossid,CANDIDATE,not_measured,,,190.86082,512,496.32058,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,81,82",SPOC,120,,,,290.8688,49.105068,2
K04371.01,Kepler-1596 b,11444514,350813882,tic_kic_crossid_over_name_planet,CONFIRMED,not_measured,,,66.373298,415,400.30079,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,82",SPOC,120,,,,285.5575,49.33007,2
K05905.01,,11493378,48306409,tic_kic_crossid,CANDIDATE,not_measured,,,35.660617,,,1673.3295,1047.1944,,,,1681.9379,1109.1364,,,,,,2.192167,2.3013324,inconclusive,,2.5,,0,,1.9338299,8,8,"14,15,40,41,55,74,75,80,81,82",QLP,"1800,200,600",,,1.2028189,283.46997,49.416962,2
K05924.01,,11616434,27234616,tic_kic_crossid,CANDIDATE,not_measured,,,291.30651,1132,1086.1412,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"76,81,82,83",SPOC,120,,,,294.69086,49.626991,2
K01980.01,Kepler-1036 b,11769890,27396869,name_planet,CONFIRMED,not_measurable,,,122.87995,717.7,741.70917,467.52647,526.41745,-0.51917263,-0.27888201,0.63033664,94.156456,426.35777,-1.5113789,-0.40248341,0.12694525,-0.3161649,PDC_DEEPER_THAN_SAP,1.3286989,1.6132522,fixed_b,2.5058289,1.2011244,0.97939696,0,,2.5886271,4,4,"74,75,76,81,82,83,14,15,40,41,54,55,56","QLP,SPOC","120,1800,200,600",112.34933,13.990621,1.9360516,295.18164,49.945782,2
K05932.01,,11803074,279918978,tic_kic_crossid,CANDIDATE,not_measured,,,355.86134,1220.7,1173.8691,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"75,80,82",SPOC,120,,,,285.33783,50.066132,2
K05933.01,,11807906,298968615,tic_kic_crossid,CANDIDATE,not_measured,,,236.50644,744.4,710.00424,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"74,75,80,81,82,40,41,53,54,55","QLP,SPOC","120,600",,,,288.43665,50.075722,2
K05937.01,,11824578,27912615,tic_kic_crossid,CANDIDATE,not_measured,,,357.58854,344.8,335.34178,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"74,75,76,81,82,83,14,15,41,54,55,56","QLP,SPOC","120,1800,200,600",,,,296.7554,50.055271,2
K02290.01,Kepler-1816 b,12121570,27911400,name_planet,CONFIRMED,not_measurable,,,91.500873,704.8,671.23528,687.00534,1628.145,0.0096817281,-0.045300793,1.0234941,409.94622,1315.2003,-0.19853733,-0.05350842,0.61073401,-0.25355575,PDC_DEEPER_THAN_SAP,,,duration_inconsistent,11.376164,2.5,1.0002702,0,,0.69244178,1,1,"74,76,81,82,83",SPOC,120,212.2132,141.79288,,296.85101,50.698929,2
K08076.01,,12156930,267746440,tic_kic_crossid,CANDIDATE,not_measurable,,,71.10684,128.4,125.32483,3441.1291,1450.2949,7.5630608,1.4421084,27.457682,305.98464,1135.1292,0.15913974,0.041719069,2.4415326,-2.5803498,PDC_DEEPER_THAN_SAP,0.46749725,0.038467676,tracks_b,-9.2227266,0.46599722,1.0563251,-624.0116,3.2062017,3.376132,5,6,"74,75,80,81,82,83,14,15,41,53,54,55,56","QLP,SPOC","120,1800,200,600",1031.7367,1108.0153,0.24923962,290.03943,50.768501,2
K00438.02,Kepler-155 c,12302530,298969755,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,52.661527,1078.1,1066.459,803.6733,958.63598,-0.27357688,-0.18961083,0.75359043,990.4541,726.30381,-0.10428272,-0.030801869,0.92873152,0.16163582,SAP_DEEPER_THAN_PDC,1.8964499,1.2576922,duration_inconsistent,3.8291138,1.8420157,0.99276332,0,,2.0019463,2,3,"40,41,53,54,55,75,80,81,82",SPOC,120,,333.4192,3.5965223,288.49582,51.08194,2
K05971.01,,12418418,27778479,tic_kic_crossid,CANDIDATE,not_measured,,,493.30572,404.5,386.06298,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"40,41,54,55,74,76,81,82,83,14,15,16,56","QLP,SPOC","120,1800,200",,,,296.26324,51.26609,2
K04961.01,,3001955,138568145,tic_kic_crossid,CANDIDATE,not_measured,,,348.96347,585.2,580.49896,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"74,75,81,82",SPOC,120,,,,294.0845,38.156319,3
K03483.01,,3101923,121213409,tic_kic_crossid,CANDIDATE,not_measurable,,,82.331756,283.2,272.8198,-1131.0374,1604.5677,-0.87475692,-0.21681201,-4.1457305,-725.11906,1053.8122,-0.94658828,-0.25021652,-2.6578681,,,,,inconclusive,,2.2811088,,0,,1.6048252,2,2,"74,80,81",SPOC,120,,,0.073143755,287.32269,38.279709,3
K02099.01,Kepler-1094 b,3120355,137549134,tic_kic_crossid_over_name_planet,CONFIRMED,not_measured,,,78.099891,656.9,641.76287,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,74,SPOC,120,,,,292.30124,38.26704,3
K04967.01,,3239171,137634731,tic_kic_crossid,CANDIDATE,not_measured,,,43.581043,348.7,337.73649,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,74,SPOC,120,,,,292.47034,38.394341,3
K04981.01,,3441795,122684271,tic_kic_crossid,CANDIDATE,not_measured,,,349.73652,886,846.00796,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,74,SPOC,120,,,,290.94846,38.56591,3
K06103.01,Kepler-1981 b,3634051,121457557,tic_kic_crossid_over_name_planet,CONFIRMED,not_measured,,,453.54212,861,848.45098,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,81,14,40,41,75","QLP,SPOC","120,1800,200,600",,,,287.97546,38.74028,3
