source_id,ra,dec,vim_d_ra,vim_d_ra_error,vim_d_dec,vim_d_dec_error,role,expected,phot_g_mean_mag,ruwe
423707770826163200,12.296105654836913,56.062098008966835,-4.389654356246756,0.34577668,-2.838560874026701,0.45419466,VIM_POSITIVE,BLEND,,
5903304940609955328,227.06080427604806,-48.451120534095075,5.577167895232582,0.4470122,16.61805392983103,0.3964176,VIM_POSITIVE,BLEND,,
1701038328910834560,226.19259790696765,75.34945678073261,-6.228647340418512,0.25515038,1.3498647540773403,0.22100343,VIM_POSITIVE,BLEND,,
2004463474743065088,331.9087526658994,52.727077969917,3.999210221018804,0.39177582,19.777933347071265,0.617444,VIM_POSITIVE,BLEND,,
4218332233193618816,308.6830661147154,-5.157774430631111,-4.482295992329611,0.21591014,-1.136340954029057,0.13995315,VIM_POSITIVE,BLEND,,
2072299700058096768,299.35986267424244,37.864835772761836,3.4557030557838098,0.14035456,-5.219600814771739,0.17413077,VIM_POSITIVE,BLEND,,
4056981547535332480,264.96610609903433,-29.984348168765496,-7.70421501409127,0.2799393,4.758852518400153,0.17602484,VIM_POSITIVE,BLEND,,
5899629238862418432,218.6632876999882,-48.986074921481084,-9.365319528110607,0.1998369,-0.5816578076731301,0.22164562,VIM_POSITIVE,BLEND,,
3340003514126857856,85.69712487695215,11.119819056124703,-3.8994605993738496,0.14933468,0.4371601451361163,0.07372007,VIM_POSITIVE,BLEND,,
5757795468680665344,134.73228080656358,-5.39002123494677,-15.431588588225017,0.6234143,5.891950049587247,0.37962547,VIM_POSITIVE,BLEND,,
5777772147553530368,256.3393313846696,-76.99628215607792,8.747565260790491,0.3997644,-0.07292478201960943,0.45719272,VIM_POSITIVE,BLEND,,
1883681125979434752,342.24039755073636,26.622924206654695,-1.9648143025065024,0.1823027,2.097252850675932,0.25794637,VIM_POSITIVE,BLEND,,
603183149762388224,130.2511409722576,13.676524525016303,-0.8070050755147684,0.13289872,-2.106162404904791,0.061012946,VIM_POSITIVE,BLEND,,
3088569329688424832,117.10355585730937,2.409127708698821,1.7260896515571968,0.18096514,7.334614571525959,0.110250086,VIM_POSITIVE,BLEND,,
6797142782259097856,304.82760430136085,-30.675676493579918,16.997578443903613,0.2836853,2.168801363467681,0.19912495,VIM_POSITIVE,BLEND,,
414729261945946368,10.882478532751792,50.01663002417991,6.240111804283366,0.1599249,-5.067257776167495,0.17798525,VIM_POSITIVE,BLEND,,
4180684817627472512,291.4950357051811,-17.038485634840683,4.279655997259841,0.31991383,10.30297021850803,0.2794693,VIM_POSITIVE,BLEND,,
