source_id,vet_class,flags,kind,t_peak,delta_g,delta_bp,delta_rp,ratio_bp_rp,ratio_err,n_transits_episode,score,phot_g_mean_mag,bp_rp,ruwe,min_n_obs_g,rms_out_of_episode_g,ra,dec,l_deg,b_deg,reproduced,simbad_status,vsx_status,n_gaia_30as,ztf_n,ztf_class,ztf_band,ztf_period_d,ztf_t0,ztf_duration_d,ztf_depth,ztf_sde,ztf_rms,ztf_n_low_points,fate,fate_flags,simbad_main_id,simbad_otype,simbad_sep_arcsec,vsx_name,vsx_type,vsx_period
4364400806755070720,SURVIVES_FLAGGED,gaia_class:CV,BRIGHTENING,2026.03,4.13811,3.55559,3.92324,0.906288,0.121811,6,82.076,19.863,1.49585,1.00629,8,0.123498,255.026,-5.57735,14.2036,21.6696,,NO_MATCH,"ERROR:DeadlineExceeded('SELECT TOP 5 * FROM ""B/vsx/vsx"" WHERE 1 : no answer within 60s')",6,170,ZTF_QUIET,zg,0.258595,3006.7,0.1,0.276116,8.61016,0.233369,0,UNEXPLAINED,,,,,,,
1988359512031864320,SURVIVES,,DIP,2619.29,-0.180232,-0.183163,-0.186483,0.982198,0.0570534,2,81.8294,15.1882,0.938875,0.951685,6,0.00311486,340.807,48.5068,102.072,-9.1032,,OK,OK,11,1824,ZTF_DIPS_APERIODIC,zr,17.2343,3067.31,0.1,0.176323,4.1457,0.0101112,36,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1988359512031864320,*,0.909312,Gaia DR3 1988359512031864320,VAR,0.0735806
3338129499635732736,SURVIVES,,DIP,2669.2,-0.289992,-0.335282,-0.302813,1.10722,0.0840777,2,81.2209,16.1209,1.20971,1.04267,9,0.00504932,82.4837,9.88631,194.42,-13.1194,,OK,"ERROR:DeadlineExceeded('SELECT TOP 5 * FROM ""B/vsx/vsx"" WHERE 1 : no answer within 60s')",6,0,ZTF_NO_DATA,,,,,,,,,UNEXPLAINED,,Gaia DR3 3338129499635732736,*,0.123967,,,
3006197178413214080,SURVIVES,,DIP,2406.21,-0.17022,-0.187135,-0.175785,1.06457,0.0412296,2,79.5865,13.1042,0.890408,0.996931,9,0.00302473,96.1646,-9.0805,218.057,-10.0449,,OK,OK,5,658,ZTF_DIPS_APERIODIC,zr,1.85612,3172.3,0.02,0.194478,1.08973,0.0105579,4,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 3006197178413214080,*,0.013745,Gaia DR3 3006197178413214080,VAR,0.0923827
1861208444041823360,SURVIVES_FLAGGED,gaia_class:MICROLENSING,BRIGHTENING,2271.39,2.94877,3.11416,2.99428,1.04004,0.0836205,2,79.5498,19.3679,2.32529,1.03092,9,0.0524224,304.61,29.4062,68.7605,-3.63619,,NO_MATCH,NO_MATCH,26,2439,ZTF_DIPS_APERIODIC,zr,13.4172,3020.38,0.1,0.277395,1.23385,0.0855693,87,UNEXPLAINED,ztf_dips_aperiodic,,,,,,
5435722536946537216,SURVIVES,,DIP,1865.95,-0.139699,-0.125062,-0.121643,1.0281,0.109361,2,79.4719,15.1156,0.891546,1.00985,8,0.00248596,148.908,-33.9512,266.124,16.0712,,OK,OK,2,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 5435722536946537216,*,0.225021,Gaia DR3 5435722536946537216,VAR,0.014663
192206147346056576,SURVIVES,,DIP,2311.55,-0.21519,-0.237251,-0.240191,0.987758,0.0727474,2,79.4421,15.4707,1.01666,1.06972,8,0.00383077,89.1933,41.9938,169.844,8.55726,,OK,"ERROR:DeadlineExceeded('SELECT TOP 5 * FROM ""B/vsx/vsx"" WHERE 1 : no answer within 60s')",3,1455,ZTF_DIPS_APERIODIC,zr,3.29,3020.51,0.1,0.293725,7.04596,0.0143081,115,UNEXPLAINED,ztf_dips_aperiodic,Gaia DR3 192206147346056576,*,0.0822202,,,
6903018566532551424,SURVIVES_FLAGGED,gaia_class:CV,BRIGHTENING,2172.19,5.7656,5.34113,5.2843,1.01075,0.0985153,6,76.1719,19.5829,0.463182,1.00417,9,0.185407,310.695,-9.89747,36.6605,-29.1934,,OK,"ERROR:DeadlineExceeded('SELECT TOP 5 * FROM ""B/vsx/vsx"" WHERE 1 : no answer within 60s')",4,75,ZTF_NO_DATA,,,,,,,,,UNEXPLAINED,,CRTS CSS150708 J204247-095351,CV*,0.606344,,,
4276307832065424128,SURVIVES_FLAGGED,gaia_class:YSO,DIP,2680.76,-0.177952,-0.179182,-0.167067,1.07252,0.144994,2,75.3876,15.4533,2.11281,1.1585,9,0.00333824,275.547,1.12308,30.5885,7.01873,,NO_MATCH,OK,20,1499,ZTF_DIPS_APERIODIC,zr,13.2062,3024.19,0.1,0.131079,3.95537,0.0185052,25,YOUNG_STELLAR_OBJECT(YSO),ztf_dips_aperiodic,,,,Gaia DR3 4276307832065424128,YSO,
6622076273140135552,SURVIVES,,DIP,2182.42,-0.13069,-0.110213,-0.10889,1.01215,0.0745171,2,75.3439,14.3111,0.89152,1.09175,8,0.00245306,336.918,-26.529,25.6386,-58.0323,,OK,OK,1,43,ZTF_NO_DATA,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 6622076273140135552,*,0.825038,Gaia DR3 6622076273140135552,VAR,0.0190387
