source_id,kind,depth,ratio,g_noise,snr,med_flux_g,s_col,colour_testable,pre_existing_event,recovered,grey_class,coherence,tier
18569686241680640,grey,0.0840873761238155,1.0,0.09541611815249292,0.8812701433674764,160.52536733464734,0.4948345144658506,False,False,False,,,
18569686241680640,dust,0.0840873761238155,1.7,0.09541611815249292,0.8812701433674764,160.52536733464734,0.4948345144658506,False,False,False,,,
19044473401666176,grey,0.05837745894260174,1.0,0.0095428890911737,6.1173779119570355,15922.421106491634,0.026627786709213702,False,False,False,,,
19044473401666176,dust,0.05837745894260174,1.7,0.0095428890911737,6.1173779119570355,15922.421106491634,0.026627786709213702,False,False,True,G_ONLY,MULTI,C
19159505510637056,grey,0.08485430876820783,1.0,0.14357252718142507,0.5910205137016352,197.10400023551975,0.33153066408893694,False,False,False,,,
19159505510637056,dust,0.08485430876820783,1.7,0.14357252718142507,0.5910205137016352,197.10400023551975,0.33153066408893694,False,False,False,,,
19232829191776896,grey,0.15390118127848076,1.0,0.06485112831673145,2.373145776690744,150.02048612457975,1.1513564342924805,False,False,False,,,
19232829191776896,dust,0.15390118127848076,1.7,0.06485112831673145,2.373145776690744,150.02048612457975,1.1513564342924805,False,False,False,,,
19328727222062720,grey,0.3163714932665206,1.0,0.16940600778379997,1.8675340822049329,171.88946817131682,0.3886104733705291,False,False,False,,,
19328727222062720,dust,0.3163714932665206,1.7,0.16940600778379997,1.8675340822049329,171.88946817131682,0.3886104733705291,False,False,False,,,
19429366895467776,grey,0.09547231321589159,1.0,0.13806071681017335,0.6915241020163707,208.70356687002268,0.45203425526284996,False,False,False,,,
19429366895467776,dust,0.09547231321589159,1.7,0.13806071681017335,0.6915241020163707,208.70356687002268,0.45203425526284996,False,False,False,,,
19494757772882816,grey,0.17013913734456312,1.0,0.08692936754118319,1.957211264236553,11512.2258534278,0.014073481620946352,True,False,False,,,
19494757772882816,dust,0.17013913734456312,1.7,0.08692936754118319,1.957211264236553,11512.2258534278,0.014073481620946352,True,False,False,,,
19606736160298112,grey,0.3118930563155564,1.0,0.40860714317342955,0.7633078900511934,5619.005790959801,0.11813235430995256,False,False,False,,,
19606736160298112,dust,0.3118930563155564,1.7,0.40860714317342955,0.7633078900511934,5619.005790959801,0.11813235430995256,False,False,False,,,
19699060777199616,grey,0.2768068427803033,1.0,0.012088025272541904,22.89926075924687,85165.2111380276,0.00645491490180478,True,False,True,GREY,MULTI,A
19699060777199616,dust,0.2768068427803033,1.7,0.012088025272541904,22.89926075924687,85165.2111380276,0.00645491490180478,True,False,True,CHROMATIC_BLUE,MULTI,C
19771250587583104,grey,0.2385805317983576,1.0,0.0034267717148129284,69.62253445919492,81217.86237629814,0.006026795167527303,True,False,True,GREY,MULTI,A
19771250587583104,dust,0.2385805317983576,1.7,0.0034267717148129284,69.62253445919492,81217.86237629814,0.006026795167527303,True,False,True,CHROMATIC_BLUE,MULTI,C
19873780046961664,grey,0.2613741903651262,1.0,0.0053834662268520085,48.551282640434664,29943.063412886226,0.00595912580453503,True,False,True,GREY,MULTI,A
19873780046961664,dust,0.2613741903651262,1.7,0.0053834662268520085,48.551282640434664,29943.063412886226,0.00595912580453503,True,False,True,CHROMATIC_BLUE,MULTI,C
20024237046172544,grey,0.030068603994112257,1.0,0.0615024151187592,0.48890119088902023,168.59809486347143,0.4406455819558416,False,False,False,,,
20024237046172544,dust,0.030068603994112257,1.7,0.0615024151187592,0.48890119088902023,168.59809486347143,0.4406455819558416,False,False,False,,,
20298672571540224,grey,0.22295389399437412,1.0,0.07202472071816474,3.0955190352879054,178.4230182011683,0.43790121787844855,False,False,False,,,
20298672571540224,dust,0.22295389399437412,1.7,0.07202472071816474,3.0955190352879054,178.4230182011683,0.43790121787844855,False,False,True,G_ONLY,MULTI,C
20434045645215104,grey,0.06810992433189429,1.0,0.1638769547840834,0.4156162434286916,203.470186662117,0.4446269070759096,False,False,False,,,
20434045645215104,dust,0.06810992433189429,1.7,0.1638769547840834,0.4156162434286916,203.470186662117,0.4446269070759096,False,False,False,,,
20544821442105472,grey,0.05274341763929251,1.0,0.08710856463465695,0.605490606583914,519.7567125592112,0.1914923755099208,False,False,False,,,
20544821442105472,dust,0.05274341763929251,1.7,0.08710856463465695,0.605490606583914,519.7567125592112,0.1914923755099208,False,False,False,,,
20781456959972352,grey,0.032237182134436555,1.0,0.17191678747301267,0.18751619669194386,349.95941913454925,0.33554454478718776,False,False,False,,,
20781456959972352,dust,0.032237182134436555,1.7,0.17191678747301267,0.18751619669194386,349.95941913454925,0.33554454478718776,False,False,False,,,
21317640677379200,grey,0.0427813014492032,1.0,0.07454393365957128,0.5739072161737225,225.72245435809515,0.5153014723683752,False,False,False,,,
21317640677379200,dust,0.0427813014492032,1.7,0.07454393365957128,0.5739072161737225,225.72245435809515,0.5153014723683752,False,False,False,,,
21463841364056448,grey,0.15872623622813214,1.0,0.10781973601231475,1.472144545132285,210.96772269283977,0.5780624134236203,False,False,False,,,
21463841364056448,dust,0.15872623622813214,1.7,0.10781973601231475,1.472144545132285,210.96772269283977,0.5780624134236203,False,False,False,,,
21607087113168128,grey,0.16195291005409723,1.0,0.05528136108748199,2.9296114796777344,227.89337082681377,0.47171933696294843,False,False,False,,,
21607087113168128,dust,0.16195291005409723,1.7,0.05528136108748199,2.9296114796777344,227.89337082681377,0.47171933696294843,False,False,False,,,
21979276094661888,grey,0.37550694588352923,1.0,0.011419671309191796,32.882465328164066,16431.535505328615,0.01872230319528625,True,False,True,CHROMATIC_BLUE,MULTI,C
21979276094661888,dust,0.37550694588352923,1.7,0.011419671309191796,32.882465328164066,16431.535505328615,0.01872230319528625,True,False,True,CHROMATIC_BLUE,MULTI,C
22103486548853504,grey,0.032526878886099335,1.0,0.014328221148379897,2.2701268042458413,1568.2635545860635,0.04279617486929549,False,False,False,,,
22103486548853504,dust,0.032526878886099335,1.7,0.014328221148379897,2.2701268042458413,1568.2635545860635,0.04279617486929549,False,False,False,,,
22254871260891392,grey,0.07409774498404725,1.0,0.10868814298622928,0.6817463519772842,123.8235380383043,0.640528537017832,False,False,False,,,
22254871260891392,dust,0.07409774498404725,1.7,0.10868814298622928,0.6817463519772842,123.8235380383043,0.640528537017832,False,False,False,,,
22472200901220224,grey,0.20146115848977794,1.0,0.02100052032487083,9.593150806420178,18203.46644288995,0.012110542451696531,True,False,True,GREY,MULTI,A
22472200901220224,dust,0.20146115848977794,1.7,0.02100052032487083,9.593150806420178,18203.46644288995,0.012110542451696531,True,False,True,CHROMATIC_BLUE,MULTI,C
22567579239890176,grey,0.04873588358835756,1.0,0.10717477704364593,0.45473277325793104,327.776193941655,0.3908126960971204,False,False,False,,,
22567579239890176,dust,0.04873588358835756,1.7,0.10717477704364593,0.45473277325793104,327.776193941655,0.3908126960971204,False,False,False,,,
