source_id,ra,dec,parallax_mas,is_etz,n_annulus,annulus_density_per_deg2,bright_source_max_jy,n_trials,best_aperture_arcsec,best_d_au,best_phase,best_dx_arcsec,best_dy_arcsec,best_n_obs,best_lambda,p_raw,p_trials,n_sources_in_reach,n_x_30,lambda_30,n_x_60,lambda_60,n_x_120,lambda_120,n_x_204,lambda_204,n_x_300,lambda_300,n_x_600,lambda_600,veto,masked_by_bad_tile,is_candidate,control_+ra_veto,control_+ra_p_trials,control_-ra_veto,control_-ra_p_trials,control_+dec_veto,control_+dec_p_trials,control_-dec_veto,control_-dec_p_trials,n_control_evaluated,n_control_fired,control_min_p_trials,p_empirical_control
363851010635014784,13.92042392797039,35.56031814935656,24.670004366071407,False,230,784.4065052386271,,82,600.0,500.0,0.375,256.90033708903997,-60.03176666924794,51,68.45238095238096,0.016895105423641997,1.0,606,1,0.1711309523809524,1,0.6845238095238096,2,2.7380952380952386,5,7.913095238095238,15,17.11309523809524,68,68.45238095238096,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,0.03731121763254418,4,0,0.03731121763254418,1.0
1598680737032400256,237.53078560079254,56.585602621562344,24.669105401451592,False,389,1326.6701327731564,,123,204.0,500.0,0.5,-268.5694627756311,321.7466598448614,8,13.383452380952383,0.08347246948576376,1.0,1006,0,0.2894345238095239,1,1.1577380952380956,6,4.630952380952382,20,13.383452380952383,40,28.943452380952387,123,115.77380952380955,not_significant,False,False,not_significant,0.7337722035133802,not_significant,1.0,not_significant,0.030495730735203085,not_significant,1.0,4,0,0.030495730735203085,1.0
1485645856456381824,213.62455650798458,39.043016893400754,24.668612791171558,False,151,514.9799230044899,,82,300.0,500.0,0.0,345.73190179464524,-211.9795290685533,5,11.235119047619047,0.03257532436861404,1.0,371,0,0.11235119047619048,1,0.4494047619047619,3,1.7976190476190477,7,5.195119047619047,12,11.235119047619047,42,44.94047619047619,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
1531068502867464320,192.8673690923669,46.97507263140897,24.66699229974109,False,144,491.10668154070567,,82,300.0,500.0,0.625,-293.43182812517176,-139.29570299683965,3,10.714285714285715,0.00609202567649181,0.4995461054723284,397,1,0.10714285714285715,1,0.4285714285714286,3,1.7142857142857144,9,4.954285714285715,14,10.714285714285715,43,42.85714285714286,not_significant,False,False,not_significant,0.7212068195176597,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,0.7212068195176597,0.21659589666256598
1533690941176186368,188.86738072555895,40.08760053660225,24.663992345768985,False,275,937.8773432200976,,123,600.0,1000.0,0.25,-9.479785638540616,145.73518581584335,49,81.8452380952381,6.124893400882064e-05,0.007533618883084938,704,0,0.20461309523809526,0,0.818452380952381,1,3.273809523809524,5,9.461309523809524,12,20.461309523809526,61,81.8452380952381,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,0.01553906790990853,4,0,0.01553906790990853,0.021865947061391326
1502726494715816704,208.94759381464536,44.74513593430049,24.663103247364248,False,453,1544.93976901347,,123,600.0,1000.0,0.5,-184.2559017665218,98.6986127410413,110,134.82142857142858,0.01585498002329011,1.0,1149,0,0.33705357142857145,3,1.3482142857142858,3,5.392857142857143,12,15.585357142857143,27,33.705357142857146,121,134.82142857142858,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,0.7983500535725505,4,0,0.7983500535725505,1.0
806038612682242560,155.60614136712053,44.163135342375774,24.6628341361055,False,243,828.7425250999408,,123,204.0,500.0,0.5,-312.2877948329418,-40.52292102891673,4,8.360357142857143,0.0807768452067915,1.0,635,1,0.18080357142857145,2,0.7232142857142858,5,2.8928571428571432,8,8.360357142857143,20,18.080357142857146,78,72.32142857142858,not_significant,False,False,not_significant,0.10729350876334884,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,0.10729350876334884,1.0
1566012013187728768,201.92225304760302,57.91938181053987,24.66045340070288,False,416,1418.7526355620387,,123,204.0,2000.0,0.5,-94.953234591619,36.39970949306847,5,14.312380952380954,0.004477725416425694,0.5507602262203604,1099,1,0.3095238095238096,1,1.2380952380952384,1,4.952380952380953,12,14.312380952380954,20,30.952380952380956,117,123.80952380952382,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,0.8788849997919967,4,0,0.8788849997919967,0.2275883963649351
778368406134515968,163.29634540581597,41.78371124614296,24.659271507818666,False,333,1135.6842010628818,,123,600.0,500.0,0.375,-372.81623256314356,187.37677298393862,72,99.10714285714286,0.002631985715264325,0.32373424297751197,914,0,0.24776785714285718,0,0.9910714285714287,3,3.964285714285715,8,11.456785714285713,20,24.776785714285715,87,99.10714285714286,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,0.28982049466427845,not_significant,0.3608740780553822,4,0,0.28982049466427845,0.1752450494067225
1290912417212643840,229.5710226744137,35.14909444178235,24.655044349435723,False,237,808.2797467024114,,123,300.0,500.0,0.125,392.26519084051716,-34.29805182588669,4,17.633928571428573,0.00011237984927441441,0.013822721460752974,613,1,0.17633928571428575,1,0.705357142857143,4,2.821428571428572,7,8.153928571428573,14,17.633928571428573,57,70.53571428571429,not_significant,False,False,not_significant,1.0,not_significant,0.30516455696499944,not_significant,0.7181960133695703,not_significant,1.0,4,0,0.30516455696499944,0.028572562403269972
